id	sort_priority	captive_outcome	campaign_group	effect_bundle	effect_bundle_turns	icon_path	resource_transaction	capturing_force_resource_transaction	men_per_force_resource_transaction	men_per_faction_resource_transaction	men_per_faction_resource_transaction_cap	men_per_force_resource_transaction_cap	audio_override
#campaign_post_battle_captive_options_tables;6;db/campaign_post_battle_captive_options_tables/data__													
101527833	0	kill	wh2_dlc11_captive_option_kill_settlement_vampire_coast	wh2_dlc11_post_battle_cst_share_the_loot_xp	3	icon_share_loot.png			0	0	0	0	
1054695231	1	enslave	wh2_main_captive_option_enslave_lizardmen_to_lizardmen		5	icon_enslave.png			0	0	0	0	
1055999647	2	release	wh2_dlc17_captive_option_release_lizardmen_to_chaos		3	icon_ransom.png			0	0	0	0	
1079164628	1	enslave	wh3_main_pro_captive_option_enslave_kislev		1	icon_enslave.png			0	0	0	0	
1086924500	3	enslave	wh2_dlc12_captive_option_enslave_cult_of_sotek		5	dlc_12_icon_liz_mark_for_sacrifice.png	wh2_dlc12_resource_cost_lzd_capture_sacrifices		0	0	0	0	
1089539338	0	kill	wh2_twa03_captive_option_kill_rakarth	wh2_main_bundle_captives_kill_rakarth	1	icon_kill.png			0	0	0	0	
1115979234	2	enslave_replenishment_only	wh3_dlc23_captive_option_recruit_chaos_dwarfs		1	icon_dominate.png			0	0	0	0	
1124097752	1	kill	wh3_main_captive_option_kill_slaanesh		1	wh3_main_sla_entice.png	wh3_main_resource_cost_sla_captives_devotees		0	5	0	0	
1131826404	1	enslave	wh2_dlc11_captive_option_enslave_vampire_coast		1	icon_assimilate.png			0	0	0	0	
1135301228	2	release	wh_main_captive_option_release_vampire_counts		1	icon_vmp_ransom.png			0	0	0	0	
1156815199	0	kill	wh2_main_captive_option_kill_skaven	wh2_main_bundle_captives_kill_skaven	1	icon_enslave.png	wh2_main_resource_cost_skv_eat_captives_food		0	0	0	0	
1193682847	0	kill	wh_main_captive_option_kill_chaos	wh_main_bundle_captives_kill_chaos	1	icon_kill.png			0	0	0	0	
1218614274	0	kill	wh3_main_captive_option_kill_nurgle		1	wh3_main_nur_incubate.png	wh3_main_resource_cost_nur_kill_captives_infections		0	4	400	0	
1228100539	2	release	wh3_main_captive_option_kill_slaanesh		1	wh3_main_dae_offer_as_tribute.png			0	0	0	0	
1273067813	1	enslave	wh2_main_captive_option_enslave_high_elves_to_high_elves		5	icon_enslave.png			0	0	0	0	
1282427752	1	kill	wh3_main_captive_option_kill_daemons	wh_main_bundle_captives_kill_chaos	1	wh3_main_dae_kill_kho.png	wh3_main_resource_cost_dae_captives_kho		0	2	500	0	
1352401758	0	kill	wh_main_captive_option_kill_greenskins	wh_main_bundle_captives_kill_greenskins	1	icon_grn_slaughter.png			0	0	0	0	
135369374	0	kill	wh2_dlc16_captive_option_kill_sisters_of_twilight	wh2_dlc16_effect_post_battle_kill_sisters	3	icon_kill.png			0	0	0	0	
1362331655	0	enslave	wh3_main_captive_option_kill_slaanesh		1	wh3_main_dae_devour.png			0	0	0	0	
