event	icon
#event_feed_summary_events_tables;0;db/event_feed_summary_events_tables/data__	
agent_action_vs_army	event_agent_activity_neutral.png
agent_action_vs_army_with_immortal_general	event_agent_activity_neutral.png
agent_action_vs_character	event_agent_activity_neutral.png
agent_action_vs_immortal_character	event_agent_activity_neutral.png
agent_action_vs_settlement	event_agent_activity_neutral.png
army_loaning_time_expired	event_diplomacy_neutral.png
character_ancillary_gained	event_char_activity_neutral.png
character_ancillary_lost	event_char_activity_neutral.png
character_ancillary_lost_stolen	event_char_activity_neutral.png
character_dies_battle	event_death_neutral.png
character_dies_hostile	event_death_neutral.png
character_dies_suspicious	event_death_neutral.png
character_initiative_unlocked	event_char_activity_neutral.png
character_rank_gained	event_char_activity_neutral.png
character_ready_for_duty	event_char_activity_neutral.png
character_trait_gained	event_char_activity_neutral.png
character_trait_lost	event_char_activity_neutral.png
conquest_battle	event_military_neutral.png
conquest_enemy_raid_settlement	event_population_negative.png
conquest_province_contested	event_province_neutral.png
conquest_province_secured	event_province_neutral.png
conquest_sea_region_contested	event_province_neutral.png
conquest_sea_region_controlled	event_province_neutral.png
conquest_settlement_captured	event_province_neutral.png
diplomacy_enemy_discovered	event_diplomacy_neutral.png
diplomacy_faction_destroyed	event_diplomacy_neutral.png
diplomacy_faction_emerges	event_factions_neutral.png
diplomacy_faction_encountered	event_diplomacy_neutral.png
diplomacy_treaty_negotiated_defensive_alliance	event_diplomacy_neutral.png
diplomacy_treaty_negotiated_military_alliance	event_diplomacy_neutral.png
diplomacy_treaty_negotiated_non_aggression_pact	event_diplomacy_neutral.png
diplomacy_treaty_negotiated_peace	event_diplomacy_neutral.png
diplomacy_treaty_negotiated_soft_military_access	event_diplomacy_neutral.png
diplomacy_treaty_negotiated_trade	event_diplomacy_neutral.png
diplomacy_trespassing	event_region_neutral.png
diplomacy_war_coordination_defensive_target_force_invalidated	event_diplomacy_neutral.png
diplomacy_war_coordination_defensive_target_force_pursued	event_diplomacy_neutral.png
diplomacy_war_coordination_defensive_target_force_success	event_diplomacy_neutral.png
diplomacy_war_coordination_defensive_target_region_invalidated	event_diplomacy_neutral.png
diplomacy_war_coordination_defensive_target_region_pursued	event_diplomacy_neutral.png
diplomacy_war_coordination_defensive_target_region_success	event_diplomacy_neutral.png
diplomacy_war_coordination_target_force_invalidated	event_diplomacy_neutral.png
diplomacy_war_coordination_target_force_pursued	event_diplomacy_neutral.png
diplomacy_war_coordination_target_force_success	event_diplomacy_neutral.png
diplomacy_war_coordination_target_region_invalidated	event_diplomacy_neutral.png
diplomacy_war_coordination_target_region_occupation_invalidated	event_diplomacy_neutral.png
diplomacy_war_coordination_target_region_occupation_pursued	event_diplomacy_neutral.png
diplomacy_war_coordination_target_region_occupation_success	event_diplomacy_neutral.png
diplomacy_war_coordination_target_region_pursued	event_diplomacy_neutral.png
diplomacy_war_coordination_target_region_success	event_diplomacy_neutral.png
diplomacy_war_declared	event_diplomacy_neutral.png
faction_ancillary_gained	event_char_activity_neutral.png
faction_ancillary_gained_stolen	event_char_activity_neutral.png
faction_civil_war_force	event_military_neutral.png
faction_resource_gained	event_region_neutral.png
faction_resource_lost	event_region_neutral.png
horde_development_points_available	event_population_neutral.png
horde_unrest_imminent_rebellion	event_population_neutral.png
loaned_army_returned_after_alliance_broke	event_diplomacy_neutral.png
military_attrition	event_death_neutral.png
military_companion_army	event_military_neutral.png
military_companion_army_dispands	event_military_neutral.png
military_unit_recruited	event_military_neutral.png
provinces_building_constructed	event_buildings_neutral.png
provinces_development_points_available	event_population_neutral.png
provinces_settlement_looted	event_province_neutral.png
provinces_settlement_razed	event_province_neutral.png
provinces_settlement_sacked	event_province_neutral.png
provinces_unrest_imminent_rebellion	event_population_neutral.png
provinces_unrest_rebellion	event_population_neutral.png
