campaign_effect_scope_key	faction_set_key
#campaign_effect_scope_faction_set_junctions_tables;0;db/campaign_effect_scope_faction_set_junctions_tables/data__	
region_to_force_own_all_but_nurgle	AllExceptFavouredCorruptionNurgle
region_to_force_own_nurgle	FavouredCorruptionNurgle
region_to_force_own_unseen_all_but_nurgle	AllExceptFavouredCorruptionNurgle
region_to_force_own_unseen_nurgle	FavouredCorruptionNurgle
region_to_general_own_nurgle	FavouredCorruptionNurgle
region_to_region_own_all_but_nurgle	AllExceptFavouredCorruptionNurgle
region_to_region_own_nurgle	FavouredCorruptionNurgle
region_to_region_own_unseen_all_but_nurgle	AllExceptFavouredCorruptionNurgle
region_to_region_own_unseen_nurgle	FavouredCorruptionNurgle
