agent_subtype	ownership_content_pack
#agent_subtype_ownership_content_pack_junctions_tables;0;db/agent_subtype_ownership_content_pack_junctions_tables/data__	
wh2_dlc09_skv_tretch_craventail	wh2_tretch_free
wh2_dlc09_tmb_arkhan	wh2_tomb_kings
wh2_dlc09_tmb_khalida	wh2_tomb_kings
wh2_dlc09_tmb_khatep	wh2_tomb_kings
wh2_dlc09_tmb_settra	wh2_tomb_kings
wh2_dlc10_def_crone_hellebron	wh2_dlc10_queen_crone
wh2_dlc10_hef_alarielle	wh2_dlc10_queen_crone
wh2_dlc10_hef_alith_anar	wh2_dlc10_alith_anar_free
wh2_dlc11_cst_aranessa	wh2_dlc11_vampire_coast
wh2_dlc11_cst_cylostra	wh2_dlc11_vampire_coast
wh2_dlc11_cst_harkon	wh2_dlc11_vampire_coast
wh2_dlc11_cst_noctilus	wh2_dlc11_vampire_coast
wh2_dlc11_def_lokhir	wh2_dlc11_lokhir_free
wh2_dlc12_lzd_tehenhauin	wh2_dlc12_prophet
wh2_dlc12_lzd_tiktaqto	wh2_dlc12_tiktaqto_free
wh2_dlc12_skv_ikit_claw	wh2_dlc12_prophet
wh2_dlc13_emp_cha_markus_wulfhart	wh2_dlc13_hunter
wh2_dlc13_lzd_gor_rok	wh2_dlc13_gor_rok_free
wh2_dlc13_lzd_nakai	wh2_dlc13_hunter
wh2_dlc14_brt_repanse	wh2_dlc14_repanse_free
wh2_dlc14_def_malus_darkblade_mp	wh2_dlc14_shadow
wh2_dlc14_def_malus_darkblade	wh2_dlc14_shadow
wh2_dlc14_skv_deathmaster_snikch	wh2_dlc14_shadow
wh2_dlc15_grn_grom_the_paunch	wh2_dlc15_warden
wh2_dlc15_hef_eltharion	wh2_dlc15_warden
wh2_dlc15_hef_imrik	wh2_dlc15_imrik_free
wh2_dlc16_skv_throt_the_unclean	wh2_dlc16_twilight
wh2_dlc16_wef_drycha	wh1_wood_elves
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_twilight
wh2_dlc17_bst_taurox	wh2_dlc17_silence
wh2_dlc17_dwf_thorek	wh2_dlc17_thorek_free
wh2_dlc17_lzd_oxyotl	wh2_dlc17_silence
wh2_main_def_malekith	wh2_base_game
wh2_main_def_morathi	wh2_base_game
wh2_main_hef_prince_alastar	wh2_base_game
wh2_main_hef_teclis	wh2_base_game
wh2_main_hef_tyrion	wh2_base_game
wh2_main_lzd_kroq_gar	wh2_base_game
wh2_main_lzd_lord_mazdamundi	wh2_base_game
wh2_main_skv_lord_skrolk	wh2_base_game
wh2_main_skv_queek_headtaker	wh2_base_game
wh2_pro08_neu_gotrek	wh2_gotek_felix
wh2_twa03_def_rakarth	wh2_rakarth
wh3_dlc20_chs_exalted_hero_mkho	wh3_dlc20_champions
wh3_dlc20_chs_exalted_hero_mnur	wh3_dlc20_champions
wh3_dlc20_chs_lord_mkho	wh3_dlc20_champions
wh3_dlc20_chs_lord_msla	wh3_dlc20_champions
wh3_dlc20_chs_sorcerer_lord_death_mnur	wh3_dlc20_champions
wh3_dlc20_chs_sorcerer_lord_metal_mtze	wh3_dlc20_champions
wh3_dlc20_chs_sorcerer_lord_nurgle_mnur	wh3_dlc20_champions
wh3_dlc20_chs_sorcerer_lord_tzeentch_mtze	wh3_dlc20_champions
wh3_dlc20_chs_sorcerer_metal_mtze	wh3_dlc20_champions
wh3_dlc20_chs_sorcerer_shadows_msla	wh3_dlc20_champions
wh3_dlc20_chs_sorcerer_slaanesh_msla	wh3_dlc20_champions
wh3_dlc20_chs_sorcerer_tzeentch_mtze	wh3_dlc20_champions
wh3_dlc20_kho_valkia	wh3_dlc20_champions
wh3_dlc20_nur_festus	wh3_dlc20_champions
wh3_dlc20_sla_azazel	wh3_dlc20_champions
wh3_dlc20_tze_vilitch	wh3_dlc20_champions
wh3_dlc23_chd_astragoth	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_bull_centaur_taurruk	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_daemonsmith_sorcerer_death	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_daemonsmith_sorcerer_fire	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_daemonsmith_sorcerer_hashut	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_daemonsmith_sorcerer_metal	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_drazhoath	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_gorduz_backstabber	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_infernal_castellan	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_lord_convoy_overseer	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_overseer	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_sorcerer_prophet_death	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_sorcerer_prophet_fire	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_sorcerer_prophet_hashut	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_sorcerer_prophet_metal	wh3_dlc23_chaos_dwarfs
wh3_dlc23_chd_zhatan	wh3_dlc23_chaos_dwarfs
wh3_dlc23_neu_ulrika	wh3_dlc23_ulrika_free
wh3_dlc24_chs_exalted_hero_mtze	wh3_dlc24_shadows_of_change
wh3_dlc24_chs_lord_mtze	wh3_dlc24_shadows_of_change
wh3_dlc24_cth_celestial_general_yang	wh3_dlc24_shadows_of_change
wh3_dlc24_cth_celestial_general_yin	wh3_dlc24_shadows_of_change
wh3_dlc24_cth_gate_master	wh3_dlc24_shadows_of_change
wh3_dlc24_cth_lord_magistrate_reserves	wh3_dlc24_shadows_of_change
wh3_dlc24_cth_saytang_the_watcher	wh3_dlc24_shadows_of_change
wh3_dlc24_cth_yuan_bo	wh3_dlc24_shadows_of_change
wh3_dlc24_grn_grimgor_ironhide_quest_battle	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_boyar_summoned	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_druzhina	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_hag_witch_beasts	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_hag_witch_death	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_hag_witch_hag	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_hag_witch_shadows	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_mother_ostankya	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_the_golden_knight	wh3_dlc24_shadows_of_change
wh3_dlc24_tze_aekold_helbrass	wh3_dlc24_aekold_free
wh3_dlc24_tze_blue_scribes	wh3_dlc24_shadows_of_change
wh3_dlc24_tze_the_changeling_cultist_special	wh3_dlc24_shadows_of_change
wh3_dlc24_tze_the_changeling	wh3_dlc24_shadows_of_change
wh3_main_ogr_greasus_goldtooth	wh3_ogre_kingdoms
wh3_main_ogr_skrag_the_slaughterer	wh3_ogre_kingdoms
wh_dlc01_chs_kholek_suneater	wh1_chaos
wh_dlc01_chs_prince_sigvald	wh1_chaos
wh_dlc03_bst_khazrak	wh1_beastmen
wh_dlc03_bst_malagor	wh1_beastmen
wh_dlc03_emp_boris_todbringer	wh1_beastmen
wh_dlc04_emp_volkmar	wh1_lords_and_units_1
wh_dlc04_vmp_helman_ghorst	wh1_lords_and_units_1
wh_dlc04_vmp_vlad_con_carstein	wh1_isabella_free
wh_dlc05_bst_morghur	wh1_beastmen
wh_dlc05_vmp_red_duke	wh1_wood_elves
wh_dlc05_wef_durthu	wh1_wood_elves
wh_dlc05_wef_orion	wh1_wood_elves
wh_dlc06_dwf_belegar	wh1_lords_and_units_2
wh_dlc06_grn_skarsnik	wh1_lords_and_units_2
wh_dlc06_grn_wurrzag_da_great_prophet	wh1_lords_and_units_2_free
wh_dlc07_brt_alberic	wh1_bretonnia_free
wh_dlc07_brt_fay_enchantress	wh1_bretonnia_free
wh_dlc08_nor_throgg	wh1_norsca
wh_dlc08_nor_wulfrik	wh1_norsca
wh_main_brt_louen_leoncouer	wh1_bretonnia_free
wh_main_chs_archaon	wh1_chaos
wh_main_dwf_thorgrim_grudgebearer	wh1_base_game
wh_main_dwf_ungrim_ironfist	wh1_base_game
wh_main_emp_balthasar_gelt	wh1_base_game
wh_main_emp_karl_franz	wh1_base_game
wh_main_grn_azhag_the_slaughterer	wh1_base_game
wh_main_grn_grimgor_ironhide	wh1_base_game
wh_main_vmp_heinrich_kemmler	wh1_base_game
wh_main_vmp_mannfred_von_carstein	wh1_base_game
wh_pro01_dwf_grombrindal	wh1_grombrindal
wh_pro02_vmp_isabella_von_carstein	wh1_isabella_free
