anim_set	group
#animation_set_prebattle_group_junctions_tables;0;db/animation_set_prebattle_group_junctions_tables/data__	
cam_agent_ship_01	default
cam_agent_ship_02	default
cam_agent_ship_04	default
cam_bc2_griffon	large
cam_bc2b_hippogryph	large
cam_bc3_manticore	enormous
cam_bch1_grn_warboss_boar_chariot	chariots
cam_beastmen_ship01	default
cam_bi1_dlc15_phoenix	monster_hunts
cam_bi1_eagle	large
cam_bi2_terrorgheist_boss	monster_hunts
cam_bi2_wyvern	enormous
cam_black_ark_01	default
cam_bo1_warboar	default_mounted
cam_ce02_dragon_orgre_2handed_axe	enormous
cam_ce02_dragon_orgre_2handed_axe_boss	monster_hunts
cam_dlc15_wm_white_lion_chariot01	chariots
cam_dr1_dragon	dragon
cam_dr1_dragon_boss	monster_hunts
cam_dr1b_chaos_dragon	dragon
cam_dr1b_chaos_dragon_boss	monster_hunts
cam_dr2_hydra	monster_hunts
cam_gh1_ghost	default
cam_gh4_mourngul_claws	big_characters
cam_hc5_skv_hell_pit	monster_hunts
cam_heavy_ship_01	default
cam_heavy_ship_02	default
cam_heavy_ship_03	default
cam_heavy_ship_04	default
cam_hero_bi3_terradon	large
cam_hero_gh4_cst_mourngul	large
cam_hero_hq3b_wh3_stonehorn	mammoth
cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	chariots
cam_hero_hu1_cst_gunnery_cr1_promethean_wb_rifle	dragon
cam_hero_hu1_cst_gunnery_rifle	default
cam_hero_hu1_tomb_sword_and_whip	default
cam_hero_hu1b_cst_captain_cutlass_and_hook	default
cam_hero_hu1b_elf_rp3_cold_one_staff_and_sword	default_mounted
cam_hero_hu1b_elf_wm_tiranoc_chariot_01_staff_and_sword	chariots
cam_hero_hu1b_hef_hr1_warhorse_spear_and_bow	default_mounted
cam_hero_hu1b_hef_spear_and_bow	default
cam_hero_hu1d_elf_2handed_sword	default
cam_hero_hu1d_elf_halberd	default
cam_hero_hu1d_elf_hr1_warhorse_halberd	default_mounted
cam_hero_hu1d_elf_sword_and_handbow	default
cam_hero_hu1d_elf_wm_tiranoc_chariot01_halberd	chariots
cam_hero_hu7_skink_bi3_terradon_wb_club_blowpipe	large
cam_hero_hu7_skink_bi3_terradon_wb_staff_and_club	large
cam_hero_hu7_skink_club_and_blowpipe	small
cam_hero_hu7_skink_hq1_stegadon_staff_and_club	enormous
cam_hero_hu7_skink_staff_and_club	small
cam_hero_hu7b_saurus_rp3_cold_one_spear_and_shield	default_mounted
cam_hero_wm_tiranoc_chariot_01	chariots
cam_hr1_dhorgar	default_mounted
cam_hr1_pegasus	default_mounted
cam_hr1_warhorse	default_mounted
cam_hu11_cygor_boss	monster_hunts
cam_hu12_minotaur_2handed_axe	big_characters
cam_hu13_wh3_ogre_hammer_and_sword	big_characters
cam_hu17_skaven_censer	default
cam_hu17_skaven_dual_claw_and_throwing_stars	default
cam_hu17_skaven_dual_sword	default
cam_hu17_skaven_eshin_staff_and_sword	default
cam_hu17_skaven_staff_and_sword	default
cam_hu1_arch_lector_dual_hammer	default
cam_hu1_bretonnian_bc2b_hippogryph_wb_lance_sword_shield	large
cam_hu1_bretonnian_bc2b_hippogryph_wb_sword_shield	large
cam_hu1_bretonnian_hr1_pegasus_lancer	default_mounted
cam_hu1_dlc14_hr1_warhorse_repanse_2handed_sword	default_mounted
cam_hu1_empire_bc2_griffon_wb_lance_sword_shield	large
cam_hu1_empire_bc2_wb_griffon_hammer	large
cam_hu1_empire_dr1_dragon_wb_sword_and_shield	dragon
cam_hu1_empire_hammer	default
cam_hu1_empire_hammer_and_book	default
cam_hu1_empire_hr1_pegasus_sword_and_shield	default_mounted
cam_hu1_empire_hr1_warhorse_hammer	default_mounted
cam_hu1_empire_hr1_warhorse_hammer_and_book	default_mounted
cam_hu1_empire_hr1_warhorse_lance_sword_shield	default_mounted
cam_hu1_empire_hr1_warhorse_staff_and_sword	default_mounted
cam_hu1_empire_hr1_warhorse_sword	default_mounted
cam_hu1_empire_staff_and_sword	default
cam_hu1_empire_sword	default
cam_hu1_empire_sword_and_pistol	default
cam_hu1_empire_sword_and_shield	default
cam_hu1_empire_sword_and_shield_prologue	default
cam_hu1_empire_war_altar_staff_and_sword	corpse_cart
cam_hu1_empire_wm_corpsecart01_staff_and_sword	corpse_cart
cam_hu1_leoncoeur_bc2b_hippogryph_wb_sword_shield	large
cam_hu1_leoncoeur_hr1_pegasus_sword_and_shield	default_mounted
cam_hu1_leoncoeur_hr1_warhorse_lance_sword_shield	default_mounted
cam_hu1_leoncoeur_sword_and_shield	default
cam_hu1_vlad_sword	default
cam_hu1_volkmar_staff_and_hammer	default
cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	default_mounted
cam_hu1b_bretonnian_staff_and_sword	default
cam_hu1b_bretonnian_sword_and_chalice	default
cam_hu1b_elf_spellsinger	default
cam_hu1b_elf_spellsinger_bi1_eagle	large
cam_hu1b_elf_spellsinger_hr1_warhorse	default_mounted
cam_hu1b_elf_sword_and_bow	default
cam_hu1b_elf_sword_and_bow_bi1_eagle_sword_and_bow	large
cam_hu1b_elf_sword_and_bow_dr1_dragon_sword_and_bow	dragon
cam_hu1b_elf_sword_and_bow_hr1_warhorse_sword_and_bow	default_mounted
cam_hu1b_vampire_hr1_pegasus_sword	default_mounted
cam_hu1b_vampire_hr1_warhorse_sword	default_mounted
cam_hu1b_vampire_sword	default
cam_hu1c_chaos_axe_and_shield	default
cam_hu1c_chaos_bc3_manticore_wb_axe_and_shield	enormous
cam_hu1c_chaos_bc3_manticore_wb_staff_and_sword	enormous
cam_hu1c_chaos_bc3_manticore_wb_sword_and_shield	enormous
cam_hu1c_chaos_dr1_chaos_dragon_wb_sword_and_shield	dragon
cam_hu1c_chaos_hq3_mammoth_sword_and_shield	mammoth
cam_hu1c_chaos_hr1_warhorse_axe_and_shield	default_mounted
cam_hu1c_chaos_hr1_warhorse_staff_and_sword	default_mounted
cam_hu1c_chaos_hr1_warhorse_sword_and_shield	default_mounted
cam_hu1c_chaos_staff_and_sword	default
cam_hu1c_chaos_sword_and_shield	default
cam_hu1d_elf_dual_sword	default
cam_hu1d_elf_staff_and_sword	default
cam_hu1d_elf_sword	default
cam_hu1d_elf_sword_and_bow	default
cam_hu1d_elf_sword_and_bow_bi1_eagle_sword_and_bow	large
cam_hu1d_elf_sword_and_bow_dr1_dragon_sword_and_bow	dragon
cam_hu1d_elf_sword_and_bow_hr1_warhorse_sword_and_bow	default_mounted
cam_hu1d_elf_sword_and_shield	default
cam_hu1e_hr1_mage_lord	default
cam_hu1e_mage_iron_dragon	default
cam_hu1e_mage_storm_dragon	default
cam_hu1e_sword_lord	default
cam_hu20_dryads	default
cam_hu21_treeman	giant
cam_hu21_treeman_sword	giant
cam_hu2_orc_2handed_axe	default
cam_hu2_orc_bi2_wyvern_wb_sword_and_axe	enormous
cam_hu2_orc_bi2_wyvern_wb_sword_and_shield	enormous
cam_hu2_orc_bo1_warboar_staff_and_sword	default_mounted
cam_hu2_orc_bo1_warboar_sword_and_shield	default_mounted
cam_hu2_orc_staff_and_sword	default
cam_hu2_orc_sword_and_axe	default
cam_hu2_orc_sword_and_shield	default
cam_hu3_dwarf_2handed_axe_ungrim	small
cam_hu3_dwarf_2handed_hammer_and_rifle	small
cam_hu3_dwarf_axe_and_shield	small
cam_hu3_dwarf_axe_shield_and_crossbow	small
cam_hu3_dwarf_hammer	small
cam_hu3_dwarf_wm_throne_of_power01_axe	chariots
cam_hu4_giant_club_boss	monster_hunts
cam_hu5_goblin_rp2_squig_spear_and_shield	default
cam_hu5_goblin_sp1_giant_spider_spear_and_shield	default_mounted
cam_hu5_goblin_spear_and_shield	small
cam_hu5_goblin_staff_and_sword	small
cam_hu5_goblin_sword_and_shield	small
cam_hu5_goblin_wf1_wolf_spear_and_shield	default_mounted
cam_hu5_goblin_wf1_wolf_staff_and_sword	default_mounted
cam_hu6_gor_axe	default
cam_hu6_gor_staff_and_sword	default
cam_hu6_gor_staff_and_sword_wm_razorgor_chariot	chariots
cam_hu6_gor_sword_and_whip	default
cam_hu6_gor_sword_and_whip_morghur	default
cam_hu6c_orion_2handed_spear	big_characters
cam_hu8_strigoi	default
cam_hu8_strigoi_bi2_terrorgheist_wb	enormous
cam_hu9b_wh3_great_unclean_one_sword	giant
cam_huc10c_lord_of_change_staff	large
cam_light_ship_01	default
cam_light_ship_02	default
cam_light_ship_03	default
cam_light_ship_04	default
cam_light_ship_05	default
cam_lord_bc1_warsphinx	giant
cam_lord_be1_wh3_warbear	default_mounted
cam_lord_cr1_cst_promethean	dragon
cam_lord_gi2_cst_colossus	enormous
cam_lord_hc9_cst_cylostra_fan_and_staff	enormous
cam_lord_hq1_stegadon	enormous
