from	network	to	regions
#campaign_map_route_segments_tables;0;db/campaign_map_route_segments_tables/data__			
wh3_main_combi_region_bechafen	ivory_road_combi	wh3_main_combi_region_hergig	wh3_main_combi_ivory_road_bechafen-hergig
wh3_main_combi_region_black_fang	ivory_road_combi	wh3_main_combi_region_blizzardpeak	wh3_main_combi_ivory_road_black_fang-blizzard_peak
wh3_main_combi_region_black_fang	ivory_road_combi	wh3_main_combi_region_zharr_naggrund	wh3_main_combi_ivory_road_black_fang-zharr_naggrund
wh3_main_combi_region_black_fortress	ivory_road_combi	wh3_main_combi_region_pigbarter	wh3_main_combi_ivory_road_black_fortress-pigbarter
wh3_main_combi_region_black_fortress	ivory_road_combi	wh3_main_combi_region_tower_of_gorgoth	wh3_main_combi_ivory_road_black_fortress-tower_of_gorgoth
wh3_main_combi_region_blizzardpeak	ivory_road_combi	wh3_main_combi_region_uzkulak	wh3_main_combi_ivory_road_blizzard_peak-uzkulak
wh3_main_combi_region_bloodpeak	ivory_road_combi	wh3_main_combi_region_black_fang	wh3_main_combi_ivory_road_bloodpeak-black_fang
wh3_main_combi_region_fort_jakova	ivory_road_combi	wh3_main_combi_region_bechafen	wh3_main_combi_ivory_road_fort_jakova-bechafen
wh3_main_combi_region_fort_jakova	ivory_road_combi	wh3_main_combi_region_kislev	wh3_main_combi_ivory_road_fort_jakova-kislev
wh3_main_combi_region_gnashraks_lair	ivory_road_combi	wh3_main_combi_region_bechafen	wh3_main_combi_ivory_road_gnashraks_lair-bechafen
wh3_main_combi_region_gnashraks_lair	ivory_road_combi	wh3_main_combi_region_castle_drakenhof	wh3_main_combi_ivory_road_gnashraks_lair-castle_drakenhof
wh3_main_combi_region_great_hall_of_greasus	ivory_road_combi	wh3_main_combi_region_black_fortress	wh3_main_combi_ivory_road_great_hall_of_greasus-black_fortress
wh3_main_combi_region_great_hall_of_greasus	ivory_road_combi	wh3_main_combi_region_karak_azorn	wh3_main_combi_ivory_road_great_hall_of_greasus-karak_azorn
wh3_main_combi_region_hergig	ivory_road_combi	wh3_main_combi_region_altdorf	wh3_main_combi_ivory_road_hergig-altdorf
wh3_main_combi_region_hergig	ivory_road_combi	wh3_main_combi_region_marienburg	wh3_main_combi_ivory_road_hergig-marienburg
wh3_main_combi_region_karak_azorn	ivory_road_combi	wh3_main_combi_region_zharr_naggrund	wh3_main_combi_ivory_road_karak_azorn-zharr_naggrund
wh3_main_combi_region_karak_azul	ivory_road_combi	wh3_main_combi_region_karaz_a_karak	wh3_main_combi_ivory_road_karak_azul-karaz_a_karaz
