name	head_node	hips_node	leftarm_node	leftfoot_node	lefthand_node	leftleg_node	leftshoulder_node	leftupleg_node	leftwheel_node	neck_node	rightarm_node	rightfoot_node	righthand_node	rightleg_node	rightshoulder_node	rightupleg_node	rightwheel_node	root	scale	scale_deviation	spine_node	weapon1_node	weapon2_node	weapon3_node	weapon4_node	weapon5_node	leftfinger_node	rightfinger_node	lefttoe_node	righttoe_node	category_man	category_mount	category_engine	weapon6_node	category_animal	category_fauna	cinematic	locomotion	leftwingbase_node	rightwingbase_node	head_tracking_angle	back_node	front_left_upper_leg_node	front_right_upper_leg_node	front_lefttoe_node	front_righttoe_node	rear_left_upper_leg_node	rear_right_upper_leg_node	rear_lefttoe_node	rear_righttoe_node	footstep_nodes	footstep_detection_height	articulation_node	flying_pivot_node	filter_projectiles_node	torso_splice_node	foot_ik_type
#battle_skeletons_tables;17;db/battle_skeletons_tables/data__																																																									
advisor01	head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1.0000	0.0000	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	true	false	false	be_prop_5	false	false	false	biped			0.0000	spine_2	upperarm_left	upperarm_right	hand_left	hand_right	upperleg_left	upperleg_right	foot_left	foot_right	toe_left_0;toe_right_0	0.0200					on
advisorcrow01	head_0	root	wing_left_0	foot_left_0	wing_left_2	leg_left_1	wing_shoulder_left_0	leg_left_0		neck_0	wing_right_0	foot_right_0	wing_right_2	leg_right_1	wing_shoulder_right_0	leg_right_0		animRoot	1.0000	0.0000	spine_0						toe_inner_left_0	toe_inner_right_0	toe_inner_left_0	toe_inner_right_0	true	false	false		false	false	false	winged	wing_shoulder_left_0	wing_shoulder_right_0	0.0000										toe_inner_left_0;toe_inner_right_0	0.0200		spine_2			off
agentship01		root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
agentship02		root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
agentship03		root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
agentship04		root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
ape01	head_0	root	upperarm_left	leg_left_2	hand_left	leg_right_0	clav_left	leg_left_0		neck_0	upperarm_right	leg_right_2	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1.0000	0.0000	spine_0						finger_index_left_0	finger_index_right_0	toe_middle_left_0	toe_middle_right_0	true	false	false		false	false	false	biped			0.0000	spine_2									toe_middle_left_0;toe_middle_right_0	0.0200			thumb_, finger_, 		off
bat01	head	root	wing_left_0	leg_left_2	wing_left_2	leg_left_1	wing_shoulder_left_0	leg_left_0		neck_0	wing_right_0	leg_right_2	wing_right_2	leg_right_1	wing_shoulder_right_0	leg_right_0		animRoot	1.0000	0.0000	spine_0						feather_primary_outer_left_0	feather_primary_outer_right_0			true	true	false		false	false	false	winged	wing_shoulder_left_0	wing_shoulder_right_0	0.0000		leftarm	rightarm	leftfingerbase	rightfingerbase	leftupleg	rightupleg	lefttoeBase	righttoebase	leg_left_2;leg_right_2	0.0200		spine_2	hand_, wing_		off
bear01	head_0	root					clav_left			neck_0					clav_right			animRoot	1.0000	0.0000	spine_0										false	true	false		true	true	false	quadruped			0.0000	spine_2	upperarm_left	upperarm_right	hand_left	hand_right	thigh_left	thigh_right	ankle_left	ankle_right		0.0500					off
beastmenship01		root																animRoot	1.0000	0.0000											false	false	false		false	false	false	unclassified			0.0000											0.0500					off
bigcat01	head_0	root	upperleg_front_left	foot_rear_left	foot_front_left	lowerleg_rear_left	shoulder_front_left	upperleg_rear_left		neck_0	upperleg_front_right	foot_rear_right	foot_front_right	lowerleg_rear_right	shoulder_front_right	upperleg_rear_right		animRoot	1.0000	0.0000	spine_0						toe_middle_front_left_0	toe_middle_front_right_0	toe_middle_rear_left_0	toe_middle_rear_right_0	false	false	false		false	false	false	quadruped			0.0000	spine_2	upperleg_front_left	upperleg_front_right	foot_front_left	foot_front_right	upperleg_rear_left	upperleg_rear_right	foot_rear_left	foot_rear_right	toe_middle_front_left_0;toe_middle_front_right_0;toe_middle_rear_left_0;toe_middle_rear_right_0	0.0500			hand_, foot_, 		off
