key	sort_order	audio
#settlement_occupation_options_tables;1;db/settlement_occupation_options_tables/data__		
occupation_decision_colonise	0	occupy
occupation_decision_colonise_and_vassal	0	vassal
occupation_decision_do_nothing	8	do_nothing
occupation_decision_establish_foreign_slot	1	establish_foreign_slot
occupation_decision_gift_to_another_faction	8	gift_to_faction
occupation_decision_liberate	9	liberate
occupation_decision_loot	1	loot
occupation_decision_occupy	0	occupy
occupation_decision_occupy_and_vassal	0	vassal_and_occupy
occupation_decision_raze	9	raze
occupation_decision_raze_without_occupy	4	raze
occupation_decision_resettle	0	occupy
occupation_decision_resettle_and_vassal	0	vassal
occupation_decision_sack	2	sack
occupation_decision_treasure_hunt	5	loot
occupation_decision_vassal	3	vassal
