key	description	entity_size_cap	max_penetration
#projectile_penetration_junctions_tables;0;db/projectile_penetration_junctions_tables/data__			
all	Passes through all targets, slows as it passes through entities		-1
high	Stopped by Large targets, slows as it passes through entities	large	10
high_magic	Stopped by Large targets, slows as it passes through entities	large	20
large_2	Stopped by Large targets, slows as it passes through entities	large	2
large_3	Stopped by Large targets, slows as it passes through entities	large	3
large_4	Stopped by Large targets, slows as it passes through entities	large	4
low	Stopped by Small targets, slows as it passes through entities	small	2
low_3	Stopped by Medium targets, slows as it passes through entities	small	3
low_magic	Stopped by Small targets, slows as it passes through entities	small	4
medium	Stopped by Medium targets, slows as it passes through entities	medium	5
medium_1	Stopped by Medium targets, slows as it passes through entities	medium	1
medium_2	Stopped by Medium targets, slows as it passes through entities	medium	2
medium_3	Stopped by Medium targets, slows as it passes through entities	medium	3
medium_6	Stopped by Medium targets, slows as it passes through entities	medium	6
medium_magic	Stopped by Medium targets, slows as it passes through entities	medium	10
very_high	Stopped by Very Large targets, slows as it passes through entities	very_large	20
very_high_6	Stopped by Very Large targets, slows as it passes through entities	very_large	6
very_high_low_entity	Stopped by Very Large targets, slows as it passes through entities	very_large	9
very_high_magic	Stopped by Very Large targets, slows as it passes through entities	very_large	40
very_low	Stopped by Very Small targets, slows as it passes through entities	very_small	0
very_low_magic	Stopped by Very Small targets, slows as it passes through entities	very_small	2
