settlement_id	climate_type	citybar_height_offset	rotation
#campaign_map_settlements_tables;5;db/campaign_map_settlements_tables/data__			
settlement:settlement:wh3_main_combi_region_the_copper_landing	climate_desert	0	0
settlement:wh3_dlc20_chaos_region_black_pit	climate_temperate	0	0
settlement:wh3_dlc20_chaos_region_chantillon	climate_temperate	0	37
settlement:wh3_dlc20_chaos_region_citadel_of_lead	climate_frozen	0	0
settlement:wh3_dlc20_chaos_region_fort_sollace	climate_temperate	0	52
settlement:wh3_dlc20_chaos_region_grung_zint	climate_mountain	0	36
settlement:wh3_dlc20_chaos_region_losteriksons_landing	climate_frozen	0	0
settlement:wh3_dlc20_chaos_region_neuland	climate_frozen	0	331
settlement:wh3_dlc20_chaos_region_tancred_castle	climate_temperate	0	0
settlement:wh3_dlc20_chaos_region_wreckers_point	climate_temperate	0	11
settlement:wh3_dlc20_combi_region_glacial_gardens	climate_chaotic	0	0
settlement:wh3_dlc20_combi_region_glacier_encampment	climate_chaotic	0	0
settlement:wh3_dlc20_combi_region_krudenwald	climate_temperate	0	0
settlement:wh3_main_chaos_region_altar_of_spawns	climate_frozen	0	6
settlement:wh3_main_chaos_region_altar_of_the_crimson_harvest	climate_frozen	0	0
settlement:wh3_main_chaos_region_altdorf	climate_temperate	0	0
settlement:wh3_main_chaos_region_amblepeak	climate_mountain	0	0
settlement:wh3_main_chaos_region_bay_of_blades	climate_frozen	0	0
settlement:wh3_main_chaos_region_bechafen	climate_temperate	0	84
settlement:wh3_main_chaos_region_black_fang	climate_mountain	0	0
settlement:wh3_main_chaos_region_black_fortress	climate_wasteland	0	0
settlement:wh3_main_chaos_region_black_gulch	climate_frozen	0	0
settlement:wh3_main_chaos_region_black_rock	climate_chaotic	0	0
settlement:wh3_main_chaos_region_blackstone_tower	climate_mountain	0	283
settlement:wh3_main_chaos_region_blizzardpeak	climate_frozen	0	0
settlement:wh3_main_chaos_region_blood_haven	climate_chaotic	0	0
settlement:wh3_main_chaos_region_blood_mountain	climate_chaotic	0	0
settlement:wh3_main_chaos_region_bloodpeak	climate_mountain	0	0
settlement:wh3_main_chaos_region_bloodwind_keep	climate_chaotic	0	0
settlement:wh3_main_chaos_region_bohsenfels	climate_temperate	0	114
settlement:wh3_main_chaos_region_bolgasgrad	climate_temperate	0	114
settlement:wh3_main_chaos_region_brass_keep	climate_mountain	0	0
settlement:wh3_main_chaos_region_bridge_of_brass	climate_chaotic	0	0
settlement:wh3_main_chaos_region_bridge_of_heaven	climate_savannah	0	0
settlement:wh3_main_chaos_region_broekwater	climate_temperate	0	124
