campaign_group	dilemma
#campaign_group_loyalty_dilemmas_tables;0;db/campaign_group_loyalty_dilemmas_tables/data__	
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_a_tribute
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_assassin
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_insurgents
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_alchemist
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_audience
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_beastmaster
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_black_council
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_curse_of_kurnous
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_dagger
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_hermit
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_relic
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_statue
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_the_traitors
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_def_wrongly_accused
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_a_noise_problem
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_clawback_provision
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_connivers
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_dust_it_off
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_item_of_power
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_keg_of_boom
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_loyal_musk
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_mine_mine
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_shiny_scale_stuff
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_so_so_pretty
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_test_of_loyalty
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_when_rats_fly
wh2_main_loyalty_high	wh2_main_dilemma_loyalty_positive_skv_whisper_rumours
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_all_along_the_watch_towers_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_black_council_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_black_dragon_egg_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_blessing_of_khaine_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_contest_of_claws_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_dark_crag_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_price_of_treachery_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_sorceror_delinquent_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_stitch_up_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_sunless_seas_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_def_the_purge_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_pestilential_proposition_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_price_of_treachery_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_shades_of_grey_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_1
wh2_main_loyalty_low	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1
