agent_key	skill_rank	optional_campaign_key	for_army	for_navy	experience_threshold	skill_points
#character_experience_skill_tiers_tables;0;db/character_experience_skill_tiers_tables/data__						
champion	0		false	false	1000	1
champion	10		false	false	21900	1
champion	11		false	false	24900	1
champion	12		false	false	28000	1
champion	13		false	false	31200	1
champion	14		false	false	34500	1
champion	15		false	false	37900	1
champion	16		false	false	41400	1
champion	17		false	false	45000	1
champion	18		false	false	48700	1
champion	19		false	false	52450	1
champion	1		false	false	2200	1
champion	20		false	false	56250	1
champion	21		false	false	60100	1
champion	22		false	false	64000	1
champion	23		false	false	67950	1
champion	24		false	false	71950	1
champion	25		false	false	76000	1
champion	26		false	false	80100	1
champion	27		false	false	84250	1
champion	28		false	false	88450	1
champion	29		false	false	92675	1
champion	2		false	false	3600	1
champion	30		false	false	96925	1
champion	31		false	false	101200	1
champion	32		false	false	105500	1
champion	33		false	false	109825	1
champion	34		false	false	114175	1
champion	35		false	false	118550	1
champion	36		false	false	122950	1
champion	37		false	false	127375	1
champion	38		false	false	131825	1
champion	39		false	false	136300	1
champion	3		false	false	5200	1
champion	40		false	false	140800	1
champion	41		false	false	145325	1
champion	42		false	false	149875	1
champion	43		false	false	154450	1
champion	44		false	false	159050	1
champion	45		false	false	163675	1
champion	46		false	false	168325	1
champion	47		false	false	173000	1
champion	48		false	false	177700	1
champion	4		false	false	7000	1
champion	5		false	false	9000	1
champion	6		false	false	11200	1
champion	7		false	false	13600	1
champion	8		false	false	16200	1
champion	9		false	false	19000	1
dignitary	0		false	false	1000	1
dignitary	10		false	false	21900	1
dignitary	11		false	false	24900	1
dignitary	12		false	false	28000	1
dignitary	13		false	false	31200	1
dignitary	14		false	false	34500	1
dignitary	15		false	false	37900	1
dignitary	16		false	false	41400	1
dignitary	17		false	false	45000	1
dignitary	18		false	false	48700	1
dignitary	19		false	false	52450	1
dignitary	1		false	false	2200	1
dignitary	20		false	false	56250	1
dignitary	21		false	false	60100	1
dignitary	22		false	false	64000	1
dignitary	23		false	false	67950	1
dignitary	24		false	false	71950	1
dignitary	25		false	false	76000	1
dignitary	26		false	false	80100	1
dignitary	27		false	false	84250	1
dignitary	28		false	false	88450	1
dignitary	29		false	false	92675	1
dignitary	2		false	false	3600	1
dignitary	30		false	false	96925	1
dignitary	31		false	false	101200	1
dignitary	32		false	false	105500	1
dignitary	33		false	false	109825	1
dignitary	34		false	false	114175	1
dignitary	35		false	false	118550	1
dignitary	36		false	false	122950	1
dignitary	37		false	false	127375	1
dignitary	38		false	false	131825	1
dignitary	39		false	false	136300	1
dignitary	3		false	false	5200	1
dignitary	40		false	false	140800	1
dignitary	41		false	false	145325	1
dignitary	42		false	false	149875	1
