target_key	is_primary
#cdir_event_targets_tables;0;db/cdir_event_targets_tables/data__	
default	true
mission_objective	true
target_character_1	false
target_character_2	false
target_character_3	false
target_faction_1	false
target_faction_2	false
target_faction_3	false
target_military_1	false
target_military_2	false
target_region_1	false
target_region_2	false
target_settlement_1	false
target_settlement_2	false
target_slot_1	false
target_slot_2	false
target_technology_1	false
target_technology_2	false
