campaign_group	pooled_resource_threshold_operation_set
#campaign_group_pooled_resource_threshold_operation_sets_tables;0;db/campaign_group_pooled_resource_threshold_operation_sets_tables/data__	
wh3_dlc20_champions_chaos_campaign	wh3_dlc20_operation_set_champions_progress_1
wh3_dlc20_champions_chaos_campaign	wh3_dlc20_operation_set_champions_progress_2
wh3_dlc20_champions_chaos_campaign	wh3_dlc20_operation_set_champions_progress_3
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_1120
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_1260
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_140
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_1400
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_1540
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_1680
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_1820
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_1960
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_2100
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_2240
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_2380
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_2520
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_2660
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_280
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_2800
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_2940
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_3080
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_3220
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_3360
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_3500
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_3640
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_3780
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_3920
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_4060
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_420
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_4200
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_4340
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_4480
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_4620
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_4760
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_4900
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_5040
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_5180
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_5320
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_5460
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_560
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_5600
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_70
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_700
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_840
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_980
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_01
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_02
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_03
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_04
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_05
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_06
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_07
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_08
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_09
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_10
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_11
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_12
wh3_main_feature_daemons	wh3_main_threshold_dae_khorne_gifts_13
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_1120
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_1260
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_140
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_1400
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_1540
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_1680
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_1820
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_1960
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_2100
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_2240
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_2380
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_2520
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_2660
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_280
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_2800
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_2940
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_3080
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_3220
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_3360
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_3500
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_3640
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_3780
wh3_main_feature_daemons	wh3_main_threshold_dae_nurgle_3920
