unit_name	unit_level	unit_type	percentage_num_men	percentage_num_health	reduce_max_number
#battle_set_piece_armies_units_tables;4;db/battle_set_piece_armies_units_tables/data__					
h3_dlc25_nur_chieftain_mon_ghorgon_0_rank_5	5	wh3_dlc25_nur_chieftain_mon_ghorgon	100	100	false
wh2_dlc09_skv_cha_tretch_craventail	0	wh2_dlc09_skv_cha_tretch_craventail	100	100	false
wh2_dlc09_tmb_art_casket_of_souls_0	0	wh2_dlc09_tmb_art_casket_of_souls_0	100	100	false
wh2_dlc09_tmb_art_casket_of_souls_0_tier_3	3	wh2_dlc09_tmb_art_casket_of_souls_0	100	100	false
wh2_dlc09_tmb_art_screaming_skull_catapult_0	0	wh2_dlc09_tmb_art_screaming_skull_catapult_0	100	100	false
wh2_dlc09_tmb_art_screaming_skull_catapult_0_tier_6	6	wh2_dlc09_tmb_art_screaming_skull_catapult_0	100	100	false
wh2_dlc09_tmb_cav_necropolis_knights_0	0	wh2_dlc09_tmb_cav_necropolis_knights_0	100	100	false
wh2_dlc09_tmb_cav_necropolis_knights_0_tier_4	4	wh2_dlc09_tmb_cav_necropolis_knights_0	100	100	false
wh2_dlc09_tmb_cav_necropolis_knights_1	0	wh2_dlc09_tmb_cav_necropolis_knights_1	100	100	false
wh2_dlc09_tmb_cav_nehekhara_horsemen_0	0	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	100	100	false
wh2_dlc09_tmb_cav_nehekhara_horsemen_0_tier_4	4	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	100	100	false
wh2_dlc09_tmb_cav_skeleton_horsemen_0	0	wh2_dlc09_tmb_cav_skeleton_horsemen_0	100	100	false
wh2_dlc09_tmb_cav_skeleton_horsemen_0_tier_5	5	wh2_dlc09_tmb_cav_skeleton_horsemen_0	100	100	false
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	0	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	100	100	false
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0_tier_4	4	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	100	100	false
wh2_dlc09_tmb_inf_nehekhara_warriors_0	0	wh2_dlc09_tmb_inf_nehekhara_warriors_0	100	100	false
wh2_dlc09_tmb_inf_nehekhara_warriors_0_tier_4	4	wh2_dlc09_tmb_inf_nehekhara_warriors_0	100	100	false
wh2_dlc09_tmb_inf_skeleton_archers_0	0	wh2_dlc09_tmb_inf_skeleton_archers_0	100	100	false
wh2_dlc09_tmb_inf_skeleton_archers_0_tier_6	6	wh2_dlc09_tmb_inf_skeleton_archers_0	100	100	false
wh2_dlc09_tmb_inf_skeleton_spearmen_0	0	wh2_dlc09_tmb_inf_skeleton_spearmen_0	100	100	false
wh2_dlc09_tmb_inf_skeleton_spearmen_0_tier_6	6	wh2_dlc09_tmb_inf_skeleton_spearmen_0	100	100	false
wh2_dlc09_tmb_inf_skeleton_warriors_0	0	wh2_dlc09_tmb_inf_skeleton_warriors_0	100	100	false
wh2_dlc09_tmb_inf_skeleton_warriors_0_tier_4	4	wh2_dlc09_tmb_inf_skeleton_warriors_0	100	100	false
wh2_dlc09_tmb_inf_tomb_guard_0	0	wh2_dlc09_tmb_inf_tomb_guard_0	100	100	false
wh2_dlc09_tmb_inf_tomb_guard_0_tier_6	6	wh2_dlc09_tmb_inf_tomb_guard_0	100	100	false
wh2_dlc09_tmb_inf_tomb_guard_1	0	wh2_dlc09_tmb_inf_tomb_guard_1	100	100	false
wh2_dlc09_tmb_inf_tomb_guard_1_tier_3	3	wh2_dlc09_tmb_inf_tomb_guard_1	100	100	false
wh2_dlc09_tmb_inf_tomb_guard_1_tier_6	6	wh2_dlc09_tmb_inf_tomb_guard_1	100	100	false
wh2_dlc09_tmb_mon_carrion_0	0	wh2_dlc09_tmb_mon_carrion_0	100	100	false
wh2_dlc09_tmb_mon_carrion_0_tier_4	4	wh2_dlc09_tmb_mon_carrion_0	100	100	false
wh2_dlc09_tmb_mon_heirotitan_0	0	wh2_dlc09_tmb_mon_heirotitan_0	100	100	false
wh2_dlc09_tmb_mon_heirotitan_0_tier_7	7	wh2_dlc09_tmb_mon_heirotitan_0	100	100	false
wh2_dlc09_tmb_mon_necrosphinx_0	0	wh2_dlc09_tmb_mon_necrosphinx_0	100	100	false
wh2_dlc09_tmb_mon_necrosphinx_0_tier_4	4	wh2_dlc09_tmb_mon_necrosphinx_0	100	100	false
wh2_dlc09_tmb_mon_sepulchral_stalkers_0	0	wh2_dlc09_tmb_mon_sepulchral_stalkers_0	100	100	false
wh2_dlc09_tmb_mon_sepulchral_stalkers_0_tier_4	4	wh2_dlc09_tmb_mon_sepulchral_stalkers_0	100	100	false
wh2_dlc09_tmb_mon_tomb_scorpion_0	0	wh2_dlc09_tmb_mon_tomb_scorpion_0	100	100	false
wh2_dlc09_tmb_mon_tomb_scorpion_0_tier_3	3	wh2_dlc09_tmb_mon_tomb_scorpion_0	100	100	false
wh2_dlc09_tmb_mon_ushabti_0	0	wh2_dlc09_tmb_mon_ushabti_0	100	100	false
wh2_dlc09_tmb_mon_ushabti_0_tier_5	5	wh2_dlc09_tmb_mon_ushabti_0	100	100	false
wh2_dlc09_tmb_mon_ushabti_1	0	wh2_dlc09_tmb_mon_ushabti_1	100	100	false
wh2_dlc09_tmb_veh_khemrian_warsphinx_0	0	wh2_dlc09_tmb_veh_khemrian_warsphinx_0	100	100	false
wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	0	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	100	100	false
wh2_dlc09_tmb_veh_skeleton_archer_chariot_0_tier_5	5	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	100	100	false
wh2_dlc09_tmb_veh_skeleton_chariot_0	0	wh2_dlc09_tmb_veh_skeleton_chariot_0	100	100	false
wh2_dlc09_tmb_veh_skeleton_chariot_0_tier_4	4	wh2_dlc09_tmb_veh_skeleton_chariot_0	100	100	false
wh2_dlc10_def_cav_doomfire_warlocks_tier_3	0	wh2_dlc10_def_cav_doomfire_warlocks_0	100	100	false
wh2_dlc10_def_inf_black_ark_corsairs_0_tier_2	2	wh2_main_def_inf_black_ark_corsairs_0	100	100	false
wh2_dlc10_def_inf_har_ganeth_executioners_0_tier_2	2	wh2_main_def_inf_har_ganeth_executioners_0	100	100	false
wh2_dlc10_def_inf_sisters_of_slaughter	0	wh2_dlc10_def_inf_sisters_of_slaughter	100	100	false
wh2_dlc10_def_inf_sisters_of_slaughter_tier_2	2	wh2_dlc10_def_inf_sisters_of_slaughter	100	100	false
wh2_dlc10_def_mon_feral_manticore_0	0	wh2_dlc10_def_mon_feral_manticore_0	100	100	false
wh2_dlc10_def_mon_kharibdyss_0	0	wh2_dlc10_def_mon_kharibdyss_0	100	100	false
wh2_dlc10_dwf_inf_giant_slayers	0	wh2_dlc10_dwf_inf_giant_slayers	100	100	false
wh2_dlc10_dwf_inf_giant_slayers_tier_4	4	wh2_dlc10_dwf_inf_giant_slayers	100	100	false
wh2_dlc10_hef_inf_dryads_0	0	wh2_dlc10_hef_inf_dryads_0	100	100	false
wh2_dlc10_hef_inf_shadow_walkers_0	1	wh2_dlc10_hef_inf_shadow_walkers_0	100	100	false
wh2_dlc10_hef_inf_shadow_walkers_tier_3	3	wh2_dlc10_hef_inf_shadow_walkers_0	100	100	false
wh2_dlc10_hef_inf_shadow_warriors_0	0	wh2_dlc10_hef_inf_shadow_warriors_0	100	100	false
wh2_dlc10_hef_inf_shadow_warriors_0_tier_4	4	wh2_dlc10_hef_inf_shadow_warriors_0	100	100	false
wh2_dlc10_hef_inf_sisters_of_avelorn_0	0	wh2_dlc10_hef_inf_sisters_of_avelorn_0	100	100	false
wh2_dlc10_hef_inf_sisters_of_avelorn_tier_5	5	wh2_dlc10_hef_inf_sisters_of_avelorn_0	100	100	false
wh2_dlc10_hef_mon_treekin_0	0	wh2_dlc10_hef_mon_treekin_0	100	100	false
wh2_dlc10_skv_mon_hell_pit_abomination_boss	0	wh2_dlc10_skv_mon_hell_pit_abomination_boss	100	100	false
wh2_dlc11_cst_art_carronade	0	wh2_dlc11_cst_art_carronade	100	100	false
wh2_dlc11_cst_art_carronade_0	0	wh2_dlc11_cst_art_carronade	100	100	false
wh2_dlc11_cst_art_carronade_tier_4	4	wh2_dlc11_cst_art_carronade	100	100	false
wh2_dlc11_cst_art_mortar	0	wh2_dlc11_cst_art_mortar	100	100	false
wh2_dlc11_cst_art_mortar_rank_4	4	wh2_dlc11_cst_art_mortar	100	100	false
wh2_dlc11_cst_art_queen_bess	0	wh2_dlc11_cst_art_queen_bess	100	100	false
wh2_dlc11_cst_cav_deck_droppers_0	0	wh2_dlc11_cst_cav_deck_droppers_0	100	100	false
wh2_dlc11_cst_cav_deck_droppers_1	0	wh2_dlc11_cst_cav_deck_droppers_1	100	100	false
wh2_dlc11_cst_cav_deck_droppers_2	0	wh2_dlc11_cst_cav_deck_droppers_2	100	100	false
wh2_dlc11_cst_cav_deck_droppers_ror_0	0	wh2_dlc11_cst_cav_deck_droppers_ror_0	100	100	false
wh2_dlc11_cst_cav_knights_errant_0	0	wh2_dlc11_cst_cav_knights_errant_0	100	100	false
wh2_dlc11_cst_cav_knights_errant_1	0	wh2_dlc11_cst_cav_knights_errant_1	100	100	false
wh2_dlc11_cst_cav_knights_errant_2	0	wh2_dlc11_cst_cav_knights_errant_2	100	100	false
wh2_dlc11_cst_cav_knights_of_the_realm	0	wh2_dlc11_cst_cav_knights_of_the_realm	100	100	false
wh2_dlc11_cst_cav_questing_knights_0	0	wh2_dlc11_cst_cav_questing_knights_0	100	100	false
wh2_dlc11_cst_cha_aranessa_0	0	wh2_dlc11_cst_cha_aranessa_0	100	100	false
wh2_dlc11_cst_cha_aranessa_1	0	wh2_dlc11_cst_cha_aranessa_1	100	100	false
