condition_key	subculture_key
#subculture_conditions_tables;0;db/subculture_conditions_tables/data__	
WH3_ACHIEVEMENT_CATHAY_RECRUIT_TERRACOTTA_SENTINEL	wh3_main_sc_cth_cathay
WH3_ACHIEVEMENT_KHORNE_RECRUIT_BLOODTHIRSTER	wh3_main_sc_kho_khorne
WH3_ACHIEVEMENT_KISLEV_RECRUIT_ELEMENTAL_BEAR	wh3_main_sc_ksl_kislev
WH3_ACHIEVEMENT_NURGLE_RECRUIT_GREAT_UNCLEAN_ONE	wh3_main_sc_nur_nurgle
WH3_ACHIEVEMENT_SLAANESH_RECRUIT_KEEPER_OF_SECRETS	wh3_main_sc_sla_slaanesh
WH3_ACHIEVEMENT_TZEENTCH_RECRUIT_LORD_OF_CHANGE	wh3_main_sc_tze_tzeentch
WH3_ACHIEVEMENT_WINNING_BEASTMEN	wh_dlc03_sc_bst_beastmen
WH3_ACHIEVEMENT_WINNING_BRETONNIA	wh_main_sc_brt_bretonnia
WH3_ACHIEVEMENT_WINNING_CATHAY	wh3_main_sc_cth_cathay
WH3_ACHIEVEMENT_WINNING_CHAOS	wh_main_sc_chs_chaos
WH3_ACHIEVEMENT_WINNING_CHAOS_DWARFS	wh3_dlc23_sc_chd_chaos_dwarfs
WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE	wh3_main_sc_dae_daemons
WH3_ACHIEVEMENT_WINNING_DARK_ELVES	wh2_main_sc_def_dark_elves
WH3_ACHIEVEMENT_WINNING_DWARFS	wh_main_sc_dwf_dwarfs
WH3_ACHIEVEMENT_WINNING_EMPIRE	wh_main_sc_emp_empire
WH3_ACHIEVEMENT_WINNING_GREENSKINS	wh_main_sc_grn_greenskins
WH3_ACHIEVEMENT_WINNING_HIGH_ELVES	wh2_main_sc_hef_high_elves
WH3_ACHIEVEMENT_WINNING_KHORNE	wh3_main_sc_kho_khorne
WH3_ACHIEVEMENT_WINNING_KISLEV	wh3_main_sc_ksl_kislev
WH3_ACHIEVEMENT_WINNING_LIZARDMEN	wh2_main_sc_lzd_lizardmen
WH3_ACHIEVEMENT_WINNING_NORSCA	wh_dlc08_sc_nor_norsca
WH3_ACHIEVEMENT_WINNING_NURGLE	wh3_main_sc_nur_nurgle
WH3_ACHIEVEMENT_WINNING_OGRES	wh3_main_sc_ogr_ogre_kingdoms
WH3_ACHIEVEMENT_WINNING_SKAVEN	wh2_main_sc_skv_skaven
WH3_ACHIEVEMENT_WINNING_SLAANESH	wh3_main_sc_sla_slaanesh
WH3_ACHIEVEMENT_WINNING_TOMB_KINGS	wh2_dlc09_sc_tmb_tomb_kings
WH3_ACHIEVEMENT_WINNING_TZEENTCH	wh3_main_sc_tze_tzeentch
WH3_ACHIEVEMENT_WINNING_VAMPIRE_COAST	wh2_dlc11_sc_cst_vampire_coast
WH3_ACHIEVEMENT_WINNING_VAMPIRE_COUNTS	wh_main_sc_vmp_vampire_counts
WH3_ACHIEVEMENT_WINNING_WOOD_ELVES	wh_dlc05_sc_wef_wood_elves
