key	army_special_ability	god_type	tier
#reign_of_chaos_tables;3;db/reign_of_chaos_tables/data__			
1147929606	wh3_main_army_abilities_curse_of_the_slug	nurgle	1
1428405136	wh3_main_army_abilities_fascination	slaanesh	3
1471797272	wh3_main_army_abilities_relentless_rage	khorne	2
1618070926	wh3_main_army_abilities_storm_of_fire	tzeentch	3
1624825768	wh3_main_army_abilities_bolt_of_change	tzeentch	2
1858078712	wh3_main_army_abilities_fecundity	nurgle	2
1878945734	wh3_main_army_abilities_arcane_surge	tzeentch	1
1944921236	wh3_main_army_abilities_horn_of_khorne	khorne	1
2014418777	wh3_main_army_abilities_narcissism	slaanesh	2
21049189	wh3_main_army_abilities_rot_glorious_rot	nurgle	3
578412590	wh3_main_army_abilities_blade_of_khorne	khorne	3
731015994	wh3_main_army_abilities_sweet_sorrow	slaanesh	1
