faction	corruption_type
#audio_faction_corruption_vo_overrides_tables;0;db/audio_faction_corruption_vo_overrides_tables/data__	
wh2_dlc09_tmb_followers_of_nagash	VAMPIRE
wh2_main_def_cult_of_pleasure	SLAANESH
wh3_dlc20_chs_azazel	SLAANESH
wh3_dlc20_chs_festus	NURGLE
wh3_dlc20_chs_sigvald	SLAANESH
wh3_dlc20_chs_valkia	KHORNE
wh3_dlc20_chs_vilitch	TZEENTCH
wh3_main_dae_daemon_prince	CHAOS
wh3_main_dae_daemon_prince	KHORNE
wh3_main_dae_daemon_prince	NURGLE
wh3_main_dae_daemon_prince	SLAANESH
wh3_main_dae_daemon_prince	TZEENTCH
