treasure_hunt_dilemma_key	option_2_images	option_3_images	option_4_images	option_1_images	color_blind_mode_overlay	overlay_image
#treasure_hunt_extra_informations_tables;4;db/treasure_hunt_extra_informations_tables/data__						
wh2_dlc11_th_puzzle_1_1	p1_s2_blue	p1_s2_red	p1_s1_black	p1_s1_blue		puzzle_1/vc_puzzle_1_1_overlay
wh2_dlc11_th_puzzle_1_2	p1_s4_blue	p1_s4_black	p1_s3_black	p1_s2_yellow		puzzle_1/vc_puzzle_1_2_overlay
wh2_dlc11_th_puzzle_1_3	p1_s2_red	p1_s1_blue	p1_s1_red	p1_s2_blue		puzzle_1/vc_puzzle_1_3_overlay
wh2_dlc11_th_puzzle_1_4	p1_s4_red	p1_s4_blue	p1_s2_black	p1_s2_red		puzzle_1/vc_puzzle_1_4_overlay
wh2_dlc11_th_puzzle_1_5	p1_s2_blue	p1_s2_yellow	p1_s1_red	p1_s4_yellow		puzzle_1/vc_puzzle_1_5_overlay
wh2_dlc11_th_puzzle_1_6	p1_s4_black	p1_s1_red	p1_s1_black	p1_s4_yellow		puzzle_1/vc_puzzle_1_6_overlay
wh2_dlc11_th_puzzle_1_7	p1_s4_yellow	p1_s2_yellow	p1_s2_black	p1_s4_black		puzzle_1/vc_puzzle_1_7_overlay
wh2_dlc11_th_puzzle_1_8	p1_s3_red	p1_s3_blue	p1_s3_yellow	p1_s4_blue		puzzle_1/vc_puzzle_1_8_overlay
wh2_dlc11_th_puzzle_1_9	p1_s4_blue	p1_s1_yellow	p1_s1_blue	p1_s1_black		puzzle_1/vc_puzzle_1_9_overlay
wh2_dlc11_th_puzzle_2_1	p3_wu_gray,p3_e_gray	p3_a_gray,p3_t_gray	p3_x_gray,p3_k_gray	p3_o_gray,p3_hua_gray		puzzle_2/vc_puzzle_2_1_overlay
wh2_dlc11_th_puzzle_2_10	p3_c_gray,p3_e_gray,p3_lui_gray	p3_z_gray,p3_x_gray,p3_hua_gray	p3_hua_gray,p3_x_gray,p3_q_gray	p3_k_gray,p3_h_gray,p3_a_gray		puzzle_2/vc_puzzle_2_10_overlay
wh2_dlc11_th_puzzle_2_11	p3_n_gray,p3_k_gray,p3_a_gray	p3_hua_gray,p3_a_gray,p3_ch_gray	p3_t_gray,p3_hua_gray,p3_wu_gray	p3_c_gray,p3_a_gray,p3_o_gray		puzzle_2/vc_puzzle_2_11_overlay
wh2_dlc11_th_puzzle_2_12	p3_n_gray,p3_k_gray	p3_ch_gray,p3_e_gray	p3_x_gray,p3_k_gray	p3_q_gray,p3_wu_gray		puzzle_2/vc_puzzle_2_12_overlay
wh2_dlc11_th_puzzle_2_2	p3_g_gray,p3_lui_gray,p3_t_gray,p3_x_gray	p3_lui_gray,p3_t_gray,p3_z_gray,p3_a_gray	p3_q_gray,p3_c_gray,p3_k_gray,p3_e_gray	p3_t_gray,p3_q_gray,p3_k_gray,p3_e_gray		puzzle_2/vc_puzzle_2_2_overlay
wh2_dlc11_th_puzzle_2_3	p3_z_gray,p3_e_gray	p3_e_gray,p3_lui_gray	p3_g_gray,p3_a_gray	p3_ch_gray,p3_o_gray		puzzle_2/vc_puzzle_2_3_overlay
wh2_dlc11_th_puzzle_2_4	p3_h_gray,p3_g_gray,p3_c_gray	p3_c_gray,p3_q_gray,p3_h_gray	p3_k_gray,p3_o_gray,p3_c_gray	p3_ch_gray,p3_a_gray,p3_q_gray		puzzle_2/vc_puzzle_2_4_overlay
wh2_dlc11_th_puzzle_2_5	p3_z_gray,p3_hua_gray,p3_ch_gray	p3_lui_gray,p3_o_gray,p3_x_gray	p3_g_gray,p3_o_gray,p3_q_gray	p3_a_gray,p3_x_gray,p3_lui_gray		puzzle_2/vc_puzzle_2_5_overlay
wh2_dlc11_th_puzzle_2_6	p3_k_gray,p3_t_gray,p3_x_gray	p3_h_gray,p3_e_gray,p3_x_gray	p3_hua_gray,p3_c_gray,p3_z_gray	p3_x_gray,p3_e_gray,p3_hua_gray		puzzle_2/vc_puzzle_2_6_overlay
wh2_dlc11_th_puzzle_2_7	p3_hua_gray,p3_n_gray	p3_q_gray,p3_o_gray	p3_z_gray,p3_a_gray	p3_c_gray,p3_g_gray		puzzle_2/vc_puzzle_2_7_overlay
wh2_dlc11_th_puzzle_2_8	p3_e_gray,p3_x_gray,p3_h_gray	p3_q_gray,p3_wu_gray,p3_a_gray	p3_lui_gray,p3_q_gray,p3_ch_gray	p3_t_gray,p3_g_gray,p3_lui_gray		puzzle_2/vc_puzzle_2_8_overlay
wh2_dlc11_th_puzzle_2_9	p3_e_gray,p3_k_gray,p3_c_gray	p3_c_gray,p3_t_gray,p3_n_gray	p3_k_gray,p3_a_gray,p3_lui_gray	p3_wu_gray,p3_ch_gray,p3_c_gray		puzzle_2/vc_puzzle_2_9_overlay
wh2_dlc11_th_puzzle_3_1	p3_ql_yellow	p3_t_blue	p3_b_black	p3_ph_black		puzzle_3/vc_puzzle_3_1_overlay
wh2_dlc11_th_puzzle_3_10	p3_tl_red	p3_ph_blue	p3_y_blue	p3_m_red		puzzle_3/vc_puzzle_3_10_overlay
wh2_dlc11_th_puzzle_3_11	p3_s_red	p3_q_black	p3_h_blue	p3_sh_black		puzzle_3/vc_puzzle_3_11_overlay
wh2_dlc11_th_puzzle_3_12	p3_z_red	p3_a_red	p3_tl_yellow	p3_sh_blue		puzzle_3/vc_puzzle_3_12_overlay
wh2_dlc11_th_puzzle_3_2	p3_o_yellow	p3_a_black	p3_r_blue	p3_l_blue		puzzle_3/vc_puzzle_3_2_overlay
wh2_dlc11_th_puzzle_3_3	p3_xl_black	p3_y_yellow	p3_h_blue	p3_d_red		puzzle_3/vc_puzzle_3_3_overlay
wh2_dlc11_th_puzzle_3_4	p3_n_black	p3_e_red	p3_ph_blue	p3_q_red		puzzle_3/vc_puzzle_3_4_overlay
wh2_dlc11_th_puzzle_3_5	p3_h_red	p3_x_black	p3_zl_yellow	p3_ch_blue		puzzle_3/vc_puzzle_3_5_overlay
wh2_dlc11_th_puzzle_3_6	p3_o_yellow	p3_r_blue	p3_t_red	p3_e_black		puzzle_3/vc_puzzle_3_6_overlay
wh2_dlc11_th_puzzle_3_7	p3_lui_black	p3_c_red	p3_d_black	p3_g_blue		puzzle_3/vc_puzzle_3_7_overlay
wh2_dlc11_th_puzzle_3_8	p3_r_blue	p3_o_red	p3_tl_blue	p3_sh_yellow		puzzle_3/vc_puzzle_3_8_overlay
wh2_dlc11_th_puzzle_3_9	p3_k_black	p3_wu_blue	p3_z_red	p3_b_yellow		puzzle_3/vc_puzzle_3_9_overlay
wh2_dlc11_th_puzzle_4_1	p3_q_gray	p3_p_gray	p3_xl_gray	p3_b_gray		puzzle_4\vc_puzzle_4_1_overlay
wh2_dlc11_th_puzzle_4_2	p3_hua_gray	p3_wu_gray	p3_o_gray	p3_sh_gray		puzzle_4\vc_puzzle_4_2_overlay
wh2_dlc11_th_puzzle_4_3	p3_ql_gray	p3_y_gray	p3_zl_gray	p3_m_gray		puzzle_4\vc_puzzle_4_3_overlay
wh2_dlc11_th_puzzle_4_4	p3_n_gray	p3_r_gray	p3_g_gray	p3_e_gray		puzzle_4\vc_puzzle_4_4_overlay
wh2_dlc11_th_puzzle_4_5	p3_h_gray	p3_ch_gray	p3_o_gray	p3_sh_gray		puzzle_4\vc_puzzle_4_5_overlay
wh2_dlc11_th_puzzle_4_6	p3_tl_gray	p3_g_gray	p3_l_gray	p3_z_gray		puzzle_4\vc_puzzle_4_6_overlay
wh2_dlc11_th_puzzle_4_7	p3_n_gray	p3_o_gray	p3_y_gray	p3_ch_gray		puzzle_4\vc_puzzle_4_7_overlay
wh2_dlc11_th_puzzle_4_8	p3_a_gray	p3_d_gray	p3_s_gray	p3_xl_gray		puzzle_4\vc_puzzle_4_8_overlay
wh2_dlc11_th_puzzle_4_9	p3_r_gray	p3_e_gray	p3_d_gray	p3_n_gray		puzzle_4\vc_puzzle_4_9_overlay
