level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/data__																							
wh2_dlc09_special_black_tower_of_arkhan	wh2_dlc09_special_black_tower_of_arkhan	0	5	8000	0		false	false			true	wh2_dlc09_special_black_tower_of_arkhan	false	0.0000	0	true	4		true	0	0		0
wh2_dlc09_special_black_tower_of_arkhan_other	wh2_dlc09_special_black_tower_of_arkhan_other	0	5	8000	0		false	false			true	wh2_dlc09_special_black_tower_of_arkhan	false	0.0000	0	true	4		true	0	0		0
wh2_dlc09_special_pyramid_alcadizaar	wh2_dlc09_special_pyramid_alcadizaar	0	10	6000	0		false	false			true	wh2_dlc09_special_pyramid_alcadizaar	false	0.0000	1	true	3		true	0	0		0
wh2_dlc09_special_pyramid_amenemhetum	wh2_dlc09_special_pyramid_amenemhetum	0	10	6000	0		false	false			true	wh2_dlc09_special_pyramid_amenemhetum	false	0.0000	1	true	3		true	0	0		0
wh2_dlc09_special_pyramid_khatep	wh2_dlc09_special_pyramid_khatep	0	10	6000	0		false	false			true	wh2_dlc09_special_pyramid_khatep	false	0.0000	1	true	3		true	0	0		0
wh2_dlc09_special_pyramid_phar	wh2_dlc09_special_pyramid_phar	0	10	6000	0		false	false			true	wh2_dlc09_special_pyramid_phar	false	0.0000	1	true	3		true	0	0		0
wh2_dlc09_special_pyramid_settra	wh2_dlc09_special_pyramid_settra	0	10	6000	0		false	false			true	wh2_dlc09_special_pyramid_settra	false	0.0000	1	true	3		true	0	0		0
wh2_dlc09_special_pyramid_tutankhanut	wh2_dlc09_special_pyramid_tutankhanut	0	10	6000	0		false	false			true	wh2_dlc09_special_pyramid_tutankhanut	false	0.0000	1	true	3		true	0	0		0
wh2_dlc09_special_settlement_khemri_tmb_1	wh2_dlc09_special_settlement_khemri_tmb	1	4	750	0		false	false			true	wh_main_HUMAN_settlement_major_coast	false	0.0000	0	true	0	wh2_cam_settlement_capital_tombkings	true	0	0		0
wh2_dlc09_special_settlement_khemri_tmb_2	wh2_dlc09_special_settlement_khemri_tmb	2	5	1500	0		false	false			true	wh_main_HUMAN_settlement_major_coast	false	0.0000	1	true	0	wh2_cam_settlement_capital_tombkings	true	0	0		0
wh2_dlc09_special_settlement_khemri_tmb_3	wh2_dlc09_special_settlement_khemri_tmb	3	6	3000	0		false	false			true	wh_main_HUMAN_settlement_major_coast	false	0.0000	2	true	0	wh2_cam_settlement_capital_tombkings	true	0	0		0
wh2_dlc09_special_settlement_khemri_tmb_4	wh2_dlc09_special_settlement_khemri_tmb	4	7	6000	0		false	false			true	wh_main_HUMAN_settlement_major_coast	false	0.0000	4	true	0	wh2_cam_settlement_capital_tombkings	true	0	0		0
wh2_dlc09_special_settlement_khemri_tmb_5	wh2_dlc09_special_settlement_khemri_tmb	5	8	12000	0		false	false			true	wh_main_HUMAN_settlement_major_coast	false	0.0000	5	true	0	wh2_cam_settlement_capital_tombkings	true	0	0		0
wh2_dlc09_special_settlement_khemri_tmb_ruin	wh2_dlc09_special_settlement_khemri_tmb	0	1	0	0		false	false			true	wh_main_HUMAN_settlement_major_coast	false	0.0000	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0
