bonus_value_id	effect	scripted_record
#effect_bonus_value_scripted_junctions_tables;0;db/effect_bonus_value_scripted_junctions_tables/data__		
value	wh2_dlc11_cst_increase_sea_encounter	increase_sea_encounter_loot
value	wh2_dlc11_effect_increased_chivalry_vampire_coast	chivalry_from_battles_vampire_coast
value	wh2_dlc11_effect_treasure_map_find_chance	treasure_map_find_chance
value	wh2_dlc12_effect_under_empire_cooldown	under_empire_cooldown
value	wh2_dlc12_effect_under_empire_expansion	under_empire_adjacent_region_expansion_chance
value	wh2_dlc12_effect_under_empire_warcamp_catapult	under_empire_warcamp_catapult
value	wh2_dlc12_effect_under_empire_warcamp_clanrat	under_empire_warcamp_clanrat
value	wh2_dlc12_effect_under_empire_warcamp_doomwheel	under_empire_warcamp_doomwheel
value	wh2_dlc12_effect_under_empire_warcamp_hell_pit	under_empire_warcamp_hell_pit
value	wh2_dlc12_effect_under_empire_warcamp_plague_monk	under_empire_warcamp_plague_monk
value	wh2_dlc12_effect_under_empire_warcamp_upgrade	under_empire_warcamp_upgrade
value	wh2_dlc13_emp_wulfhart_imperial_supply_extra	imperial_supply_extra
value	wh2_dlc13_imperial_supplies_delay	imperial_supplies_delay
value	wh2_dlc13_imperial_supplies_empower_3	imperial_supply_extra
value	wh2_dlc15_effect_force_army_campaign_experience_hef_lord_noble_dummy	experience_mod
value	wh2_dlc15_effect_force_army_campaign_experience_hef_lord_noble_per_turn_dummy	experience
value	wh2_dlc16_effect_additional_worldroots_health_from_battles	additional_worldroots_health_from_battles
value	wh2_dlc16_effect_additional_worldroots_health_from_razing	additional_worldroots_health_from_razing
value	wh2_dlc16_effect_pooled_resource_world_roots_local_per_turn	world_roots_local_per_turn
value	wh2_dlc16_effect_provides_vision_on_all_glade_regions	provides_vision_on_all_glade_regions
value	wh2_dlc16_effect_wef_forge_of_daith_increase_daiths_favour_chance	increase_daiths_favour_chance
value	wh2_dlc16_effect_worldroots_health_per_turn_all_regions	worldroots_health_per_turn_all_regions
value	wh2_dlc17_effect_pooled_resource_sanctum_stone_per_turn	oxyotl_sanctum_gems_per_turn
value	wh2_main_effect_faction_elven_espionage	trade_agreement_visibility
value	wh2_main_effect_force_army_campaign_experience_def_sorceress_per_turn	experience_for_def_casters
value	wh2_main_effect_force_army_campaign_experience_def_sorceress	experience_mod_for_def_casters
value	wh2_main_effect_force_army_campaign_experience_hef_caster	experience_mod_for_spellcasters
value	wh2_main_effect_force_army_campaign_experience_hef_mage_loremaster_per_turn	experience_for_hef_casters
value	wh2_main_effect_force_army_campaign_experience_hef_mage_loremaster	experience_mod_for_hef_casters
value	wh2_main_effect_force_army_campaign_experience_skv_engineers_per_turn	experience
value	wh3_dlc20_effect_char_upgrade_xp_loss_mod_all_chs_scripted	char_upgrade_level_preserved_kho
value	wh3_dlc20_effect_char_upgrade_xp_loss_mod_all_chs_scripted	char_upgrade_level_preserved_nur
value	wh3_dlc20_effect_char_upgrade_xp_loss_mod_all_chs_scripted	char_upgrade_level_preserved_sla
value	wh3_dlc20_effect_char_upgrade_xp_loss_mod_all_chs_scripted	char_upgrade_level_preserved_tze
value	wh3_dlc20_effect_char_upgrade_xp_loss_mod_khorne_scripted	char_upgrade_level_preserved_kho
value	wh3_dlc20_effect_char_upgrade_xp_loss_mod_nurgle_scripted	char_upgrade_level_preserved_nur
value	wh3_dlc20_effect_char_upgrade_xp_loss_mod_slaanesh_scripted	char_upgrade_level_preserved_sla
value	wh3_dlc20_effect_char_upgrade_xp_loss_mod_tzeentch_scripted	char_upgrade_level_preserved_tze
