key	sort	image_path	culture	ownership_product	offset_x
#narrative_viewer_tabs_tables;0;db/narrative_viewer_tabs_tables/data__					
tab_chd	10	ui\skins\default\narrative_viewer_tab_chd_active	wh3_dlc23_chd_chaos_dwarfs	TW_WH3_CHAOS_DWARFS	8
tab_chs	9	ui\skins\default\narrative_viewer_tab_chs_active	wh_main_chs_chaos		33
tab_common	0	ui\skins\default\narrative_viewer_tab_common_active	*		12
tab_cth	8	ui\skins\default\narrative_viewer_tab_cth_active	wh3_main_cth_cathay		25
tab_dae	1	ui\skins\default\narrative_viewer_tab_dae_active	wh3_main_dae_daemons		35
tab_dwf	12	ui\skins\default\narrative_viewer_tab_dwf_active	wh_main_dwf_dwarfs	TW_WH3_THRONES_OF_DECAY_DWF	8
tab_emp	11	ui\skins\default\narrative_viewer_tab_emp_active	wh_main_emp_empire		16
tab_grn	13	ui\skins\default\narrative_viewer_tab_grn_active	wh_main_grn_greenskins	TW_WH3_OMENS_OF_DESTRUCTION_GRN	16
tab_hef	14	ui\skins\default\narrative_viewer_tab_hef_active	wh2_main_hef_high_elves	TW_WH3_TIDES_OF_TORMENT_HEF	8
tab_kho	2	ui\skins\default\narrative_viewer_tab_kho_active	wh3_main_kho_khorne		17
tab_ksl	6	ui\skins\default\narrative_viewer_tab_ksl_active	wh3_main_ksl_kislev		14
tab_nag	16	ui\skins\default\narrative_viewer_tab_nag_active	wh3_dlc29_nag_undead_legions	TW_WH3_LOET_NAGASH	8
tab_nor	15	ui\skins\default\narrative_viewer_tab_nor_active	wh_dlc08_nor_norsca	TW_WH3_TIDES_OF_TORMENT_NOR	16
tab_nur	3	ui\skins\default\narrative_viewer_tab_nur_active	wh3_main_nur_nurgle		10
tab_ogr	7	ui\skins\default\narrative_viewer_tab_ogr_active	wh3_main_ogr_ogre_kingdoms	TW_WH3_OGRE_KINGDOMS	16
tab_skv	17	ui\skins\default\narrative_viewer_tab_skv_active	wh2_main_skv_skaven	TW_WH3_LOET_THANQUOL	16
tab_sla	4	ui\skins\default\narrative_viewer_tab_sla_active	wh3_main_sla_slaanesh		23
tab_tze	5	ui\skins\default\narrative_viewer_tab_tze_active	wh3_main_tze_tzeentch		27
tab_vmp	18	ui\skins\default\narrative_viewer_tab__vmp_active	wh_main_vmp_vampire_counts	TW_WH1_BASE_GAME	16
