key	expression	display_only_active_effects	always_show_display_text
#building_effect_context_expressions_tables;2;db/building_effect_context_expressions_tables/data__			
AislinnBuiltInColony	Region.Owner.RecordKey == "wh3_dlc27_hef_aislinn"	false	false
AislinnBuiltInOutpost	Region.Owner.RecordKey != "wh3_dlc27_hef_aislinn"	false	false
AislinnColonyInProvince	Province.Regions.Any((r) => r.Owner.RecordKey == "wh3_dlc27_hef_aislinn")	false	false
AislinnConfederated	Owner.IsEffectBundleActive("wh3_dlc27_confederated_aislinn")	false	false
AllegianceCrowMax	Owner.ModelPooledResourceContext("nor_progress_crow").Total >= 15	false	false
AllegianceEagleMax	Owner.ModelPooledResourceContext("nor_progress_eagle").Total >= 15	false	false
AllegianceHoundMax	Owner.ModelPooledResourceContext("nor_progress_hound").Total >= 15	false	false
AllegianceSerpentMax	Owner.ModelPooledResourceContext("nor_progress_serpent").Total >= 15	false	false
AnyProvinceRegionRazed	Province.Regions.Any((r) => r.IsAbandoned == true)	false	false
BooksOfNagash0	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 0	true	false
BooksOfNagash1	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 1	true	false
BooksOfNagash2	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 2	true	false
BooksOfNagash3	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 3	true	false
BooksOfNagash4	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 4	true	false
BooksOfNagash5	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 5	true	false
BooksOfNagash6	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 6	true	false
BooksOfNagash7	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 7	true	false
BooksOfNagash8	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 8	true	false
BooksOfNagash9	GetModelBooksOfNagash.Filter(IsOwnedByFaction(Owner)).Size == 9	true	false
CHDRawMaterialsGreaterThan125	Owner.ModelPooledResourceContext("wh3_dlc23_chd_raw_materials").Total >= 125	false	false
CHDRawMaterialsGreaterThan150	Owner.ModelPooledResourceContext("wh3_dlc23_chd_raw_materials").Total >= 150	false	false
CHDRawMaterialsGreaterThan250	Owner.ModelPooledResourceContext("wh3_dlc23_chd_raw_materials").Total >= 250	false	false
CHDRawMaterialsGreaterThan50	Owner.ModelPooledResourceContext("wh3_dlc23_chd_raw_materials").Total >= 50	false	false
CHDRawMaterialsGreaterThan75	Owner.ModelPooledResourceContext("wh3_dlc23_chd_raw_materials").Total >= 75	false	false
ChaosUndCorruption100	Region.Province.PooledResourceContextForKey("wh3_main_corruption_chaos").Total >= 100	false	false
ChaosUndCorruption50	Region.Province.PooledResourceContextForKey("wh3_main_corruption_chaos").Total >= 50	false	false
ChaosUndCorruption75	Region.Province.PooledResourceContextForKey("wh3_main_corruption_chaos").Total >= 75	false	false
