associated_province	patron_faction
#patron_faction_to_associated_provinces_tables;0;db/patron_faction_to_associated_provinces_tables/data__	
wh3_main_combi_province_caledor	wh2_dlc15_hef_imrik
wh3_main_combi_province_tiranoc	wh2_dlc15_hef_imrik
wh3_main_combi_province_avelorn	wh2_main_hef_avelorn
wh3_main_combi_province_eataine	wh2_main_hef_eataine
wh3_main_combi_province_ellyrion	wh2_main_hef_eataine
wh3_main_combi_province_chrace	wh2_main_hef_nagarythe
wh3_main_combi_province_nagarythe	wh2_main_hef_nagarythe
wh3_main_combi_province_cothique	wh2_main_hef_order_of_loremasters
wh3_main_combi_province_saphery	wh2_main_hef_order_of_loremasters
wh3_main_combi_province_northern_yvresse	wh2_main_hef_yvresse
wh3_main_combi_province_southern_yvresse	wh2_main_hef_yvresse
