battle	is_community
#battle_sources_tables;0;db/battle_sources_tables/data__	
chs_wastes_coast_a_01	false
chs_wastes_coast_a_02	false
chs_wastes_coast_a_04	false
chs_wastes_coast_a_05	false
chs_wastes_coast_a_06	false
chs_wastes_coast_a_07	false
chs_wastes_coast_a_08	false
chs_wastes_coast_a_09	false
chs_wastes_coast_a_10	false
chs_wastes_coast_a_11	false
chs_wastes_coast_a_12	false
chs_wastes_mountain_a_01	false
chs_wastes_mountain_a_02	false
chs_wastes_mountain_a_03	false
chs_wastes_mountain_a_04	false
chs_wastes_mountain_a_05	false
chs_wastes_mountain_a_06	false
chs_wastes_mountain_a_07	false
chs_wastes_mountain_a_08	false
chs_wastes_mountain_a_09	false
chs_wastes_mountain_a_10	false
chs_wastes_mountain_a_11	false
chs_wastes_mountain_a_12	false
dlc23_subterranean_chd_a	false
major_a_emp	false
major_a_vmp	false
major_b_brt	false
major_b_ksl	false
major_c_emp	false
major_c_ksl	false
major_d_lzd	false
major_d_tmb	false
major_e_grn	false
major_e_hef	false
major_f_hef	false
major_f_lzd	false
major_g_dwf	false
major_h_cst	false
major_h_ksl	false
major_i_chs	false
major_i_dwf	false
major_j_skv	false
major_k_chs	false
major_k_def	false
major_l_def	false
major_m_chs	false
major_n_cth	false
major_n_cth_wei_jin	false
major_o_cth	false
major_o_tmb	false
major_p_brt	false
major_q_cth	false
major_s_chd	false
major_v_emp	false
major_w_chd	false
minor_a_emp	false
minor_a_ksl	false
minor_a_vmp	false
minor_b_brt	false
minor_b_ksl	false
minor_bst_01	false
minor_c_emp	false
minor_c_ksl	false
minor_c_ogr	false
minor_d_lzd	false
minor_d_tmb	false
minor_e_grn	false
minor_e_hef	false
minor_e_ogr	false
minor_f_cth	false
minor_f_hef	false
minor_f_lzd	false
minor_g_chs	false
minor_g_dwf	false
minor_g_skv	false
minor_h_cst	false
minor_h_ksl	false
minor_h_ogr	false
minor_i_chs	false
minor_i_dwf	false
minor_i_nor	false
minor_j_grn	false
minor_j_skv	false
minor_k_chs	false
minor_k_def	false
minor_k_nor	false
minor_l_def	false
minor_l_nor	false
minor_l_ogr	false
minor_m_chs	false
minor_m_nor	false
minor_m_ogr	false
minor_n_cth	false
minor_n_emp	false
minor_o_cth	false
minor_o_tmb	false
minor_p_brt	false
minor_p_chs	false
minor_p_cth	false
minor_s_chd	false
minor_s_grn	false
minor_t_cth	false
minor_t_ogr	false
minor_v_emp	false
minor_w_chd	false
minor_wef_01	false
qb_wh2_altar_of_ultimate_darkness	false
qb_wh2_arnheim	false
qb_wh2_caverns_of_the_great_bat	false
qb_wh2_dlc09_ash_river	false
qb_wh2_dlc09_black_pyramid	false
qb_wh2_dlc09_charnel_valley	false
qb_wh2_dlc09_pack_ice_bay	false
qb_wh2_dlc09_pits_of_zardok	false
qb_wh2_dlc09_staff_of_nagash	false
qb_wh2_dlc10_alarielle_star_of_avelorn	false
qb_wh2_dlc10_alith_anar_the_moon_bow	false
qb_wh2_dlc11_cst_final_battle	false
qb_wh2_dlc11_cst_harkon	false
qb_wh2_dlc11_cst_island_galleons_graveyard_1	false
qb_wh2_dlc11_cst_noctilus	false
qb_wh2_dlc11_cst_noctilus_desert	false
qb_wh2_dlc11_cylostra_shifting_isles	false
qb_wh2_dlc11_cylostra_shifting_isles_desert	false
qb_wh2_dlc11_cylostra_shifting_isles_snowy	false
qb_wh2_dlc11_lokhir_black_ark	false
qb_wh2_dlc11_skjold	false
qb_wh2_dlc12_ikit_claw_storm_daemon	false
qb_wh2_dlc12_lord_kroak	false
qb_wh2_dlc12_tehenhauin_plaque_of_sotek	false
qb_wh2_dlc12_tiktaqto_mask_of_heavens	false
qb_wh2_dlc13_final_battle	false
qb_wh2_dlc13_nakai_albion_ogham_shard	false
qb_wh2_dlc13_nakai_golden_tributes	false
qb_wh2_dlc13_wulfhart_amber_bow	false
qb_wh2_dlc14_final_battle_black_ark_landing	false
qb_wh2_dlc14_malus_bloodfire_falls	false
qb_wh2_dlc14_repanse_gleaming_oasis	false
qb_wh2_dlc14_repanse_lyonesse_coast	false
qb_wh2_dlc14_snikch_thieves_hideout	false
qb_wh2_dlc15_grom_swamp_of_terror	false
qb_wh2_dlc15_grom_swamp_of_terror_ambush	false
qb_wh2_dlc15_sundered_strand	false
qb_wh2_dlc15_talisman_of_hoeth	false
qb_wh2_dlc15_tor_yvresse	false
qb_wh2_dlc15_tor_yvresse_rebuilding	false
qb_wh2_dlc15_tor_yvresse_ruined	false
qb_wh2_dlc16_drycha_wildwood_prison	false
qb_wh2_dlc16_final_battle	false
qb_wh2_dlc16_sisters_naggaroth	false
qb_wh2_dlc16_sisters_naggaroth_ambush	false
qb_wh2_dlc16_sisters_naggaroth_chokepoint	false
qb_wh2_dlc16_throt_hell_pit_blockade	false
qb_wh2_dlc17_Thorek_final_battle	false
qb_wh2_dlc17_heart_of_the_dark	false
qb_wh2_dlc17_oxyotl_the_golden_blowpipe_of_ptoohee	false
qb_wh2_dlc17_taurox_rune_tortured_axes	false
qb_wh2_fallen_gates	false
qb_wh2_final_battle	false
qb_wh2_gouger_gully	false
qb_wh2_isle_of_the_crimson_skull	false
