key	melee	ranged_indirect	ranged_direct	fast	flanker	support	flying	high_value	gate_crusher	bomber	shock	use_skirmish	harasser	stalker	artillery?	building_breaker?	passive_shooter?	hybrid_melee
#ai_usage_groups_tables;12;db/ai_usage_groups_tables/data__																		
flying_fast_melee_flanker_bomber	true	false	false	true	true	false	true	false	false	true	false	false	false	false	false	false	false	false
flying_hybrid_highvalue	true	true	false	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false
flying_mage_highvalue	false	false	false	true	false	true	true	true	false	false	false	false	false	false	false	false	false	false
flying_melee	true	false	false	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false
flying_melee_flanker	true	false	false	true	true	false	true	false	false	false	false	false	false	false	false	false	false	false
flying_melee_flanker_shock	true	false	false	true	true	false	true	false	false	false	true	false	false	false	false	false	false	false
flying_melee_flanker_shock_highvalue	true	false	false	true	true	false	true	true	false	false	true	false	false	false	false	false	false	false
flying_melee_highvalue	true	false	false	true	false	false	true	true	false	false	false	false	false	false	false	false	false	false
flying_melee_mage_highvalue	true	false	false	true	false	true	true	true	false	false	false	false	false	false	false	false	false	false
flying_melee_mage_hybrid_highvalue	true	true	true	true	false	true	true	true	false	false	false	false	false	false	false	true	false	true
flying_melee_shock_highvalue	true	false	false	true	false	false	true	true	false	false	true	false	false	false	false	false	false	false
flying_melee_shock_mage_highvalue	true	false	false	true	false	true	true	true	false	false	true	false	false	false	false	false	false	false
flying_melee_shock_mage_hybrid_highvalue	true	true	true	true	false	true	true	true	false	false	true	false	false	false	false	true	false	true
flying_ranged_flanker	false	false	true	true	true	false	true	false	false	false	false	true	false	false	false	true	false	false
flying_ranged_harasser_flanker	false	false	true	true	true	false	true	false	false	false	false	true	true	false	false	true	false	false
flying_ranged_harasser_flanker_highvalue	false	false	true	true	true	false	true	true	false	false	false	true	true	false	false	true	false	false
gyrocopter	false	false	true	true	true	true	true	false	false	true	false	true	true	false	false	false	false	false
hybrid	true	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
hybrid_cav_highvalue	true	true	false	true	false	false	false	true	false	false	false	false	false	false	false	false	false	false
hybrid_direct_shock_arty	true	false	true	false	false	false	false	false	false	false	true	false	false	false	false	true	true	false
hybrid_flanker_shock_harasser	true	true	false	true	true	false	false	false	false	false	true	false	true	false	false	false	false	false
hybrid_flanker_shock_harasser_highvalue	true	true	false	true	true	false	false	false	false	false	true	false	true	false	false	false	false	false
hybrid_gatecrusher	true	true	true	false	false	false	false	false	true	false	false	false	false	false	true	true	false	false
hybrid_gatecrusher_highvalue	true	true	true	false	false	false	false	true	true	false	false	false	false	false	true	true	false	false
hybrid_highvalue	true	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false
hybrid_indirect_shock_arty	true	true	false	false	false	false	false	false	false	false	true	false	false	false	false	true	true	false
hybrid_lowvalue	true	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
hybrid_mage_highvalue	true	true	true	true	false	true	false	true	true	false	false	false	false	false	false	false	false	false
hybrid_mage_highvalue_slow	true	true	true	false	false	true	false	true	false	false	false	false	false	false	false	true	false	true
hybrid_melee	true	true	true	false	false	false	false	false	false	false	false	true	false	false	false	false	false	true
hybrid_melee_direct_no_skirmish	true	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true
mage	false	false	false	false	false	true	false	true	false	false	false	true	false	false	false	false	false	false
