key	icon	rogue_army_faction_effect_bundle	non_participant_faction_effect_bundle
#books_of_nagash_details_tables;1;db/books_of_nagash_details_tables/data__			
wh2_dlc09_books_of_nagash_1	UI\skins\default\dlc29_nag_books\icon_nag_book_1.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_1
wh2_dlc09_books_of_nagash_2	UI\skins\default\dlc29_nag_books\icon_nag_book_2.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_2
wh2_dlc09_books_of_nagash_3	UI\skins\default\dlc29_nag_books\icon_nag_book_3.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_3
wh2_dlc09_books_of_nagash_4	UI\skins\default\dlc29_nag_books\icon_nag_book_4.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_4
wh2_dlc09_books_of_nagash_5	UI\skins\default\dlc29_nag_books\icon_nag_book_5.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_5
wh2_dlc09_books_of_nagash_6	UI\skins\default\dlc29_nag_books\icon_nag_book_6.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_6
wh2_dlc09_books_of_nagash_7	UI\skins\default\dlc29_nag_books\icon_nag_book_7.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_7
wh2_dlc09_books_of_nagash_8	UI\skins\default\dlc29_nag_books\icon_nag_book_8.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_8
wh2_dlc09_books_of_nagash_9	UI\skins\default\dlc29_nag_books\icon_nag_book_9.png	wh2_dlc09_bundle_book_rogue_army	wh3_dlc29_books_of_nagash_owner_non_participant_9
