vortex_key	change_max_angle	contact_effect	damage	damage_ap	duration	expansion_speed	goal_radius	infinite_height	move_change_freq	movement_speed	start_radius	ignition_amount	is_magical	composite_scene	detonation_force	launch_source	building_collision	launch_vfx	height_off_ground	delay	num_vortexes	composite_scene_blood	affects_allies	launch_source_offset	composite_scene_group	delay_between_vortexes	is_spell	shape	start_height	goal_height
#battle_vortexs_tables;17;db/battle_vortexs_tables/data__																														
wh2_dlc09_abilities_sand_storm	170		7	4	14.0000	22.0000	12.0000	true	1.0000	4.0000	12.0000	0.0000	true	composite_scene\spells_and_abilities\wh2_dlc09_abilities_sandstorm.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000
wh2_dlc09_abilities_venom_wave	0	wh_main_unit_contact_poison	16	0	1.0000	15.0000	15.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene\spells_and_abilities\wh2_dlc09_abilities_poison_wave.csc	200.0000	target_centre	1.ignore		0.0000	0.8000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000
wh2_dlc09_abilities_wrath_of_ptra	0		16	0	1.0000	15.0000	15.0000	false	0.0000	0.0000	0.1000	1.0000	true	composite_scene\spells_and_abilities\wrath_of_ptra.csc	200.0000	target_centre	1.ignore		0.0000	0.8000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000
wh2_dlc09_army_abilities_barrage_of_the_legion	2		0	18	4.0000	30.0000	7.0000	false	0.2500	7.0000	7.0000	0.0000	true	composite_scene\spells_and_abilities\wh2_dlc09_abilities_barrage_of_legion.csc	30.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000
wh2_dlc09_army_abilities_tomb_swarm	0		0	0	18.0000	3.0000	30.0000	false	0.0000	0.0000	30.0000	0.0000	true	composite_scene\spells_and_abilities\wh2_dlc09_army_abilities_tomb_swarm.csc	0.0000	target_centre	1.ignore		0.0000	1.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	170		21	0	27.0000	22.0000	7.0000	true	1.0000	3.0000	7.0000	1.0000	true	composite_scene\spells_and_abilities\wh2_dlc09_nehekhara_skullstorm.csc	40.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	170		21	0	27.0000	22.0000	10.0000	true	1.0000	3.0000	10.0000	1.0000	true	composite_scene\spells_and_abilities\wh2_dlc09_nehekhara_skullstorm_upgraded.csc	40.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000
wh2_dlc10_item_bound_arnizipals_black_horror	10		6	3	20.0000	-30.0000	10.0000	false	1.0000	7.0000	10.0000	0.0000	true	composite_scene/spells_and_abilities/black_horror.csc	100.0000	target_near_edge	1.ignore		0.0000	1.5000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000
wh2_dlc10_quest_abilities_fiery_head	120		0	12	45.0000	20.0000	35.0000	true	1.0000	0.0000	35.0000	1.0000	false	composite_scene\spells_and_abilities\wh2_dlc10_hydra_fiery_head.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000
wh2_dlc10_quest_abilities_unidentified_head	120		0	12	45.0000	20.0000	35.0000	true	1.0000	0.0000	35.0000	1.0000	false	composite_scene\spells_and_abilities\wh2_dlc10_hydra_fiery_head.csc	20.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000
wh2_dlc10_weapon_abilities_sword_of_khaine	170	wh2_main_unit_contact_witch_elf_poison	7	7	11.0000	22.0000	12.0000	true	1.0000	4.0000	12.0000	0.0000	true	composite_scene\spells_and_abilities\sword_of_kaine.csc	30.0000	target_centre	1.ignore		0.0000	0.8000	1		true	0.0000		1.0000	true	circle	0.0000	0.0000
wh2_dlc11_army_abilities_queen_bess	0		0	12	1.0000	30.0000	9.0000	false	0.0000	55.0000	7.0000	1.0000	true	composite_scene\spells_and_abilities\wh2_dlc11_abilities_norse_roar.csc	30.0000	target_near_edge	1.ignore		0.0000	0.5000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000
