campaign_group	effect_bundle	effect_type
#campaign_group_pooled_resource_effects_tables;2;db/campaign_group_pooled_resource_effects_tables/data__		
brt_chivalry_1	wh_dlc07_bretonnia_chivalry_bar_0_200	ABSOLUTE_VALUE
brt_chivalry_2	wh_dlc07_bretonnia_chivalry_bar_201_400	ABSOLUTE_VALUE
brt_chivalry_3	wh_dlc07_bretonnia_chivalry_bar_401_600	ABSOLUTE_VALUE
brt_chivalry_4	wh_dlc07_bretonnia_chivalry_bar_601_800	ABSOLUTE_VALUE
brt_chivalry_5	wh_dlc07_bretonnia_chivalry_bar_801_1000	ABSOLUTE_VALUE
wh2_dlc13_pooled_resource_imperial_authority_1	wh2_dlc13_bundle_imperial_authority_1	ABSOLUTE_VALUE
wh2_dlc13_pooled_resource_imperial_authority_2	wh2_dlc13_bundle_imperial_authority_2	ABSOLUTE_VALUE
wh2_dlc13_pooled_resource_imperial_authority_3	wh2_dlc13_bundle_imperial_authority_3	ABSOLUTE_VALUE
wh2_dlc13_pooled_resource_imperial_authority_4	wh2_dlc13_bundle_imperial_authority_4	ABSOLUTE_VALUE
wh2_dlc13_pooled_resource_imperial_authority_5	wh2_dlc13_bundle_imperial_authority_5	ABSOLUTE_VALUE
wh2_dlc13_pooled_resource_imperial_authority_6	wh2_dlc13_bundle_imperial_authority_6	ABSOLUTE_VALUE
wh2_dlc13_progress_level_0	wh2_dlc13_progress_level_0	ABSOLUTE_VALUE
wh2_dlc13_progress_level_1	wh2_dlc13_progress_level_1	ABSOLUTE_VALUE
wh2_dlc13_progress_level_2	wh2_dlc13_progress_level_2	ABSOLUTE_VALUE
wh2_dlc13_progress_level_3	wh2_dlc13_progress_level_3	ABSOLUTE_VALUE
wh2_dlc13_progress_level_4	wh2_dlc13_progress_level_4	ABSOLUTE_VALUE
wh2_dlc13_progress_level_5	wh2_dlc13_progress_level_5	ABSOLUTE_VALUE
wh2_dlc13_wanted_level_1	wh2_dlc13_wanted_level_1	ABSOLUTE_VALUE
wh2_dlc13_wanted_level_2	wh2_dlc13_wanted_level_2	ABSOLUTE_VALUE
wh2_dlc13_wanted_level_3	wh2_dlc13_wanted_level_3	ABSOLUTE_VALUE
wh2_dlc13_wanted_level_4	wh2_dlc13_wanted_level_4	ABSOLUTE_VALUE
wh2_dlc13_wanted_level_5	wh2_dlc13_wanted_level_5	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_mors_1	wh2_dlc14_pooled_resource_eshin_reputation_mors_1	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_mors_2	wh2_dlc14_pooled_resource_eshin_reputation_mors_2	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_mors_3	wh2_dlc14_pooled_resource_eshin_reputation_mors_3	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_mors_4	wh2_dlc14_pooled_resource_eshin_reputation_mors_4	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_mors_5	wh2_dlc14_pooled_resource_eshin_reputation_mors_5	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_mors_6	wh2_dlc14_pooled_resource_eshin_reputation_mors_6	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_mors_7	wh2_dlc14_pooled_resource_eshin_reputation_mors_7	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_moulder_1	wh2_dlc14_pooled_resource_eshin_reputation_moulder_1	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_moulder_2	wh2_dlc14_pooled_resource_eshin_reputation_moulder_2	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_moulder_3	wh2_dlc14_pooled_resource_eshin_reputation_moulder_3	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_moulder_4	wh2_dlc14_pooled_resource_eshin_reputation_moulder_4	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_moulder_5	wh2_dlc14_pooled_resource_eshin_reputation_moulder_5	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_moulder_6	wh2_dlc14_pooled_resource_eshin_reputation_moulder_6	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_moulder_7	wh2_dlc14_pooled_resource_eshin_reputation_moulder_7	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_1	wh2_dlc14_pooled_resource_eshin_reputation_pestilens_1	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_2	wh2_dlc14_pooled_resource_eshin_reputation_pestilens_2	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_3	wh2_dlc14_pooled_resource_eshin_reputation_pestilens_3	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_4	wh2_dlc14_pooled_resource_eshin_reputation_pestilens_4	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_5	wh2_dlc14_pooled_resource_eshin_reputation_pestilens_5	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_6	wh2_dlc14_pooled_resource_eshin_reputation_pestilens_6	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_7	wh2_dlc14_pooled_resource_eshin_reputation_pestilens_7	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_skryre_1	wh2_dlc14_pooled_resource_eshin_reputation_skryre_1	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_skryre_2	wh2_dlc14_pooled_resource_eshin_reputation_skryre_2	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_skryre_3	wh2_dlc14_pooled_resource_eshin_reputation_skryre_3	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_skryre_4	wh2_dlc14_pooled_resource_eshin_reputation_skryre_4	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_skryre_5	wh2_dlc14_pooled_resource_eshin_reputation_skryre_5	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_skryre_6	wh2_dlc14_pooled_resource_eshin_reputation_skryre_6	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_eshin_reputation_skryre_7	wh2_dlc14_pooled_resource_eshin_reputation_skryre_7	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_malus_sanity_1	wh2_dlc14_pooled_resource_malus_sanity_1	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_malus_sanity_2	wh2_dlc14_pooled_resource_malus_sanity_2	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_malus_sanity_3	wh2_dlc14_pooled_resource_malus_sanity_3	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_malus_sanity_4	wh2_dlc14_pooled_resource_malus_sanity_4	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_malus_sanity_5	wh2_dlc14_pooled_resource_malus_sanity_5	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_malus_sanity_6	wh2_dlc14_pooled_resource_malus_sanity_6	ABSOLUTE_VALUE
wh2_dlc14_pooled_resource_malus_sanity_7	wh2_dlc14_pooled_resource_malus_sanity_7	ABSOLUTE_VALUE
wh2_dlc15_pooled_resource_greenskins_waaagh_1	wh2_dlc15_pooled_resource_greenskins_waaagh_1	ABSOLUTE_VALUE
wh2_dlc15_pooled_resource_greenskins_waaagh_2	wh2_dlc15_pooled_resource_greenskins_waaagh_2	ABSOLUTE_VALUE
wh2_dlc15_pooled_resource_greenskins_waaagh_3	wh2_dlc15_pooled_resource_greenskins_waaagh_3	ABSOLUTE_VALUE
wh2_dlc15_pooled_resource_greenskins_waaagh_4	wh2_dlc15_pooled_resource_greenskins_waaagh_4	ABSOLUTE_VALUE
wh2_dlc15_pooled_resource_yvresse_defence_0	wh2_dlc15_bundle_yvresse_defence_0	ABSOLUTE_VALUE
wh2_dlc15_pooled_resource_yvresse_defence_1	wh2_dlc15_bundle_yvresse_defence_1	ABSOLUTE_VALUE
wh2_dlc15_pooled_resource_yvresse_defence_2	wh2_dlc15_bundle_yvresse_defence_2	ABSOLUTE_VALUE
wh2_dlc15_pooled_resource_yvresse_defence_3	wh2_dlc15_bundle_yvresse_defence_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_1	wh2_dlc16_throt_flesh_lab_growth_vat_1	PERCENTAGE_OF_CAPACITY
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_2	wh2_dlc16_throt_flesh_lab_growth_vat_2	PERCENTAGE_OF_CAPACITY
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_3	wh2_dlc16_throt_flesh_lab_growth_vat_3	PERCENTAGE_OF_CAPACITY
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_4	wh2_dlc16_throt_flesh_lab_growth_vat_4	PERCENTAGE_OF_CAPACITY
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_5	wh2_dlc16_throt_flesh_lab_growth_vat_5	PERCENTAGE_OF_CAPACITY
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_0	wh2_dlc16_pooled_resource_world_roots_health_athel_loren_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_1	wh2_dlc16_pooled_resource_world_roots_health_athel_loren_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_2	wh2_dlc16_pooled_resource_world_roots_health_athel_loren_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_3	wh2_dlc16_pooled_resource_world_roots_health_athel_loren_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_4	wh2_dlc16_pooled_resource_world_roots_health_athel_loren_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_0	wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_0	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_1	wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_1	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_2	wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_2	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_3	wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_3	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_4	wh2_dlc16_pooled_resource_world_roots_health_emerald_pools_4	ABSOLUTE_VALUE
wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_0	wh2_dlc16_pooled_resource_world_roots_health_gaean_vale_0	ABSOLUTE_VALUE
