key	group	unit	xp
#campaign_rogue_army_group_units_tables;0;db/campaign_rogue_army_group_units_tables/data__			
0	wh2_main_rogue_group_vashnaar	wh2_main_def_cav_cold_one_knights_1	9
1	wh2_main_rogue_group_vashnaar	wh2_main_def_cav_cold_one_knights_1	5
1000225351	wh2_dlc09_rogue_black_creek_raiders	wh_dlc01_chs_inf_chosen_2	9
1003547928	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh_dlc04_emp_inf_free_company_militia_0	0
1007202277	wh3_dlc23_rogue_the_cult_of_morgrim	wh_main_dwf_inf_ironbreakers	9
1012004194	wh2_dlc11_cst_shanty_dragon_spine_privateers	wh_dlc05_wef_inf_wardancers_1	0
1019619280	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc10_dwf_inf_giant_slayers	0
1020427337	wh2_dlc09_rogue_dwellers_of_zardok	wh_dlc03_bst_inf_bestigor_herd_0	7
1032313070	wh2_main_rogue_group_black_spider_tribe	wh_main_grn_cav_forest_goblin_spider_riders_1	8
1032984208	wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_main_skv_veh_doomwheel	0
103392219	wh2_main_rogue_group_stuff_snatchers	wh_main_grn_cav_forest_goblin_spider_riders_1	5
1039298168	wh2_main_rogue_group_teef_snatchaz	wh_main_grn_art_goblin_rock_lobber	0
1041347395	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_inf_depth_guard_0	0
1041723114	wh2_main_rogue_group_bernhoffs_brigands	wh_main_brt_cav_mounted_yeomen_1	6
104262520	wh2_main_rogue_group_scourge_of_aquitaine	wh_main_vmp_cav_black_knights_3	6
1043075324	wh2_main_rogue_group_bernhoffs_brigands	wh_main_brt_cav_mounted_yeomen_1	6
1045057907	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh_main_dwf_inf_irondrakes_0	0
1045481774	wh2_dlc09_rogue_black_creek_raiders	wh_main_chs_mon_chaos_spawn	7
105	wh2_main_rogue_group_hunters_of_kurnous	wh_dlc05_wef_inf_glade_guard_2	5
1053325734	wh3_dlc23_rogue_sacred_host_of_tepok	wh2_dlc13_lzd_mon_sacred_kroxigors_0	9
106000943	wh3_dlc23_rogue_sacred_host_of_tepok	wh2_main_lzd_mon_bastiladon_2	9
1066461555	wh2_main_rogue_group_scions_of_tesseninck	wh_main_emp_inf_spearmen_0	0
1069401562	wh2_dlc09_rogue_dwellers_of_zardok	wh_dlc03_bst_inf_minotaurs_1	5
1071462167	wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh_main_emp_inf_crossbowmen	0
1076035109	wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc10_def_cav_doomfire_warlocks_0	0
1079976494	wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh_main_dwf_inf_longbeards	0
1090136009	wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_main_def_inf_black_ark_corsairs_0	0
1090167391	wh2_dlc09_rogue_black_creek_raiders	wh2_main_def_inf_darkshards_1	5
1095130643	wh2_main_rogue_group_pirates_of_the_southern_ocean	wh_main_emp_cav_pistoliers_1	0
1102866443	wh2_main_rogue_group_pirates_of_the_far_sea	wh_main_emp_cav_pistoliers_1	0
11048046	wh2_dlc09_rogue_black_creek_raiders	wh2_main_def_inf_witch_elves_0	7
1112681087	wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0	0
1115359478	wh3_dlc23_rogue_karaz_a_karak_expedition	wh_main_dwf_inf_miners_1	0
