agent_subtype	ancillary	rank	instant	is_quest_battle
#character_ancillary_quest_ui_details_tables;2;db/character_ancillary_quest_ui_details_tables/data__				
wh2_dlc09_tmb_arkhan	wh2_dlc09_anc_arcane_item_staff_of_nagash	12	false	true
wh2_dlc09_tmb_khatep	wh2_dlc09_anc_arcane_item_the_liche_staff	7	false	true
wh2_dlc09_skv_tretch_craventail	wh2_dlc09_anc_enchanted_item_lucky_skullhelm	7	false	true
wh2_dlc09_tmb_settra	wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	7	false	true
wh2_dlc09_tmb_settra	wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	12	false	true
wh2_dlc09_tmb_arkhan	wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	7	false	true
wh2_dlc09_tmb_khalida	wh2_dlc09_anc_weapon_the_venom_staff	12	false	true
wh2_dlc10_hef_alarielle	wh2_dlc10_anc_enchanted_item_star_of_avelorn	12	false	true
wh2_dlc10_hef_alith_anar	wh2_dlc10_anc_enchanted_item_the_shadow_crown	4	false	false
wh2_dlc10_def_crone_hellebron	wh2_dlc10_anc_talisman_amulet_of_dark_fire	7	false	false
wh2_dlc10_hef_alarielle	wh2_dlc10_anc_talisman_shieldstone_of_isha	7	false	false
wh2_dlc10_def_crone_hellebron	wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	12	false	true
wh2_dlc10_hef_alith_anar	wh2_dlc10_anc_weapon_moonbow	7	false	true
wh2_dlc11_cst_cylostra	wh2_dlc11_anc_arcane_item_the_bordeleaux_flabellum	7	false	true
wh2_dlc11_cst_noctilus	wh2_dlc11_anc_enchanted_item_captain_roths_moondial	12	false	true
wh2_dlc11_cst_harkon	wh2_dlc11_anc_enchanted_item_slann_gold	12	false	true
wh2_dlc11_cst_aranessa	wh2_dlc11_anc_weapon_krakens_bane	12	false	true
wh2_dlc11_def_lokhir	wh2_dlc11_anc_weapon_red_blades	3	false	false
wh_main_brt_louen_leoncouer	wh2_dlc12_anc_armour_brt_armour_of_brilliance	3	false	false
wh_dlc07_brt_alberic	wh2_dlc12_anc_enchanted_item_brt_braid_of_bordeleaux	12	false	false
wh_dlc07_brt_fay_enchantress	wh2_dlc12_anc_enchanted_item_brt_morgianas_mirror	3	false	false
wh2_dlc12_lzd_tiktaqto	wh2_dlc12_anc_enchanted_item_mask_of_heavens	7	false	true
wh2_dlc12_lzd_tehenhauin	wh2_dlc12_anc_enchanted_item_plaque_of_sotek	7	false	true
wh2_dlc12_skv_ikit_claw	wh2_dlc12_anc_weapon_storm_daemon	7	false	true
wh2_dlc13_lzd_gor_rok	wh2_dlc13_anc_armour_the_shield_of_aeons	7	false	true
wh2_dlc13_lzd_nakai	wh2_dlc13_anc_enchanted_item_golden_tributes	7	false	true
wh2_dlc13_emp_cha_markus_wulfhart	wh2_dlc13_anc_weapon_amber_bow	7	false	true
