key	value
#_kv_rules_tables;0;db/_kv_rules_tables/data__	
aide_de_camp_repetition_delay_seconds	5.0000
allow_fire_at_will_into_melee	1.0000
armour_roll_lower_cap	0.5000
barrier_replenishment_delay	30.0000
barrier_replenishment_rate	20.0000
battle_action_camera_turn_speed_clamp_per_ms	15.0000
battle_action_camera_turn_speed_factor_per_ms	0.0000
battle_camera_max_distance_from_army	200.0000
battle_currency_army_income_update_time	1.0000
battle_currency_base_income_update_time	1.0000
battle_currency_shattered_enemy_unit_influence_radius	40.0000
battle_currency_unit_next_to_shattered_enemy_unit_update_time	1.0000
battle_currency_unit_size_large_modifier	1.5000
battle_currency_unit_size_medium_modifier	2.5000
battle_currency_unit_size_small_modifier	4.0000
battle_currency_unit_size_ultra_modifier	1.0000
battle_currency_victory_point_update_time	1.0000
battle_pipe_climb	10.0000
battle_pipe_default	2.0000
battle_pipe_jump	10.0000
battle_pipe_jump_disembark	50.0000
battle_pipe_ship_grapple	20.0000
battle_pipe_siege_tower_wall_door	10.0000
battle_pipe_wall_door	10.0000
battle_result_loser_max_points_decisive	3000.0000
battle_result_use_points_in_domination_battle	1.0000
battle_result_winner_min_points_decisive	4950.0000
battleai_ammo_threshold	0.7500
battleai_sallyout_defend_settlement_preference	0.0500
battleai_sallyout_open_field_victory_factor	1.5000
battleai_sallyout_tower_strength	1000.0000
battlefield_zone_slot_threshold	8.0000
bayonet_melee_attack_bonus	0.0000
bayonet_ring_reload_time_penalty	0.0000
boiling_oil_distance_multiplier	0.4000
boiling_oil_flow_duration	5.0000
bracing_attack_angle	80.0000
bracing_calibration_ranks	8.0000
bracing_calibration_ranks_multiplier	4.0000
bracing_charge_reflector_bonus	2.0000
bracing_immovable_by_small_entity_mass	600.0000
bracing_max_multiplier_clamp	10.0000
break_off_ignore_collision_time	0.0000
break_off_speed_and_direction_checks	0.0000
charge_cool_down_time	13.0000
charge_reflect_damage_multiplier	2.0000
charge_reflect_min_charge_factor_threshold	0.7000
climbing_ladder_speed_modifier	1.0000
climbing_walls_speed_modifier	1.0000
collision_damage_armour_penetration_ratio	0.7000
collision_damage_immunity_timer	4.0000
collision_damage_maximum	70.0000
collision_damage_modifier	0.6000
collision_damage_normaliser	0.8000
collision_disable_delay_knocked_back_vs_enemies	2.0000
collision_disable_delay_knocked_back_vs_friends	2.0000
collision_disable_delay_knocked_down_vs_enemies	2.0000
collision_disable_delay_knocked_down_vs_friends	0.0000
collision_disable_delay_knocked_flying_vs_enemies	2.0000
