key	value
#_kv_naval_rules_tables;0;db/_kv_naval_rules_tables/data__	
boarding_bonus_time	60.0000
boarding_melee_attack_bonus	10.0000
boarding_melee_defense_bonus	10.0000
broadsides_accuracy_modifier	0.1000
broadsides_damage_modifier	1.2500
ship_backwater_minimum_distance	50.0000
ship_backwater_radius_modifier_default	12.0000
ship_backwater_speed_percentage_default	0.5000
ship_backwater_vector_degrees_default	30.0000
ship_beaching_location_offset	10.0000
ship_boarding_pipes_max_length_default	10.0000
ship_chance_of_fire_rain_multiplier	0.5000
ship_combustion_rain_multiplier	2.0000
ship_douse_fire_absolute_per_tick	0.0000
ship_douse_fire_percentage_pre_tick	0.0001
ship_fire_damage_rain_modifier	0.7500
ship_landing_location_offset	75.0000
ship_marker_mouse_over_offset_back	-3.0000
ship_marker_mouse_over_offset_front	6.0000
ship_marker_mouse_over_padding	8.0000
ship_marker_padding_length	5.0000
ship_marker_padding_width	10.0000
ship_on_fire_combustion_modifier	0.5000
ship_on_fire_hit_points_per_second_multiplier	0.0100
ship_repair_max_percentage	0.7500
ship_repair_percentage_per_update	0.1250
ship_repair_rate	4.0000
