key	category	sort_order
#diplomatic_actions_tables;0;db/diplomatic_actions_tables/data__		
diplomatic_option_break_client_state	break_alliance	105
diplomatic_option_break_defensive_alliance	break_alliance	103
diplomatic_option_break_military_alliance	break_alliance	104
diplomatic_option_break_nonaggression_pact	break_alliance	100
diplomatic_option_break_soft_access	break_alliance	102
diplomatic_option_break_trade_agreement	break_alliance	101
diplomatic_option_break_vassal	break_alliance	106
diplomatic_option_cancel_client_state	break_alliance	113
diplomatic_option_cancel_defensive_alliance	break_alliance	111
diplomatic_option_cancel_hard_access	break_alliance	110
diplomatic_option_cancel_military_alliance	break_alliance	112
diplomatic_option_cancel_nonaggression_pact	break_alliance	107
diplomatic_option_cancel_soft_access	break_alliance	109
diplomatic_option_cancel_trade_agreement	break_alliance	108
diplomatic_option_cancel_vassal	break_alliance	114
diplomatic_option_client_state	alliance	6
diplomatic_option_confederation	alliance	8
diplomatic_option_declare_war	default	205
diplomatic_option_defensive_alliance	alliance	4
diplomatic_option_hard_access	alliance	3
diplomatic_option_hostage	trade	302
diplomatic_option_join_war	default	203
diplomatic_option_mariiage	trade	303
diplomatic_option_military_alliance	alliance	5
diplomatic_option_nonaggression_pact	alliance	0
diplomatic_option_payment	default	202
diplomatic_option_peace	default	204
diplomatic_option_soft_access	alliance	2
diplomatic_option_state_gift	default	200
diplomatic_option_state_gift_unilateral	default	201
diplomatic_option_trade_agreement	alliance	1
diplomatic_option_trade_regions	default	300
diplomatic_option_trade_technology	trade	301
diplomatic_option_vassal	alliance	7
