key	image_path
#ui_tagged_images_tables;0;db/ui_tagged_images_tables/data__	
armour	UI/Campaign UI/Effect_bundles/armour.png
assassination_targets	ui/skins/default/text_icon_assassination_targets.png
blood_voyage	ui/skins/default/text_icon_blood_voyage.png
brt_aquitaine	UI/Flags/wh_dlc05_brt_aquitaine/mon_24.png
brt_artois	UI/Flags/wh_main_brt_artois/mon_24.png
brt_bastonne	UI/Flags/wh_main_brt_bastonne/mon_24.png
brt_bordeleaux	UI/Flags/wh_main_brt_bordeleaux/mon_24.png
brt_bretonnia	UI/Flags/wh_main_brt_bretonnia/mon_24.png
brt_carcassonne	UI/Flags/wh_main_brt_carcassonne/mon_24.png
brt_chevaliers_de_lyonesse	UI/Flags/wh2_dlc14_brt_repanse_de_lyonesse/mon_24.png
brt_knight	ui/Battle UI/ability_icons/knight.png
brt_knights_of_origo	UI/Flags/wh2_main_brt_knights_of_origo/mon_24.png
brt_knights_of_the_flame	UI/Flags/wh2_main_brt_knights_of_the_flame/mon_24.png
brt_lyonesse	UI/Flags/wh_main_brt_lyonesse/mon_24.png
brt_mousillon	UI/Flags/wh_main_vmp_mousillon/mon_24.png
brt_parravon	UI/Flags/wh_main_brt_parravon/mon_24.png
brt_peasant	ui/Battle UI/ability_icons/peasant.png
brt_rogue_jerrod	UI/Flags/wh2_main_rogue_jerrod/mon_24.png
brt_thegans_crusaders	UI/Flags/wh2_main_brt_thegans_crusaders/mon_24.png
bullet_brt_chivalry	UI/Frontend UI/faction_bullets/bullet_brt_chivalry.png
bullet_brt_peasants	UI/Frontend UI/faction_bullets/bullet_brt_peasants.png
bullet_brt_units	UI/Frontend UI/faction_bullets/bullet_brt_units.png
bullet_bst_beastpath	UI/Frontend UI/faction_bullets/bullet_bst_beastpaths.png
bullet_bst_bloodgrounds	UI/Frontend UI/faction_bullets/bullet_bst_bloodgrounds.png
bullet_bst_dread	UI/Frontend UI/faction_bullets/bullet_bst_dread.png
bullet_bst_moon	UI/Frontend UI/faction_bullets/bullet_bst_the_dark_moon.png
bullet_bst_units	UI/Frontend UI/faction_bullets/bullet_bst_units.png
bullet_chd_hellforge	UI/frontend UI/faction_bullets/bullet_chd_hellforge.png
bullet_chd_tower_of_zharr	UI/frontend UI/faction_bullets/bullet_chd_tower_of_zharr.png
bullet_chd_units	UI/frontend UI/faction_bullets/bullet_chd_units.png
bullet_chs_awaken	UI/Frontend UI/faction_bullets/bullet_chs_awaken_tribes.png
bullet_chs_chaos_gifts	UI/Frontend UI/faction_bullets/bullet_chs_chaos_gifts.png
bullet_chs_corruption	UI/Frontend UI/faction_bullets/bullet_chs_corruption.png
bullet_chs_dark_fortress	UI/Frontend UI/faction_bullets/bullet_chs_dark_fortress.png
bullet_chs_units	UI/Frontend UI/faction_bullets/bullet_chs_units.png
bullet_chs_warband	UI/Frontend UI/faction_bullets/bullet_chs_warband.png
bullet_cst_coves	UI/Frontend UI/faction_bullets/bullet_cst_coves.png
bullet_cst_extra_powder	UI/Frontend UI/faction_bullets/bullet_cst_extra_powder.png
bullet_cst_infamy	UI/Frontend UI/faction_bullets/bullet_cst_infamy.png
bullet_cth_compass	UI/Frontend UI/faction_bullets/bullet_cth_compass.png
bullet_cth_harmony	UI/Frontend UI/faction_bullets/bullet_cth_harmony.png
bullet_cth_the_ivory_road	UI/Frontend UI/faction_bullets/bullet_cth_the_ivory_road.png
bullet_dae_daemonic_gifts	UI/Frontend UI/faction_bullets/bullet_dae_daemonic_gifts.png
bullet_dae_daemonic_progression	UI/Frontend UI/faction_bullets/bullet_dae_daemonic_progression.png
bullet_def_black_arks	UI/Frontend UI/faction_bullets/bullet_def_black_arks.png
bullet_def_murderous_prowess	UI/Frontend UI/faction_bullets/bullet_def_murderous_prowess.png
bullet_def_slaves	UI/Frontend UI/faction_bullets/bullet_def_slaves.png
bullet_dwf_ancestors	UI/Frontend UI/faction_bullets/bullet_dwf_angrund_ancestors.png
bullet_dwf_crafting	UI/Frontend UI/faction_bullets/bullet_dwf_crafting.png
bullet_dwf_grudges	UI/Frontend UI/faction_bullets/bullet_dwf_grudges.png
bullet_dwf_underway	UI/Frontend UI/faction_bullets/bullet_dwf_underway.png
bullet_dwf_units	UI/Frontend UI/faction_bullets/bullet_dwf_units.png
bullet_emp_elector_counts	UI/Frontend UI/faction_bullets/bullet_emp_elector_counts.png
bullet_emp_hunters	UI/Frontend UI/faction_bullets/bullet_emp_hunters.png
bullet_emp_imperial_authority	UI/Frontend UI/faction_bullets/bullet_emp_imperial_authority.png
bullet_emp_magic	UI/Frontend UI/faction_bullets/bullet_emp_colleges_of_magic.png
bullet_emp_mandate	UI/Frontend UI/faction_bullets/bullet_emp_mandate.png
bullet_emp_offices	UI/Frontend UI/faction_bullets/bullet_emp_offices.png
bullet_emp_units	UI/Frontend UI/faction_bullets/bullet_emp_units.png
bullet_grn_karak	UI/Frontend UI/faction_bullets/bullet_grn_eight_peaks.png
bullet_grn_savage	UI/Frontend UI/faction_bullets/bullet_grn_savage_orcs.png
bullet_grn_units	UI/Frontend UI/faction_bullets/bullet_grn_units.png
bullet_grn_waaagh	UI/Frontend UI/faction_bullets/bullet_grn_waaagh.png
bullet_hef_espionage	UI/Frontend UI/faction_bullets/bullet_hef_espionage.png
bullet_hef_intrigue	UI/Frontend UI/faction_bullets/bullet_hef_intrigue.png
bullet_hef_martial_prowess	UI/Frontend UI/faction_bullets/bullet_hef_martial_prowess.png
bullet_kho_skull_piles	UI/Frontend UI/faction_bullets/bullet_kho_skull_piles.png
bullet_kho_skulls	UI/Frontend UI/faction_bullets/bullet_kho_skulls.png
bullet_kho_win_streaks	UI/Frontend UI/faction_bullets/bullet_kho_win_streaks.png
bullet_ksl_atamans	UI/Frontend UI/faction_bullets/bullet_ksl_atamans.png
bullet_ksl_the_ice_court	UI/Frontend UI/faction_bullets/bullet_ksl_the_ice_court.png
bullet_ksl_winter	UI/Frontend UI/faction_bullets/bullet_ksl_winter.png
bullet_look_at	UI\skins\default\marker_look_at.png
bullet_lzd_beasts	UI/Frontend UI/faction_bullets/bullet_lzd_beasts.png
bullet_lzd_geomantic_web	UI/Frontend UI/faction_bullets/bullet_lzd_geomantic_web.png
bullet_lzd_horde	UI/Frontend UI/faction_bullets/bullet_lzd_horde.png
bullet_lzd_sanctum	UI/Frontend UI/faction_bullets/bullet_liz_silent_sanctum.png
bullet_lzd_spawning	UI/Frontend UI/faction_bullets/bullet_lzd_spawning.png
bullet_lzd_spawnings_of_the_ancients	UI/Frontend UI/faction_bullets/bullet_lzd_spawnings_of_the_ancients.png
bullet_lzd_threat_map	UI/Campaign UI/Effect_bundles/lzd_threat_map.png
bullet_nor_gods	UI/Frontend UI/faction_bullets/bullet_nor_gods.png
bullet_nor_monsters	UI/Frontend UI/faction_bullets/bullet_nor_monsters.png
bullet_nor_units	UI/Frontend UI/faction_bullets/bullet_nor_units.png
bullet_nur_cyclical_buildings	UI/Frontend UI/faction_bullets/bullet_nur_cyclical_buildings.png
bullet_nur_plagues	UI/Frontend UI/faction_bullets/bullet_nur_plagues.png
bullet_ogr_big_names	UI/Frontend UI/faction_bullets/bullet_ogr_big_names.png
bullet_ogr_camps	UI/Frontend UI/faction_bullets/bullet_ogr_camps.png
bullet_ogr_contracts	UI/Frontend UI/faction_bullets/bullet_ogr_contracts.png
bullet_ogr_meat	UI/Frontend UI/faction_bullets/bullet_ogr_meat.png
bullet_point	ui/skins/default/bullet_point.png
bullet_point_white	ui/skins/default/bullet_point_white.png
bullet_skv_food	UI/Frontend UI/faction_bullets/bullet_skv_food.png
bullet_skv_trust_in_numbers	UI/Frontend UI/faction_bullets/bullet_skv_trust_in_numbers.png
bullet_skv_underway	UI/Frontend UI/faction_bullets/bullet_skv_underworld.png
bullet_sla_devotees	UI/Frontend UI/faction_bullets/bullet_sla_devotees.png
bullet_sla_gift_of_slaanesh	UI/Frontend UI/faction_bullets/bullet_sla_gift_of_slaanesh.png
bullet_sla_promise_of_perfection	UI/Frontend UI/faction_bullets/bullet_sla_promise_of_perfection.png
bullet_sla_summon_disciple_armies	UI/Frontend UI/faction_bullets/bullet_sla_summon_disciple_armies.png
bullet_tmb_crafting	UI/Frontend UI/faction_bullets/bullet_tmb_crafting.png
bullet_tmb_dynasty	UI/Frontend UI/faction_bullets/bullet_tmb_dynasty.png
bullet_tmb_souls	UI/Frontend UI/faction_bullets/bullet_tmb_souls.png
bullet_tower_of_zharr	UI/Frontend UI/faction_bullets/bullet_chd_tower_of_zharr.png
bullet_tze_changing_of_the_ways	UI/Frontend UI/faction_bullets/bullet_tze_changing_of_the_ways.png
bullet_tze_grimoires	UI/Frontend UI/faction_bullets/bullet_tze_grimoires.png
bullet_vmp_corruption	UI/Frontend UI/faction_bullets/bullet_vmp_corruption.png
bullet_vmp_dead	UI/Frontend UI/faction_bullets/bullet_vmp_raise_dead.png
bullet_vmp_love	UI/Frontend UI/faction_bullets/bullet_vmp_love.png
bullet_vmp_units	UI/Frontend UI/faction_bullets/bullet_vmp_units.png
bullet_wef_amber	UI/Frontend UI/faction_bullets/bullet_wef_amber.png
bullet_wef_council	UI/Frontend UI/faction_bullets/bullet_wef_council.png
bullet_wef_forest	UI/Frontend UI/faction_bullets/bullet_wef_forest.png
bullet_wef_tree_council	UI/Frontend UI/faction_bullets/bullet_wef_tree_council.png
bullet_wef_units	UI/Frontend UI/faction_bullets/bullet_wef_units.png
bullet_wef_units_monstrous	UI/Frontend UI/faction_bullets/bullet_wef_units_monstrous.png
bullet_wef_worldroots	UI/Frontend UI/faction_bullets/bullet_wef_worldroots.png
chd_astragoth	UI/Flags/wh3_dlc23_chd_astragoth/mon_24.png
chd_conclave	UI/Flags/wh3_dlc23_chd_conclave/mon_24.png
chd_drazhoath	UI/Flags/wh3_dlc23_chd_legion_of_azgorh/mon_24.png
chd_minor	UI/Flags/wh3_dlc23_chd_minor_faction/mon_24.png
chd_zhatan	UI/Flags/wh3_dlc23_chd_zhatan/mon_24.png
climate_chaotic_wasteland	ui/campaign ui/climate_types/chaotic_wasteland.png
climate_mountain	ui/campaign ui/climate_types/mountain.png
climate_wasteland	ui/campaign ui/climate_types/wasteland.png
cst_infamy	ui/campaign ui/effect_bundles/cst_infamy.png
death_night	ui/skins/default/text_icon_death_night.png
def_malus_possession_potion	ui/skins/warhammer2/icon_flask.png
def_malus_tzarkan_whispers	ui/skins/warhammer2/icon_whispers.png
elector_count_A	UI\Flags\wh_main_emp_averland\mon_24.png
elector_count_B	UI\Flags\\wh_main_emp_empire\mon_24.png
elector_count_C	UI\Flags\wh_main_emp_hochland\mon_24.png
elector_count_D	UI\Flags\wh_main_emp_middenland\mon_24.png
elector_count_E	UI\Flags\wh_main_emp_nordland\mon_24.png
elector_count_F	UI\Flags\wh_main_emp_ostermark\mon_24.png
elector_count_G	UI\Flags\wh_main_emp_ostland\mon_24.png
elector_count_H	UI\Flags\wh_main_emp_stirland\mon_24.png
elector_count_I	UI\Flags\wh_main_emp_talabecland\mon_24.png
elector_count_J	UI\Flags\wh_main_emp_wissenland\mon_24.png
emp_elector_counts	UI/frontend UI/faction_bullets/bullet_emp_elector_counts.png
emp_fealty	UI/campaign UI/effect_bundles/hunter_effect_icons_loyalty_green.png
emp_hostility	UI/skins/default/wulfhart_wanted_skull_active.png
emp_hunters	UI/frontend UI/faction_bullets/bullet_emp_hunters.png
emp_imperial_authority	UI/campaign UI/effect_bundles/hunter_effect_icons_imperial_authority.png
emp_imperial_supply	UI/campaign UI/effect_bundles/hunter_effect_icons_imperial_supplies.png
emp_machinations	UI/skins/default/icon_intrigue_panel.png
emp_mandate	UI/campaign UI/effect_bundles/hunter_effect_icons_campaign_progress.png
emp_prestige	UI/skins/default/icon_prestige.png
event_mission_neutral	ui/campaign ui/message_icons/event_mission_neutral.png
exchange	ui/cursors/exchange.png
forbidden_knowledge	ui/skins/default/icon_supplies_forbidden_knowledge_small.png
forest_health	ui/skins/default/icon_worldroots_health.png
grn_gorbad_planz	UI/skins/default/icon_pooled_resource_gorbad_ingenuity.png
growth	UI/Campaign UI/Effect_bundles/growth.png
heathland_hostile	ui/skins/default/worldroots_glade_hostile.png
heathland_neutral	ui/skins/default/worldroots_glade_neutral.png
heathland_pacified	ui/skins/default/worldroots_glade_pacified.png
icon_admiral	ui/skins/default/icon_navy.png
icon_alarielle_defender	UI/skins/warhammer2/alarielle_icon_16.png
