stage	mission	order
#prophecy_of_sotek_stages_to_missions_tables;1;db/prophecy_of_sotek_stages_to_missions_tables/data__		
ikit_stage_1	wh2_dlc12_ikit_workshop_tier_1_0	1
ikit_stage_1	wh2_dlc12_ikit_workshop_tier_1_1	2
ikit_stage_1	wh2_dlc12_ikit_workshop_tier_1_2	3
ikit_stage_2	wh2_dlc12_ikit_workshop_tier_2_0	1
ikit_stage_2	wh2_dlc12_ikit_workshop_tier_2_1	2
ikit_stage_2	wh2_dlc12_ikit_workshop_tier_2_2	3
ikit_stage_3	wh2_dlc12_ikit_workshop_tier_3_1	1
ikit_stage_3	wh2_dlc12_ikit_workshop_tier_3_2	2
stage_1	wh2_dlc12_prophecy_of_sotek_1_1	1
stage_1	wh2_dlc12_prophecy_of_sotek_1_2	2
stage_2	wh2_dlc12_prophecy_of_sotek_2_1	1
stage_2	wh2_dlc12_prophecy_of_sotek_2_2	2
stage_2	wh2_dlc12_prophecy_of_sotek_2_3	3
stage_2	wh2_dlc12_prophecy_of_sotek_2_4	4
stage_3	wh2_dlc12_prophecy_of_sotek_3_1	1
