battle_context_key	culture_key
#campaign_bonus_value_battle_context_culture_junctions_tables;0;db/campaign_bonus_value_battle_context_culture_junctions_tables/data__	
fighting_battle_type_siege_subterranean	wh2_main_skv_skaven
fighting_battle_type_siege_subterranean	wh_main_dwf_dwarfs
fighting_battle_type_siege_subterranean	wh_main_grn_greenskins
fighting_culture_any_elves_dwarfs_men	wh2_main_def_dark_elves
fighting_culture_any_elves_dwarfs_men	wh2_main_hef_high_elves
fighting_culture_any_elves_dwarfs_men	wh3_main_cth_cathay
fighting_culture_any_elves_dwarfs_men	wh3_main_ksl_kislev
fighting_culture_any_elves_dwarfs_men	wh_dlc05_wef_wood_elves
fighting_culture_any_elves_dwarfs_men	wh_main_brt_bretonnia
fighting_culture_any_elves_dwarfs_men	wh_main_dwf_dwarfs
fighting_culture_any_elves_dwarfs_men	wh_main_emp_empire
fighting_culture_any_elves	wh2_main_def_dark_elves
fighting_culture_any_elves	wh2_main_hef_high_elves
fighting_culture_any_elves	wh_dlc05_wef_wood_elves
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh3_dlc23_chd_chaos_dwarfs
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh3_main_dae_daemons
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh3_main_kho_khorne
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh3_main_nur_nurgle
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh3_main_sla_slaanesh
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh3_main_tze_tzeentch
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh_dlc03_bst_beastmen
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh_dlc08_nor_norsca
fighting_culture_beastmen_chaos_daemons_norsca_chaos_dwarfs	wh_main_chs_chaos
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh2_main_skv_skaven
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh3_main_dae_daemons
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh3_main_kho_khorne
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh3_main_nur_nurgle
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh3_main_sla_slaanesh
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh3_main_tze_tzeentch
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh_dlc03_bst_beastmen
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh_dlc08_nor_norsca
fighting_culture_beastmen_chaos_daemons_norsca_skaven_chaos_dwarfs	wh_main_chs_chaos
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh2_main_skv_skaven
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh3_main_dae_daemons
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh3_main_kho_khorne
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh3_main_nur_nurgle
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh3_main_sla_slaanesh
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh3_main_tze_tzeentch
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh_dlc03_bst_beastmen
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh_dlc08_nor_norsca
fighting_culture_beastmen_chaos_daemons_norsca_skaven	wh_main_chs_chaos
fighting_culture_beastmen_chaos_daemons_norsca	wh3_main_dae_daemons
fighting_culture_beastmen_chaos_daemons_norsca	wh3_main_kho_khorne
fighting_culture_beastmen_chaos_daemons_norsca	wh3_main_nur_nurgle
fighting_culture_beastmen_chaos_daemons_norsca	wh3_main_sla_slaanesh
fighting_culture_beastmen_chaos_daemons_norsca	wh3_main_tze_tzeentch
fighting_culture_beastmen_chaos_daemons_norsca	wh_dlc03_bst_beastmen
fighting_culture_beastmen_chaos_daemons_norsca	wh_dlc08_nor_norsca
fighting_culture_beastmen_chaos_daemons_norsca	wh_main_chs_chaos
fighting_culture_beastmen	wh_dlc03_bst_beastmen
fighting_culture_bretonnia_enemies	wh2_dlc11_cst_vampire_coast
fighting_culture_bretonnia_enemies	wh3_dlc23_chd_chaos_dwarfs
fighting_culture_bretonnia_enemies	wh3_main_dae_daemons
fighting_culture_bretonnia_enemies	wh3_main_kho_khorne
fighting_culture_bretonnia_enemies	wh3_main_nur_nurgle
fighting_culture_bretonnia_enemies	wh3_main_sla_slaanesh
fighting_culture_bretonnia_enemies	wh3_main_tze_tzeentch
fighting_culture_bretonnia_enemies	wh_dlc03_bst_beastmen
fighting_culture_bretonnia_enemies	wh_dlc08_nor_norsca
fighting_culture_bretonnia_enemies	wh_main_chs_chaos
fighting_culture_bretonnia_enemies	wh_main_grn_greenskins
fighting_culture_bretonnia_enemies	wh_main_vmp_vampire_counts
fighting_culture_bretonnia	wh_main_brt_bretonnia
fighting_culture_cathay	wh3_main_cth_cathay
fighting_culture_chaos_dwarfs	wh3_dlc23_chd_chaos_dwarfs
fighting_culture_chaos_norsca	wh_dlc08_nor_norsca
fighting_culture_chaos_norsca	wh_main_chs_chaos
fighting_culture_chaos	wh_main_chs_chaos
fighting_culture_corruption_inducing	wh2_dlc11_cst_vampire_coast
fighting_culture_corruption_inducing	wh2_main_skv_skaven
fighting_culture_corruption_inducing	wh3_dlc23_chd_chaos_dwarfs
fighting_culture_corruption_inducing	wh3_main_dae_daemons
fighting_culture_corruption_inducing	wh3_main_kho_khorne
fighting_culture_corruption_inducing	wh3_main_nur_nurgle
fighting_culture_corruption_inducing	wh3_main_sla_slaanesh
fighting_culture_corruption_inducing	wh3_main_tze_tzeentch
fighting_culture_corruption_inducing	wh_dlc03_bst_beastmen
fighting_culture_corruption_inducing	wh_dlc08_nor_norsca
fighting_culture_corruption_inducing	wh_main_chs_chaos
fighting_culture_corruption_inducing	wh_main_vmp_vampire_counts
fighting_culture_daemon_prince	wh3_main_dae_daemons
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	wh3_dlc23_chd_chaos_dwarfs
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	wh3_main_dae_daemons
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	wh3_main_kho_khorne
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	wh3_main_nur_nurgle
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	wh3_main_sla_slaanesh
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	wh3_main_tze_tzeentch
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	wh_dlc08_nor_norsca
fighting_culture_daemons_chaos_chaos_dwarfs_norsca	wh_main_chs_chaos
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	wh3_dlc23_chd_chaos_dwarfs
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	wh3_main_dae_daemons
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	wh3_main_kho_khorne
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	wh3_main_nur_nurgle
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	wh3_main_sla_slaanesh
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	wh3_main_tze_tzeentch
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	wh_dlc08_nor_norsca
fighting_culture_daemons_chaos_norsca_chaos_dwarfs	wh_main_chs_chaos
fighting_culture_daemons_chaos_norsca	wh3_main_dae_daemons
fighting_culture_daemons_chaos_norsca	wh3_main_kho_khorne
fighting_culture_daemons_chaos_norsca	wh3_main_nur_nurgle
fighting_culture_daemons_chaos_norsca	wh3_main_sla_slaanesh
fighting_culture_daemons_chaos_norsca	wh3_main_tze_tzeentch
fighting_culture_daemons_chaos_norsca	wh_dlc08_nor_norsca
fighting_culture_daemons_chaos_norsca	wh_main_chs_chaos
fighting_culture_daemons_chaos	wh3_main_dae_daemons
fighting_culture_daemons_chaos	wh3_main_kho_khorne
fighting_culture_daemons_chaos	wh3_main_nur_nurgle
fighting_culture_daemons_chaos	wh3_main_sla_slaanesh
fighting_culture_daemons_chaos	wh3_main_tze_tzeentch
fighting_culture_daemons_chaos	wh_main_chs_chaos
fighting_culture_daemons_undead	wh2_dlc09_tmb_tomb_kings
fighting_culture_daemons_undead	wh2_dlc11_cst_vampire_coast
fighting_culture_daemons_undead	wh3_main_dae_daemons
fighting_culture_daemons_undead	wh3_main_kho_khorne
fighting_culture_daemons_undead	wh3_main_nur_nurgle
fighting_culture_daemons_undead	wh3_main_sla_slaanesh
fighting_culture_daemons_undead	wh3_main_tze_tzeentch
fighting_culture_daemons_undead	wh_main_vmp_vampire_counts
fighting_culture_daemons	wh3_main_dae_daemons
fighting_culture_daemons	wh3_main_kho_khorne
fighting_culture_daemons	wh3_main_nur_nurgle
fighting_culture_daemons	wh3_main_sla_slaanesh
fighting_culture_daemons	wh3_main_tze_tzeentch
fighting_culture_darkelf	wh2_main_def_dark_elves
fighting_culture_death_and_destruction	wh2_dlc09_tmb_tomb_kings
fighting_culture_death_and_destruction	wh2_dlc11_cst_vampire_coast
fighting_culture_death_and_destruction	wh2_main_skv_skaven
fighting_culture_death_and_destruction	wh3_main_ogr_ogre_kingdoms
fighting_culture_death_and_destruction	wh_main_grn_greenskins
fighting_culture_death_and_destruction	wh_main_vmp_vampire_counts
fighting_culture_dwarfs_greenskins	wh_main_dwf_dwarfs
fighting_culture_dwarfs_greenskins	wh_main_grn_greenskins
fighting_culture_dwarfs_lizardmen	wh2_main_lzd_lizardmen
fighting_culture_dwarfs_lizardmen	wh_main_dwf_dwarfs
fighting_culture_dwarfs	wh_main_dwf_dwarfs
fighting_culture_empire_and_bretonnia	wh_main_brt_bretonnia
fighting_culture_empire_and_bretonnia	wh_main_emp_empire
fighting_culture_forces_of_destruction	wh2_main_def_dark_elves
fighting_culture_forces_of_destruction	wh2_main_skv_skaven
fighting_culture_forces_of_destruction	wh3_dlc23_chd_chaos_dwarfs
fighting_culture_forces_of_destruction	wh3_main_dae_daemons
fighting_culture_forces_of_destruction	wh3_main_kho_khorne
fighting_culture_forces_of_destruction	wh3_main_nur_nurgle
fighting_culture_forces_of_destruction	wh3_main_sla_slaanesh
fighting_culture_forces_of_destruction	wh3_main_tze_tzeentch
fighting_culture_forces_of_destruction	wh_dlc03_bst_beastmen
fighting_culture_forces_of_destruction	wh_main_chs_chaos
fighting_culture_forces_of_destruction	wh_main_grn_greenskins
fighting_culture_forces_of_order	wh2_main_hef_high_elves
fighting_culture_forces_of_order	wh2_main_lzd_lizardmen
fighting_culture_forces_of_order	wh3_main_cth_cathay
fighting_culture_forces_of_order	wh3_main_ksl_kislev
fighting_culture_forces_of_order	wh_main_brt_bretonnia
fighting_culture_forces_of_order	wh_main_dwf_dwarfs
fighting_culture_forces_of_order	wh_main_emp_empire
fighting_culture_greenskin_skaven_lizardman_ogre	wh2_main_lzd_lizardmen
fighting_culture_greenskin_skaven_lizardman_ogre	wh2_main_skv_skaven
fighting_culture_greenskin_skaven_lizardman_ogre	wh3_main_ogr_ogre_kingdoms
fighting_culture_greenskin_skaven_lizardman_ogre	wh_main_grn_greenskins
fighting_culture_greenskins_daemons_chaos_norsca	wh3_main_dae_daemons
fighting_culture_greenskins_daemons_chaos_norsca	wh3_main_kho_khorne
