effect_key	set_key	effect_scope	value
#ancillary_set_effect_junctions_tables;0;db/ancillary_set_effect_junctions_tables/data__			
wh_main_effect_character_stat_speed	wh3_dlc20_ancillary_set_chs_valkia	character_to_character_own	5.0000
wh_main_effect_public_order_characters_negative	wh3_dlc20_ancillary_set_chs_valkia	character_to_province_enemy	-5.0000
wh3_main_effect_character_stat_unit_mass_percentage_mod	wh3_dlc23_ancillary_set_chd_bazheraks_doom	character_to_character_own	10.0000
wh_main_effect_character_stat_melee_defence	wh3_dlc23_ancillary_set_chd_bazheraks_doom	character_to_character_own	5.0000
wh3_dlc23_effect_stat_melee_attack_chd_infernal_castellans	wh3_dlc23_ancillary_set_chd_drazhoath	character_to_force_own_factionwide	5.0000
wh_main_effect_force_stat_leadership_enemy_unit	wh3_dlc23_ancillary_set_chd_drazhoath	region_to_force_enemy	-5.0000
wh_main_effect_agent_movement_range_mod	wh3_dlc23_ancillary_set_chd_zhatan	character_to_character_own	5.0000
wh_main_effect_character_stat_aura_leadership_effect	wh3_dlc23_ancillary_set_chd_zhatan	character_to_character_own	10.0000
wh_main_effect_character_stat_leadership_aura_size	wh3_dlc23_ancillary_set_chd_zhatan	character_to_character_own	50.0000
wh3_dlc24_effect_ability_ability_duration_favour_of_the_fay	wh3_dlc24_ancillary_set_brt_fay_enchantress	character_to_character_own	66.0000
wh_dlc07_effect_peasant_increase_base_amount	wh3_dlc24_ancillary_set_brt_fay_enchantress	faction_to_faction_own_unseen	5.0000
wh_main_effect_force_stat_armour_lords_heroes	wh3_dlc24_ancillary_set_brt_fay_enchantress	faction_to_force_own	25.0000
wh_main_effect_public_order_characters	wh3_dlc24_ancillary_set_brt_fay_enchantress	character_to_province_own_factionwide	1.0000
wh3_dlc24_effect_5_spell_mastery_hidden	wh3_dlc24_ancillary_set_chd_astragoth	character_to_character_own	1.0000
wh3_dlc24_effect_ability_cooldown_black_hammer_of_hashut	wh3_dlc24_ancillary_set_chd_astragoth	character_to_character_own	-33.0000
