id	missile_weapon	unit	battle_entity_stats_override
#unit_missile_weapon_junctions_tables;1;db/unit_missile_weapon_junctions_tables/data__			
1000112097	wh2_dlc15_grn_goblin_bow_poison_anti_large_arrow	wh_dlc06_grn_inf_da_rusty_arrers_0	
1001025335	wh3_dlc25_emp_rifle_hochland_upgraded	wh3_dlc25_emp_inf_hochland_long_rifles	
1002418642	wh2_dlc13_emp_bow_arrow_huntsman_anti_large	wh2_dlc13_emp_inf_huntsmen_0_imperial_supply	
1004906084	wh2_main_lzd_javelin_toadskin	wh2_main_lzd_inf_skink_cohort_1	
100672891	wh2_dlc15_grn_goblin_bow_poison_anti_large_arrow	wh_main_grn_inf_night_goblin_fanatics_1	
1012881336	wh_main_dwf_cannon_seeking	wh_main_dwf_art_cannon	
1016669219	wh2_main_lzd_javelin_terradon_fireblood	wh2_dlc12_lzd_cav_terradon_riders_0_tlaqua	
1031479038	wh2_dlc17_nor_javelin_anti_large	wh_main_nor_cav_marauder_horsemen_0	
1050942837	wh_main_dwf_flame_cannon_flaming	wh_main_dwf_art_flame_cannon	
1054820712	wh3_main_tze_herald_fire_bolt_improved	wh3_main_tze_cha_herald_of_tzeentch_tzeentch_2	
1055331931	wh3_dlc25_emp_rifle_hochland_ror_upgraded	wh3_dlc25_emp_inf_hochland_long_rifles_ror	
1057021936	wh_main_dwf_flame_cannon_penetrating	wh_main_dwf_art_flame_cannon	
1058702443	wh2_dlc15_grn_goblin_bow_multi_shot	wh_main_grn_inf_goblin_archers	
1066521120	wh2_main_lzd_blowpipe_fireblood	wh2_main_lzd_inf_skink_skirmishers_0	
1067894246	wh2_main_lzd_javelin_terradon_slow_death	wh2_main_lzd_cav_terradon_riders_0	
1075235075	wh3_dlc23_chd_infernal_castellan_fireglaive	wh3_dlc23_chd_cha_infernal_castellan	
1078408269	wh_main_dwf_flame_cannon_shrapnel	wh_main_dwf_art_flame_cannon	
1082319555	wh2_main_lzd_javelin_terradon_daemonbane	wh2_main_lzd_cav_terradon_riders_0	
1090643988	wh2_main_skv_throwing_star_gutter_runners_alt	wh2_main_skv_inf_gutter_runners_0	
1090782083	wh2_main_lzd_javelin_terradon_slow_death	wh2_main_lzd_cav_terradon_riders_0	
1098655678	wh2_main_lzd_javelin_daemonbane	wh2_main_lzd_inf_skink_cohort_1	
1105983327	wh2_dlc15_grn_goblin_bow_poison_multi_shot	wh_main_grn_inf_night_goblin_archers	
1110372550	wh_dlc06_grn_grudge_thrower_goblin_seeking	wh_dlc06_dwf_art_gob_lobber_0	
