key	autoresolver_stance	battle_type	is_encampment	is_night_battle	difficulty
#autoresolver_battle_types_tables;0;db/autoresolver_battle_types_tables/data__					
ambush_generic		land_ambush			
bridge_generic		land_bridge			
fortify_battle			true		
generic_battle					
minor_settlement_generic_land		settlement_unfortified			
minor_settlement_generic_naval		unfortified_port			
settlement_generic_land		settlement_standard			
settlement_generic_naval		port_assault			
survival		survival			
survival_easy		survival			EASY
survival_hard		survival			HARD
