key	algorithm	algorithm_variable_set	action_category_budget
#cai_decision_policies_tables;1;db/cai_decision_policies_tables/data__			
allied_buildings_policy_default	pick_best	pick_probabilistically	
cathay_caravan_start	weighted_random_select		
cathay_compass_policy_default	weighted_random_select		
cathay_provincial_initiative_policy_default	weighted_random_select		
changing_of_the_ways_actions_default	pick_best		
changing_of_the_ways_actions_easy	pick_best		
changing_of_the_ways_actions_hard	pick_best		
chaos_dwarf_convoy_start	weighted_random_select		
daemon_prince_ascension_default	pick_best		
deploy_ogre_camp_policy_default	pick_best	pick_probabilistically	
festus_plague_create_plague_default	weighted_random_select		
great_game_default	weighted_random_select		
khorne_skulls_policy_default	pick_best	pick_probabilistically	
kislev_motherland_default	weighted_random_select		
manipulate_diplomacy_default	pick_best		
manipulate_diplomacy_default_minor	pick_best		
manipulate_diplomacy_easy	pick_best		
manipulate_diplomacy_easy_minor	pick_best		
manipulate_diplomacy_hard	pick_best		
manipulate_diplomacy_hard_minor	pick_best		
manipulate_winds_of_magic_level_policy_default	pick_best	pick_probabilistically	
nurgle_plague_create_plague_default	weighted_random_select		
nurgle_plague_old_default	weighted_random_select		
occupation_decision_anti_chaos	weighted_random_select		
occupation_decision_beastmen	weighted_random_select		
occupation_decision_brettonia	weighted_random_select		
occupation_decision_cathay	weighted_random_select		
occupation_decision_changeling	weighted_random_select		
occupation_decision_chaos	weighted_random_select		
occupation_decision_chaos_daemon_prince_khorne_tzeentch	weighted_random_select		
occupation_decision_chaos_daemon_prince_nurgle_slaanesh	weighted_random_select		
occupation_decision_chaos_dwarfs	weighted_random_select		
occupation_decision_chaos_kho	weighted_random_select		
occupation_decision_daemons	weighted_random_select		
occupation_decision_default	weighted_random_select		
occupation_decision_empire_elector_major	weighted_random_select		
occupation_decision_nakai	weighted_random_select		
occupation_decision_only_raze	pick_best		
occupation_decision_raider	weighted_random_select		
occupation_decision_sacking	weighted_random_select		
occupation_decision_skaven	weighted_random_select		
occupation_decision_vampire	weighted_random_select		
occupation_decision_vampirecoast	weighted_random_select		
occupation_decision_wood_elves	weighted_random_select		
ogre_great_maw_policy_default	weighted_random_select		
promise_of_perfection_default	weighted_random_select		
promise_of_perfection_hard	weighted_random_select		
rift_realm_default	pick_best		
rift_teleport_antichaos	weighted_random_select		
rift_teleport_chaos	weighted_random_select		
rift_teleport_default	weighted_random_select		
slaanesh_force_vassalization_policy	pick_best		
slaanesh_pleasure_activities_policy_default	pick_best		
slaanesh_spawn_cult_policy_default	pick_best		
summon_disciple_army_policy_default	pick_best	pick_probabilistically	
trespass_warning_accept_default	pick_best		
undeploy_ogre_camp_policy_default	pick_best	pick_probabilistically	
wh3_character_initiatives_chs_azazel	weighted_random_select		
wh3_character_initiatives_chs_festus	weighted_random_select		
