event	group	target	flavour_text	image	secondary_detail	layout	layout_data	sound_event	context_located	override_icon	instant_open	ignore_instant_open_filters
#event_feed_message_events_tables;1;db/event_feed_message_events_tables/data__												
agent_action_vs_army_with_immortal_general	wh2_dlc09_event_feed_agent_action_all_failure_critical_tomb_kings	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/generic	wh_event_feed_string_agent_action_army_critical_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc09_event_feed_agent_action_all_failure_tomb_kings	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/generic	wh_event_feed_string_agent_action_army_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc09_event_feed_agent_action_all_hinder_army_tomb_kings	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/army_morale_up	wh_event_feed_string_agent_action_army_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc09_event_feed_agent_action_all_hinder_character_tomb_kings	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/army_morale_up	wh_event_feed_string_agent_action_assassinate_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_tomb_kings	event_feed_target_agent_faction	wh_event_feed_string_all_null	tmb/army_morale_up	wh_event_feed_string_agent_action_assassinate_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc11_event_feed_agent_action_all_failure_critical_vampire_coast	event_feed_target_agent_faction	wh_event_feed_string_all_null	cst/faction	wh_event_feed_string_agent_action_army_critical_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc11_event_feed_agent_action_all_failure_vampire_coast	event_feed_target_agent_faction	wh_event_feed_string_all_null	cst/faction	wh_event_feed_string_agent_action_army_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc11_event_feed_agent_action_all_hinder_army_vampire_coast	event_feed_target_agent_faction	wh_event_feed_string_all_null	cst/army_morale_up	wh_event_feed_string_agent_action_army_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc11_event_feed_agent_action_all_hinder_character_vampire_coast	event_feed_target_agent_faction	wh_event_feed_string_all_null	cst/army_morale_up	wh_event_feed_string_agent_action_assassinate_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent		false	false
agent_action_vs_army_with_immortal_general	wh2_dlc11_event_feed_agent_action_all_success_critical_hinder_character_vampire_coast	event_feed_target_agent_faction	wh_event_feed_string_all_null	cst/army_morale_up	wh_event_feed_string_agent_action_assassinate_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_failure_critical_dark_elves	event_feed_target_agent_faction	wh_event_feed_string_all_null	def/generic	wh_event_feed_string_agent_action_army_critical_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_failure_critical_high_elves	event_feed_target_agent_faction	wh_event_feed_string_all_null	hef/generic	wh_event_feed_string_agent_action_army_critical_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_failure_critical_lizardmen	event_feed_target_agent_faction	wh_event_feed_string_all_null	lzd/generic	wh_event_feed_string_agent_action_army_critical_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_failure_critical_skaven	event_feed_target_agent_faction	wh_event_feed_string_all_null	skv/generic	wh_event_feed_string_agent_action_army_critical_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_failure_dark_elves	event_feed_target_agent_faction	wh_event_feed_string_all_null	def/generic	wh_event_feed_string_agent_action_army_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_failure_high_elves	event_feed_target_agent_faction	wh_event_feed_string_all_null	hef/generic	wh_event_feed_string_agent_action_army_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_failure_lizardmen	event_feed_target_agent_faction	wh_event_feed_string_all_null	lzd/generic	wh_event_feed_string_agent_action_army_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_failure_skaven	event_feed_target_agent_faction	wh_event_feed_string_all_null	skv/generic	wh_event_feed_string_agent_action_army_failure	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Negative	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_hinder_army_dark_elves	event_feed_target_agent_faction	wh_event_feed_string_all_null	def/army_morale_up	wh_event_feed_string_agent_action_army_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_hinder_army_high_elves	event_feed_target_agent_faction	wh_event_feed_string_all_null	hef/army_morale_up	wh_event_feed_string_agent_action_army_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_hinder_army_lizardmen	event_feed_target_agent_faction	wh_event_feed_string_all_null	lzd/army_morale_up	wh_event_feed_string_agent_action_army_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_hinder_army_skaven	event_feed_target_agent_faction	wh_event_feed_string_all_null	skv/army_morale_up	wh_event_feed_string_agent_action_army_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_location_target_general		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_hinder_character_dark_elves	event_feed_target_agent_faction	wh_event_feed_string_all_null	def/army_morale_up	wh_event_feed_string_agent_action_assassinate_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent		false	false
agent_action_vs_army_with_immortal_general	wh2_main_event_feed_agent_action_all_hinder_character_high_elves	event_feed_target_agent_faction	wh_event_feed_string_all_null	hef/army_morale_up	wh_event_feed_string_agent_action_assassinate_success	agent_targets_character	event_feed_layout_data_agent_targets_army	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_agent		false	false
