effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/data__		
wh2_dlc09_effect_ability_cooldown_arcane_conduit	recharge_mod	wh_main_character_abilities_arcane_conduit
wh2_dlc09_effect_ability_cooldown_djafs_incantation_of_cursed_blades_upgraded	recharge_mod	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded
wh2_dlc09_effect_ability_cooldown_djafs_incantation_of_cursed_blades	recharge_mod	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
wh2_dlc09_effect_ability_cooldown_nerus_incantation_of_protection_upgraded	recharge_mod	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded
wh2_dlc09_effect_ability_cooldown_nerus_incantation_of_protection	recharge_mod	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
wh2_dlc09_effect_ability_cooldown_ptras_incantation_of_righteous_smiting_upgraded	recharge_mod	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded
wh2_dlc09_effect_ability_cooldown_ptras_incantation_of_righteous_smiting	recharge_mod	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
wh2_dlc09_effect_ability_cooldown_sakhmets_incantation_of_the_skullstorm_upgraded	recharge_mod	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded
wh2_dlc09_effect_ability_cooldown_sakhmets_incantation_of_the_skullstorm	recharge_mod	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
wh2_dlc09_effect_ability_cooldown_sand_storm	recharge_mod	wh2_dlc09_lord_abilities_sand_storm
wh2_dlc09_effect_ability_cooldown_shems_burning_gaze_bound	recharge_mod	wh_main_spell_light_shems_burning_gaze_bound
wh2_dlc09_effect_ability_cooldown_spirit_leech_bound	recharge_mod	wh2_dlc09_spell_death_spirit_leech_bound
wh2_dlc09_effect_ability_cooldown_stay_here_ill_get_help	recharge_mod	wh2_dlc09_character_abilities_stay_here_ill_get_help
wh2_dlc09_effect_ability_cooldown_usekhps_incantation_of_desiccation_upgraded	recharge_mod	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded
