campaign_group	resource_factor	base_multiplier	exponent	exponent_multiplier	maximum	minimum	base_amount	scope
#campaign_group_post_battle_looted_pooled_resources_tables;0;db/campaign_group_post_battle_looted_pooled_resources_tables/data__								
wh2_dlc12_lzd_cult_of_sotek	wh2_dlc12_resource_factor_sacrifices_battle	0.0070	1.7000	0.0001	400	1	15	FACTION
wh2_dlc16_skv_clan_moulder	wh2_dlc16_throt_flesh_lab_growth_vat_gain_battles	0.0065	1.5500	0.0001	80	5	10	FACTION
wh2_main_feature_dark_elves	def_slaves_battles	0.1200	1.0000	0.0001	500	0	0	FACTION
wh2_main_feature_skaven	skaven_food_captives	0.0050	1.3500	0.0001	20	0	0	FACTION
wh3_dlc20_chs_souls_factor_fighting_non_daemon	wh3_dlc20_chs_souls_battle	0.1000	0.5000	0.2000	750	0	0	FACTION
wh3_dlc23_chaos_dwarfs_province_resources	wh3_dlc23_chd_labour_global_temp_captured_in_battle	0.1200	1.0000	0.0001	500	0	0	FACTION
wh3_dlc24_ksl_daughters_of_the_forest	wh3_dlc24_ksl_spirit_essence_factor_battles	0.0000	1.0000	0.0100	250	5	0	FACTION
wh3_dlc25_feature_college_of_magic	wh3_dlc25_emp_arcane_essays_battles	0.1200	1.0000	0.0001	500	0	0	FACTION
wh3_main_feature_ogre_kingdoms	wh3_main_ogr_meat_factor_battles	0.0000	0.7500	0.0150	50	1	2	MILITARY_FORCE
wh3_main_feature_tzeentch	wh3_main_tze_grimoires_factor_battles	0.0000	1.0000	0.0130	250	5	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_beastmen	wh3_main_ksl_devotion_factor_fighting_chaos	0.0010	0.0100	5.0000	300	0	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_chaos_dwarfs	wh3_main_ksl_devotion_factor_fighting_chaos	0.0050	0.0100	5.0000	300	0	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_daemons_of_chaos	wh3_main_ksl_devotion_factor_fighting_chaos	0.0100	0.0100	5.0000	300	0	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_kislev	wh3_main_ksl_followers_factor_fighting_kislev	-1.0000	1.0000	-1.0000	0	-2	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_norsca	wh3_main_ksl_devotion_factor_fighting_chaos	0.0005	0.0100	5.0000	300	0	0	FACTION
wh3_main_ksl_devotion_factor_fighting_chaos_warriors_of_chaos	wh3_main_ksl_devotion_factor_fighting_chaos	0.0050	0.0100	5.0000	300	0	0	FACTION
wh_dlc03_feature_beastmen	wh2_dlc17_bst_dread_gained_battles	0.0040	1.6000	0.0001	125	75	50	FACTION
wh_main_feature_empire_politics	wh2_dlc13_resource_factor_battles	0.4000	1.0000	0.0000	1000	0	0	FACTION
wh_main_feature_greenskins	grn_salvage_loot	0.0055	1.4000	0.0001	25	3	3	FACTION
