agent_subtype	campaign_type
#campaign_to_agent_subtypes_tables;0;db/campaign_to_agent_subtypes_tables/data__	
wh2_dlc09_skv_tretch_craventail	wh3_main_chaos
wh2_dlc14_skv_deathmaster_snikch	wh3_main_chaos
wh2_dlc15_hef_imrik	wh3_main_chaos
wh2_dlc16_skv_ghoritch	wh3_main_chaos
wh2_dlc16_skv_throt_the_unclean	wh3_main_chaos
wh2_pro08_neu_felix	wh3_main_chaos
wh2_pro08_neu_gotrek	wh3_main_chaos
wh3_dlc20_kho_valkia	wh3_main_chaos
wh3_dlc20_nur_festus	wh3_main_chaos
wh3_dlc20_sla_azazel	wh3_main_chaos
wh3_dlc20_tze_vilitch	wh3_main_chaos
wh3_dlc23_chd_astragoth	wh3_main_chaos
wh3_dlc23_chd_drazhoath	wh3_main_chaos
wh3_dlc23_chd_gorduz_backstabber	wh3_main_chaos
wh3_dlc23_chd_zhatan	wh3_main_chaos
wh3_dlc23_neu_ulrika	wh3_main_chaos
wh3_dlc24_cth_saytang_the_watcher	wh3_main_chaos
wh3_dlc24_cth_yuan_bo	wh3_main_chaos
wh3_dlc24_ksl_mother_ostankya	wh3_main_chaos
wh3_dlc24_ksl_the_golden_knight	wh3_main_chaos
wh3_dlc24_tze_aekold_helbrass	wh3_main_chaos
wh3_dlc24_tze_blue_scribes	wh3_main_chaos
wh3_dlc25_dwf_garagrim_ironfist	wh3_main_chaos
wh3_dlc25_dwf_malakai_makaisson	wh3_main_chaos
wh3_dlc25_emp_elspeth_von_draken	wh3_main_chaos
wh3_dlc25_emp_theodore_bruckner	wh3_main_chaos
wh3_dlc25_nur_kayzk_the_befouled	wh3_main_chaos
wh3_dlc25_nur_tamurkhan	wh3_main_chaos
wh3_main_cth_miao_ying	wh3_main_chaos
wh3_main_cth_zhao_ming	wh3_main_chaos
wh3_main_dae_belakor	wh3_main_chaos
wh3_main_kho_skarbrand	wh3_main_chaos
wh3_main_ksl_boris	wh3_main_chaos
wh3_main_ksl_katarin	wh3_main_chaos
wh3_main_ksl_kostaltyn	wh3_main_chaos
wh3_main_nur_kugath	wh3_main_chaos
wh3_main_ogr_greasus_goldtooth	wh3_main_chaos
wh3_main_ogr_skrag_the_slaughterer	wh3_main_chaos
wh3_main_sla_nkari	wh3_main_chaos
wh3_main_tze_kairos	wh3_main_chaos
wh3_pro11_chs_cha_harald_hammerstorm	wh3_main_chaos
wh3_pro12_kho_cha_karanak	wh3_main_chaos
wh_dlc03_emp_boris_todbringer	wh3_main_chaos
wh_dlc04_vmp_helman_ghorst	wh3_main_chaos
wh_dlc08_nor_throgg	wh3_main_chaos
wh_dlc08_nor_wulfrik	wh3_main_chaos
wh_main_dwf_ungrim_ironfist	wh3_main_chaos
wh_main_emp_karl_franz	wh3_main_chaos
wh_main_grn_grimgor_ironhide	wh3_main_chaos
wh_main_vmp_mannfred_von_carstein	wh3_main_chaos
wh2_dlc09_skv_tretch_craventail	wh3_main_combi
wh2_dlc09_tmb_arkhan	wh3_main_combi
wh2_dlc09_tmb_khalida	wh3_main_combi
wh2_dlc09_tmb_khatep	wh3_main_combi
wh2_dlc09_tmb_settra	wh3_main_combi
