campaign_payload	token	is_triggered_conditionally	designer_description	visual_sort_order
#chaotic_plan_tokens_to_payloads_junctions_tables;1;db/chaotic_plan_tokens_to_payloads_junctions_tables/data__				
wh3_dlc29_skv_bundle_cooldown_6	wh3_dlc29_action_any_remove_red_1	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_any_remove_red_1	false	Any Plan - Lose targeted tokens	0
wh3_dlc29_skv_target_red_1	wh3_dlc29_action_any_remove_red_1	false	Any Plan - Lose targeted tokens	0
wh3_dlc29_any_action_basic_diversion_generated_low	wh3_dlc29_action_any_remove_red_2	false	Chance to reduce risk	0
wh3_dlc29_skv_bundle_chance_reduce_risk_low	wh3_dlc29_action_any_remove_red_2	false	Dummy Effect Bundles for Description	3
wh3_dlc29_skv_bundle_cooldown_5	wh3_dlc29_action_any_remove_red_2	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_any_remove_red_2	false	Any Plan - Lose targeted tokens	0
wh3_dlc29_skv_target_red_1	wh3_dlc29_action_any_remove_red_2	false	Any Plan - Lose targeted tokens	0
wh3_dlc29_any_action_basic_diversion_generated_high	wh3_dlc29_action_any_remove_red_3	false	Chance to reduce risk	0
wh3_dlc29_skv_bundle_chance_reduce_risk_high	wh3_dlc29_action_any_remove_red_3	false	Dummy Effect Bundles for Description	3
wh3_dlc29_skv_bundle_cooldown_4	wh3_dlc29_action_any_remove_red_3	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_any_remove_red_3	false	Any Plan - Lose targeted tokens	0
wh3_dlc29_skv_target_red_1	wh3_dlc29_action_any_remove_red_3	false	Any Plan - Lose targeted tokens	0
wh3_dlc29_action_economic_dangerous_treasury_select	wh3_dlc29_action_economic_dangerous_treasury	false	Select Tokens	0
wh3_dlc29_bundle_economy_action_dangerous_treasury	wh3_dlc29_action_economic_dangerous_treasury	false	Dummy Effect Bundles for Description	1
wh3_dlc29_purple_economic_dangerous_treasury_target	wh3_dlc29_action_economic_dangerous_treasury	false	Targeting Component	0
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_economic_dangerous_treasury	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_economic_dangerous_treasury	false	Remove selected tokens	0
wh3_dlc29_action_economic_dangerous_warpstone_select	wh3_dlc29_action_economic_dangerous_warpstone	false	Select Tokens	0
wh3_dlc29_bundle_economy_action_dangerous_warpstone	wh3_dlc29_action_economic_dangerous_warpstone	false	Dummy Effect Bundles for Description	1
wh3_dlc29_purple_economic_dangerous_warpstone_target	wh3_dlc29_action_economic_dangerous_warpstone	false	Targeting Component	0
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_economic_dangerous_warpstone	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_economic_dangerous_warpstone	false	Remove selected tokens	0
wh3_dlc29_bundle_economy_action_select_resource	wh3_dlc29_action_economic_focus	false	Dummy Effect Bundles for Description	1
wh3_dlc29_economy_action_select_resource	wh3_dlc29_action_economic_focus	false	Select Tokens - Purple Token Economy	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_economic_focus	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_economic_focus	false	Remove selected tokens	0
wh3_dlc29_skv_target_green_to_replace_from_set	wh3_dlc29_action_economic_focus	false	Targeting Component	0
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_economic_vault_1_open	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_bundle_vault_draw_tokens	wh3_dlc29_action_economic_vault_1_open	false	Dummy Effect Bundle for Description	1
wh3_dlc29_skv_vault_draw_tokens	wh3_dlc29_action_economic_vault_1_open	false	Draw Tokens for Opening Vault	0
wh3_dlc29_vault_tokens_draw_complication	wh3_dlc29_action_economic_vault_1_open	false	Chance to draw Complication for Opening Vault	0
wh3_dlc29_bundle_action_military_token_1_recruit	wh3_dlc29_action_military_lab_1_recruit	false	Dummy Effect Bundles for Description	0
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_military_lab_1_recruit	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_lab_draw_tokens	wh3_dlc29_action_military_lab_1_recruit	false	Draw Tokens for Opening Lab	0
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_military_lab_1_recruit	false	Remove selected token	0
wh3_dlc29_skv_select_lab	wh3_dlc29_action_military_lab_1_recruit	false	Select Lab	0
wh3_dlc29_bundle_action_military_token_1_recruit	wh3_dlc29_action_military_mercenaries_1_recruit	false	Dummy Effect Bundles for Description	0
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_military_mercenaries_1_recruit	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_mercenaries_draw_tokens	wh3_dlc29_action_military_mercenaries_1_recruit	false	Draw Tokens for Mercenaries	0
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_military_mercenaries_1_recruit	false	Remove selected	0
wh3_dlc29_skv_select_mercenaries	wh3_dlc29_action_military_mercenaries_1_recruit	false	Select Mercenaries	0
wh3_dlc29_action_military_reinforcements_select	wh3_dlc29_action_military_reinforcements	false	Select Tokens	0
wh3_dlc29_bundle_military_action_reinforcements	wh3_dlc29_action_military_reinforcements	false	Dummy Effect Bundles for Description	1
wh3_dlc29_purple_military_reinforcements_target	wh3_dlc29_action_military_reinforcements	false	Targeting Component	0
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_military_reinforcements	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_military_reinforcements	false	Remove selected tokens	0
wh3_dlc29_effect_bundle_action_economy_vampire_pay_for_reward	wh3_dlc29_action_military_vampire_pay_for_reward	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_military_vampire_pay_for_reward	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_military_vampire_pay_for_reward	false	Remove targeted tokens	0
wh3_dlc29_skv_target_green_2	wh3_dlc29_action_military_vampire_pay_for_reward	false	Targeting Green Tokens	0
wh3_dlc29_skv_thanquol_add_money_instant_2000	wh3_dlc29_action_military_vampire_pay_for_reward	false	Gain Treasury - Immediately	2
wh3_dlc29_effect_bundle_action_military_pay_tokens_to_reduce_alarm	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm_elite	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm_elite	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm_elite	false	Remove targeted tokens	0
wh3_dlc29_skv_target_green_3	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm_elite	false	Targeting Green Tokens	0
wh3_dlc29_effect_bundle_action_military_pay_to_reduce_alarm	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm	false	Remove targeted tokens	0
wh3_dlc29_skv_target_green_2	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm	false	Targeting Green Tokens	0
wh3_dlc29_bundle_action_remove_green_token	wh3_dlc29_any_action_assassin_sell_instant	false	Dummy Description for Action token	1
wh3_dlc29_skv_bundle_cooldown_2	wh3_dlc29_any_action_assassin_sell_instant	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_assassin_sell_instant	false	Remove token	0
wh3_dlc29_skv_target_green_1	wh3_dlc29_any_action_assassin_sell_instant	false	Targeting Component	0
wh3_dlc29_skv_thanquol_add_money_instant_1500	wh3_dlc29_any_action_assassin_sell_instant	false	Gain Treasury	2
wh3_dlc29_skv_bundle_reduce_risk	wh3_dlc29_any_action_basic_diversion_generated	false	Dummy Effect Bundles for Description	0
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_action_basic_diversion	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_basic_diversion	false	Any Plan - Lose targeted tokens	0
wh3_dlc29_skv_target_green_2	wh3_dlc29_any_action_basic_diversion	false	Any Plan - Target 2 Green tokens	0
wh3_dlc29_skv_dummy_bundle_experience	wh3_dlc29_any_action_experience_generated	false	Dummy Effect Bundles for Description	0
wh3_dlc29_bundle_economic_warlock_experience	wh3_dlc29_any_action_experience	false	Dummy Effect Bundle for Description	1
wh3_dlc29_skv_bundle_cooldown_1	wh3_dlc29_any_action_experience	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_experience	false		0
wh3_dlc29_skv_target_green_1	wh3_dlc29_any_action_experience	false		0
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_any_action_plague_1_elite	false	Dummy Effect Bundle for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_action_plague_1_elite	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_plague_1_elite	false	Payload to remove tokens	0
wh3_dlc29_skv_target_plague_1_elite	wh3_dlc29_any_action_plague_1_elite	false	Targeting Component	0
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_any_action_plague_1	false	Dummy Effect Bundle for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_action_plague_1	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_plague_1	false	Payload to remove tokens	0
wh3_dlc29_skv_target_plague_1	wh3_dlc29_any_action_plague_1	false	Targeting Component	0
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_any_action_plague_2_elite	false	Dummy Effect Bundle for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_action_plague_2_elite	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_plague_2_elite	false	Payload to remove tokens	0
wh3_dlc29_skv_target_plague_2_elite	wh3_dlc29_any_action_plague_2_elite	false	Targeting Component	0
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_any_action_plague_2	false	Dummy Effect Bundle for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_action_plague_2	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_plague_2	false	Payload to remove tokens	0
wh3_dlc29_skv_target_plague_2	wh3_dlc29_any_action_plague_2	false	Targeting Component	0
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_any_action_plague_3_elite	false	Dummy Effect Bundle for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_action_plague_3_elite	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_plague_3_elite	false	Payload to remove tokens	0
wh3_dlc29_skv_target_plague_3_elite	wh3_dlc29_any_action_plague_3_elite	false	Targeting Component	0
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_any_action_plague_3	false	Dummy Effect Bundle for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_action_plague_3	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_action_plague_3	false	Payload to remove tokens	0
wh3_dlc29_skv_target_plague_3	wh3_dlc29_any_action_plague_3	false	Targeting Component	0
wh3_dlc29_any_action_draw_warlock_negative	wh3_dlc29_any_action_skill_copy_green_1_economy	false	Warlock Red Draw	0
wh3_dlc29_skv_bundle_cooldown_2	wh3_dlc29_any_action_skill_copy_green_1_economy	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_copy_green	wh3_dlc29_any_action_skill_copy_green_1_economy	false	Any Plan - Copy Green Token(s)	1
wh3_dlc29_skv_target_green_1	wh3_dlc29_any_action_skill_copy_green_1_economy	false	Targeting Component	0
wh3_dlc29_any_action_draw_warlock_negative	wh3_dlc29_any_action_skill_copy_green_1_military	false	Warlock Red Draw	0
wh3_dlc29_skv_bundle_cooldown_2	wh3_dlc29_any_action_skill_copy_green_1_military	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_copy_green	wh3_dlc29_any_action_skill_copy_green_1_military	false	Any Plan - Copy Green Token(s)	1
wh3_dlc29_skv_target_green_1	wh3_dlc29_any_action_skill_copy_green_1_military	false	Targeting Component	0
wh3_dlc29_bundle_any_mod_pool_grey_seer_winds	wh3_dlc29_any_mod_pool_grey_seer_winds	false	Dummy Effect Bundle for Description	0
wh3_dlc29_any_red_alarm_action_cost_1_payoff_remove	wh3_dlc29_any_red_alarm_action_cost_1_payoff	false	Any Plan - Remove negative token	0
wh3_dlc29_effect_bundle_action_military_pay_to_reduce_alarm	wh3_dlc29_any_red_alarm_action_cost_1_payoff	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_red_alarm_action_cost_1_payoff	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_red_alarm_action_cost_1_payoff	false	Remove selected tokens	0
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_alarm_action_cost_1	false	Any Plan - Effect Bundle post-plan, expensive actions	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_alarm_action_cost_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_alarm_action_cost_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_any_red_alarm_action_cost_2_payoff_remove	wh3_dlc29_any_red_alarm_action_cost_2_payoff	false	Any Plan - Remove negative token	0
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_any_red_alarm_action_cost_2_payoff	false	Dummy Effect Bundles for Description	1
wh3_dlc29_skv_bundle_single_use	wh3_dlc29_any_red_alarm_action_cost_2_payoff	false	Dummy Effect Bundles for Description	4
wh3_dlc29_skv_remove_pinned_tokens_from_drawn	wh3_dlc29_any_red_alarm_action_cost_2_payoff	false	Remove selected tokens	0
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_alarm_action_cost_2	false	Any Plan - Effect Bundle post-plan, expensive actions	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_alarm_action_cost_2	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_alarm_action_cost_2	false	Any Plan - Alarm (negative)	0
wh3_dlc29_bundle_any_red_attention_generated	wh3_dlc29_any_red_attention_generated	false	Dummy Effect Bundles for Description	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_attention_generated	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_alarm_1	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_basic_alarm_1	false	Any Plan - Alarm (negative)	0
wh3_dlc29_any_red_alarm_action_cost_1_single_turn	wh3_dlc29_any_red_basic_alarm_2	false	Bundle - cost of tricks	1
wh3_dlc29_skv_hidden_chaotic_draw_1	wh3_dlc29_any_red_basic_alarm_2	false	Hidden 2% chance for purple or red token	0
wh3_dlc29_skv_thanquol_add_alarm_1	wh3_dlc29_any_red_basic_alarm_2	false	Any Plan - Alarm (negative)	0
