culture	effect_bundle	turns
#confederation_effect_bundles_tables;0;db/confederation_effect_bundles_tables/data__		
wh2_main_def_dark_elves	wh2_main_bundle_confederation_def	5
wh2_main_hef_high_elves	wh2_main_bundle_confederation_hef	5
wh2_main_lzd_lizardmen	wh2_main_bundle_confederation_lzd	5
wh2_main_skv_skaven	wh2_main_bundle_confederation_skv	5
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_bundle_confederation_chd	5
wh3_main_cth_cathay	wh3_main_bundle_confederation_cth	5
wh3_main_dae_daemons	wh3_main_bundle_confederation_dae	5
wh3_main_kho_khorne	wh3_main_bundle_confederation_kho	5
wh3_main_nur_nurgle	wh3_main_bundle_confederation_nur	5
wh3_main_ogr_ogre_kingdoms	wh3_main_bundle_confederation_ogr	5
wh3_main_sla_slaanesh	wh3_main_bundle_confederation_sla	5
wh3_main_tze_tzeentch	wh3_main_bundle_confederation_tze	5
wh_dlc03_bst_beastmen	wh_dlc03_beastmen_confederation_help	5
wh_dlc05_wef_wood_elves	wh_main_bundle_confederation_wef	5
wh_main_brt_bretonnia	wh_main_bundle_confederation_brt	4
wh_main_dwf_dwarfs	wh_main_bundle_confederation_dwf	5
wh_main_emp_empire	wh_main_bundle_confederation_emp	5
wh_main_grn_greenskins	wh_main_bundle_confederation_grn	5
wh_main_vmp_vampire_counts	wh_main_bundle_confederation_vmp	5
