member	campaign
#campaign_group_member_criteria_campaigns_tables;0;db/campaign_group_member_criteria_campaigns_tables/data__	
wh2_dlc14_ritual_combi_eshin	wh3_main_combi
wh3_dlc20_champions_chaos_campaign_azazel	wh3_main_chaos
wh3_dlc20_champions_chaos_campaign_festus	wh3_main_chaos
wh3_dlc20_champions_chaos_campaign_valkia	wh3_main_chaos
wh3_dlc20_champions_chaos_campaign_vilitch	wh3_main_chaos
wh3_dlc23_chd_chaos_campaign	wh3_main_chaos
wh3_dlc23_chd_combi_campaign	wh3_main_combi
wh3_main_captive_option_reveal_tzeentch	wh3_main_chaos
wh3_main_cathay_chaos_campaign	wh3_main_chaos
wh3_main_cathay_combi_campaign	wh3_main_combi
wh3_main_corruption_campaigns_wh3_main_chaos	wh3_main_chaos
wh3_main_corruption_campaigns_wh3_main_combi	wh3_main_combi
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh2_main_rogue_abominations	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh2_main_rogue_beastcatchas	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh2_main_rogue_celestial_storm	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh2_main_rogue_the_wandering_dead	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh2_main_rogue_wrath_of_nature	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_kho_brazen_throne	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_nur_bubonic_swarm	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_rogue_shadow_legion	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_rogue_the_bloody_harvest	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_rogue_the_fluxion_host	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_rogue_the_pleasure_tide	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_rogue_the_putrid_swarm	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_sla_rapturous_excess	wh3_main_chaos
wh3_main_diplomacy_disabled_between_factions_realm_factions_wh3_main_tze_all_seeing_eye	wh3_main_chaos
wh3_main_prologue_campaign	wh3_main_prologue
wh3_main_realms_gameplay_wh3_main_cth_the_northern_provinces	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_cth_the_western_provinces	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_dae_daemon_prince	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_kho_exiles_of_khorne	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_ksl_the_great_orthodoxy	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_ksl_the_ice_court	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_ksl_ursun_revivalists	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_nur_poxmakers_of_nurgle	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_ogr_disciples_of_the_maw	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_ogr_goldtooth	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_sla_seducers_of_slaanesh	wh3_main_chaos
wh3_main_realms_gameplay_wh3_main_tze_oracles_of_tzeentch	wh3_main_chaos
