token_set	culture	minimum_added_tokens	maximum_added_tokens	pct_chance_for_extra_tokens
#chaotic_plan_culture_added_tokens_junctions_tables;0;db/chaotic_plan_culture_added_tokens_junctions_tables/data__				
wh3_dlc29_red_purple_tomb_kings	wh2_dlc09_tmb_tomb_kings	4	6	50
wh3_dlc29_red_purple_vampire_coast	wh2_dlc11_cst_vampire_coast	4	6	40
wh3_dlc29_red_purple_dark_elves	wh2_main_def_dark_elves	4	6	40
wh3_dlc29_red_purple_high_elves	wh2_main_hef_high_elves	4	6	40
wh3_dlc29_red_purple_lizardmen	wh2_main_lzd_lizardmen	4	6	40
wh3_dlc29_red_purple_skaven	wh2_main_skv_skaven	4	6	40
wh3_dlc29_red_purple_chaos_dwarfs	wh3_dlc23_chd_chaos_dwarfs	4	6	40
wh3_dlc29_red_purple_undead_legions	wh3_dlc29_nag_undead_legions	4	6	40
wh3_dlc29_red_purple_cathay	wh3_main_cth_cathay	4	6	40
wh3_dlc29_red_purple_chaos	wh3_main_dae_daemons	4	6	70
wh3_dlc29_red_purple_khorne	wh3_main_kho_khorne	4	6	70
wh3_dlc29_red_purple_kislev	wh3_main_ksl_kislev	4	6	40
wh3_dlc29_red_purple_nurgle	wh3_main_nur_nurgle	4	6	70
wh3_dlc29_red_purple_ogre_kingdoms	wh3_main_ogr_ogre_kingdoms	4	6	40
wh3_dlc29_red_purple_slaanesh	wh3_main_sla_slaanesh	4	6	70
wh3_dlc29_red_purple_tzeentch	wh3_main_tze_tzeentch	4	6	70
wh3_dlc29_red_purple_wood_elves	wh_dlc05_wef_wood_elves	4	6	40
wh3_dlc29_red_purple_norsca	wh_dlc08_nor_norsca	4	6	40
wh3_dlc29_red_purple_bretonnia	wh_main_brt_bretonnia	4	6	40
wh3_dlc29_red_purple_chaos	wh_main_chs_chaos	4	6	70
wh3_dlc29_red_purple_dwarfs	wh_main_dwf_dwarfs	4	6	40
wh3_dlc29_red_purple_empire	wh_main_emp_empire	4	6	40
wh3_dlc29_red_purple_greenskins	wh_main_grn_greenskins	4	6	40
wh3_dlc29_red_purple_vampire_counts	wh_main_vmp_vampire_counts	4	6	40
