land_unit_articulated_vehicle	index	max_angle	offset	radius	secondary_entity_index	docking_offset	pivot_0_target_offset	pivot_1_target_offset	pivot_2_target_offset
#articulation_nodes_in_land_articulated_vehicles_tables;3;db/articulation_nodes_in_land_articulated_vehicles_tables/data__									
articulated	0	45.0000	1.2500	1.7500	-1	0.0000	0	0	0
wh2_dlc09_tmb_chariot	0	80.0000	0.4000	1.5000	-1	0.0000	0	0	0
wh2_dlc09_tmb_chariot_arkhan	0	80.0000	0.6500	2.0000	-1	0.0000	0	0	0
wh2_dlc09_tmb_chariot_settra	0	80.0000	0.6500	2.1000	-1	0.0000	0	0	0
wh2_dlc13_emp_war_wagon	0	60.0000	0.8000	1.2500	-1	0.0000	0	0	0
wh2_dlc13_emp_war_wagon_artillery	0	60.0000	0.8000	1.2500	-1	0.0000	0	0	0
wh2_dlc14_def_scourgerunner_chariot	0	85.0000	0.0000	1.5000	-1	0.0000	0	0	0
wh2_dlc15_grn_grom_chariot	0	75.0000	0.3000	1.5000	-1	0.0000	0	0	0
wh2_dlc17_bst_tuskgor_chariot	0	50.0000	0.5000	1.2500	-1	0.0000	0	0	0
wh2_main_def_cold_one_chariot	0	85.0000	0.0000	1.7500	-1	0.0000	0	0	0
wh2_main_hef_ithilmar_chariot	0	75.0000	0.4000	1.2500	-1	0.0000	0	0	0
wh2_main_hef_tiranoc_chariot	0	75.0000	0.4000	1.2500	-1	0.0000	0	0	0
wh3_dlc23_chd_veh_dreadquake_mortar	0	45.0000	0.0000	2.5000	-1	0.0000	0	-1	2
wh3_dlc23_chd_veh_iron_daemon	0	45.0000	1.7500	1.5000	-1	0.0000	-1	0	0
wh3_dlc23_chd_veh_iron_daemon_1carriage	0	45.0000	1.7500	1.5000	-1	0.0000	-1	0	0
wh3_dlc23_chd_veh_iron_daemon_1carriage_plus1	0	45.0000	1.7500	1.5000	-1	0.0000	-1	0	0
wh3_dlc23_chd_veh_iron_daemon_2carriage	0	45.0000	1.7500	1.5000	-1	0.0000	-1	0	0
wh3_dlc23_chd_veh_iron_daemon_2carriage_plus1	0	45.0000	1.7500	1.5000	-1	0.0000	-1	0	0
wh3_dlc23_chd_veh_iron_daemon_3carriage	0	45.0000	1.7500	1.5000	-1	0.0000	-1	0	0
wh3_dlc23_chd_veh_iron_daemon_plus1	0	45.0000	1.7500	1.5000	-1	0.0000	-1	0	0
wh3_dlc23_chd_veh_skullcracker	0	45.0000	1.0000	1.0000	-1	0.0000	0	2	0
wh3_dlc23_chd_veh_skullcracker_1carriage	0	45.0000	1.0000	1.0000	-1	0.0000	0	2	0
wh3_dlc23_chd_veh_skullcracker_1carriage_plus1	0	45.0000	1.0000	1.0000	-1	0.0000	0	2	0
