category_object	category_chain	order
#chaotic_plan_shop_category_chain_to_object_junctions_tables;0;db/chaotic_plan_shop_category_chain_to_object_junctions_tables/data__		
wh3_dlc29_economic_action_draw_warlock	wh3_dlc29_economic_action_draw_warlock	0
wh3_dlc29_military_mod_pool_cannons_warlock_1	wh3_dlc29_military_mod_pool_cannons_warlock	0
wh3_dlc29_military_mod_pool_cannons_warlock_2	wh3_dlc29_military_mod_pool_cannons_warlock	1
wh3_dlc29_shop_military_mod_pool_clanrats_grey_seer_2	wh3_dlc29_military_mod_pool_clanrats_grey_seer	0
wh3_dlc29_shop_military_mod_pool_clanrats_grey_seer_3	wh3_dlc29_military_mod_pool_clanrats_grey_seer	1
wh3_dlc29_shop_military_mod_pool_clanrats_grey_seer_4	wh3_dlc29_military_mod_pool_clanrats_grey_seer	2
wh3_dlc29_shop_military_mod_pool_clanrats_grey_seer_5	wh3_dlc29_military_mod_pool_clanrats_grey_seer	3
wh3_dlc29_shop_military_mod_pool_stormfiends_warlock_1	wh3_dlc29_military_mod_pool_stormfiends_warlock	0
wh3_dlc29_shop_military_mod_pool_stormfiends_warlock_2	wh3_dlc29_military_mod_pool_stormfiends_warlock	1
wh3_dlc29_shop_military_mod_pool_stormfiends_warlock_3	wh3_dlc29_military_mod_pool_stormfiends_warlock	2
wh3_dlc29_shop_military_mod_pool_stormfiends_warlord_1	wh3_dlc29_military_mod_pool_stormfiends_warlord	0
wh3_dlc29_shop_military_mod_pool_stormfiends_warlord_2	wh3_dlc29_military_mod_pool_stormfiends_warlord	1
wh3_dlc29_shop_military_mod_pool_stormfiends_warlord_3	wh3_dlc29_military_mod_pool_stormfiends_warlord	2
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_upgrade_double_units_warlock	0
wh3_dlc29_shop_action_any_remove_red_2	wh3_dlc29_shop_action_any_remove_red	0
wh3_dlc29_shop_action_any_remove_red_3	wh3_dlc29_shop_action_any_remove_red	1
wh3_dlc29_shop_any_action_assassin_sell_instant	wh3_dlc29_shop_any_action_assassin_sell_instant	0
wh3_dlc29_shop_any_action_experience	wh3_dlc29_shop_any_action_experience	0
wh3_dlc29_shop_economic_action_instant_warpstone_1	wh3_dlc29_shop_economic_action_instant_warpstone	0
wh3_dlc29_shop_economic_action_instant_warpstone_2	wh3_dlc29_shop_economic_action_instant_warpstone	1
wh3_dlc29_shop_economic_action_instant_warpstone_3	wh3_dlc29_shop_economic_action_instant_warpstone	2
wh3_dlc29_shop_economic_green_eshin_all_1	wh3_dlc29_shop_economic_green_eshin_all	0
wh3_dlc29_shop_economic_green_eshin_all_2	wh3_dlc29_shop_economic_green_eshin_all	1
wh3_dlc29_shop_economic_green_eshin_all_3	wh3_dlc29_shop_economic_green_eshin_all	2
wh3_dlc29_shop_economic_green_rictus_warpstone_1	wh3_dlc29_shop_economic_green_rictus_warpstone	0
wh3_dlc29_shop_economic_green_rictus_warpstone_2	wh3_dlc29_shop_economic_green_rictus_warpstone	1
wh3_dlc29_shop_economic_green_rictus_warpstone_3	wh3_dlc29_shop_economic_green_rictus_warpstone	2
wh3_dlc29_shop_economic_green_skryre_treasury_1	wh3_dlc29_shop_economic_green_skryre_treasury	0
wh3_dlc29_shop_economic_green_skryre_treasury_2	wh3_dlc29_shop_economic_green_skryre_treasury	1
wh3_dlc29_shop_economic_green_skryre_treasury_3	wh3_dlc29_shop_economic_green_skryre_treasury	2
wh3_dlc29_shop_economic_green_skryre_warpstone_1	wh3_dlc29_shop_economic_green_skryre_warpstone	0
wh3_dlc29_shop_economic_green_skryre_warpstone_2	wh3_dlc29_shop_economic_green_skryre_warpstone	1
wh3_dlc29_shop_economic_green_skryre_warpstone_3	wh3_dlc29_shop_economic_green_skryre_warpstone	2
wh3_dlc29_shop_economic_mod_pool_grey_seer_treasury_large_1	wh3_dlc29_shop_economic_mod_pool_grey_seer_treasury_large	0
wh3_dlc29_shop_economic_upgrade_grey_seer_treasury_large_2	wh3_dlc29_shop_economic_mod_pool_grey_seer_treasury_large	1
wh3_dlc29_shop_economic_upgrade_grey_seer_treasury_large_3	wh3_dlc29_shop_economic_mod_pool_grey_seer_treasury_large	2
wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp_2	wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp	0
wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp_3	wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp	1
wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp	2
wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp	3
wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp_2	wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp	0
wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp_3	wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp	1
wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp	2
wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp	3
wh3_dlc29_shop_economy_action_assassin_draw	wh3_dlc29_shop_economy_action_assassin_draw	0
wh3_dlc29_shop_economy_action_select_resource	wh3_dlc29_shop_economy_action_select_resource	0
wh3_dlc29_shop_economy_mod_pool_basic_food_mid_1	wh3_dlc29_shop_economy_mod_pool_basic_food_mid	0
wh3_dlc29_shop_economy_mod_pool_basic_food_mid_2	wh3_dlc29_shop_economy_mod_pool_basic_food_mid	1
wh3_dlc29_shop_economy_mod_pool_basic_food_mid_3	wh3_dlc29_shop_economy_mod_pool_basic_food_mid	2
wh3_dlc29_shop_economy_mod_pool_basic_food_small_1	wh3_dlc29_shop_economy_mod_pool_basic_food_small	0
wh3_dlc29_shop_economy_mod_pool_basic_food_small_2	wh3_dlc29_shop_economy_mod_pool_basic_food_small	1
wh3_dlc29_shop_economy_mod_pool_basic_food_small_3	wh3_dlc29_shop_economy_mod_pool_basic_food_small	2
wh3_dlc29_shop_magic_draw_combo_piece_verminlord	wh3_dlc29_shop_magic_draw_combo_piece_verminlord	0
wh3_dlc29_shop_magic_upgrade_verminlord_1	wh3_dlc29_shop_magic_summon_verminlord	0
wh3_dlc29_shop_magic_upgrade_verminlord_2	wh3_dlc29_shop_magic_summon_verminlord	1
wh3_dlc29_shop_magic_upgrade_verminlord_3	wh3_dlc29_shop_magic_summon_verminlord	2
wh3_dlc29_shop_magic_upgrade_verminlord_4	wh3_dlc29_shop_magic_summon_verminlord	3
wh3_dlc29_shop_magic_upgrade_verminlord_5	wh3_dlc29_shop_magic_summon_verminlord	4
wh3_dlc29_shop_military_action_assassin_draw	wh3_dlc29_shop_military_action_assassin_draw	0
wh3_dlc29_shop_military_action_assassin	wh3_dlc29_shop_military_action_assassin	0
wh3_dlc29_shop_military_action_assassin_2	wh3_dlc29_shop_military_action_assassin	1
wh3_dlc29_shop_military_action_assassin_3	wh3_dlc29_shop_military_action_assassin	2
wh3_dlc29_shop_military_action_chieftain_0	wh3_dlc29_shop_military_action_chieftain	0
wh3_dlc29_shop_military_action_chieftain_1	wh3_dlc29_shop_military_action_chieftain	1
wh3_dlc29_shop_military_action_chieftain_2	wh3_dlc29_shop_military_action_chieftain	2
wh3_dlc29_shop_military_action_eshin_sorcerer_1	wh3_dlc29_shop_military_action_eshin_sorcerer	0
wh3_dlc29_shop_military_action_eshin_sorcerer_2	wh3_dlc29_shop_military_action_eshin_sorcerer	1
wh3_dlc29_shop_military_action_eshin_sorcerer_3	wh3_dlc29_shop_military_action_eshin_sorcerer	2
wh3_dlc29_shop_military_action_packmaster_0	wh3_dlc29_shop_military_action_packmaster	0
wh3_dlc29_shop_military_action_packmaster_1	wh3_dlc29_shop_military_action_packmaster	1
wh3_dlc29_shop_military_action_packmaster_2	wh3_dlc29_shop_military_action_packmaster	2
wh3_dlc29_shop_military_action_plague_priest_0	wh3_dlc29_shop_military_action_plague_priest	0
wh3_dlc29_shop_military_action_plague_priest_1	wh3_dlc29_shop_military_action_plague_priest	1
wh3_dlc29_shop_military_action_plague_priest_2	wh3_dlc29_shop_military_action_plague_priest	2
wh3_dlc29_shop_military_action_skill_grey_seer_draw_units_2	wh3_dlc29_shop_military_action_skill_grey_seer_draw_units	0
wh3_dlc29_shop_military_action_skill_grey_seer_draw_units_3	wh3_dlc29_shop_military_action_skill_grey_seer_draw_units	1
wh3_dlc29_shop_military_action_skill_grey_seer_draw_units_4	wh3_dlc29_shop_military_action_skill_grey_seer_draw_units	2
wh3_dlc29_shop_military_action_skill_grey_seer_draw_units_5	wh3_dlc29_shop_military_action_skill_grey_seer_draw_units	3
wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes_1	wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes	0
wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes_2	wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes	1
wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes_3	wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes	2
wh3_dlc29_shop_military_action_skill_spawn_hell_pit_abomination_1	wh3_dlc29_shop_military_action_skill_spawn_hell_pit_abomination	0
wh3_dlc29_shop_military_action_skill_spawn_hell_pit_abomination_2	wh3_dlc29_shop_military_action_skill_spawn_hell_pit_abomination	1
wh3_dlc29_shop_military_action_skill_spawn_warp_doom_magma_cannon	wh3_dlc29_shop_military_action_skill_spawn_warp_doom_magma_cannon	0
wh3_dlc29_shop_military_action_warlock_engineer_1	wh3_dlc29_shop_military_action_warlock_engineer	0
wh3_dlc29_shop_military_action_warlock_engineer_2	wh3_dlc29_shop_military_action_warlock_engineer	1
wh3_dlc29_shop_military_action_warlock_engineer_3	wh3_dlc29_shop_military_action_warlock_engineer	2
