key	max_indent	min_indent	order	agent_subtype_override	col_hex
#character_skill_categories_tables;2;db/character_skill_categories_tables/data__					
battle	4	4	1		F1413D
battle_ancient_treeman	4	3	1	wh_dlc05_wef_ancient_treeman	F1413D
battle_glade_lord	4	3	1	wh_dlc05_wef_glade_lord	F1413D
battle_glade_lord_fem	4	3	1	wh_dlc05_wef_glade_lord_fem	F1413D
battle_glade_lord_orion	4	3	1	wh_dlc05_wef_orion	F1413D
battle_marauder_chieftan	4	3	1	wh_main_nor_marauder_chieftain	F1413D
battle_throgg	4	3	1	wh_dlc08_nor_throgg	F1413D
battle_wulfrik	4	3	1	wh_dlc08_nor_wulfrik	F1413D
campaign	5	5	2		43DDF8
campaign_ancient_treemnan	5	5	2	wh_dlc05_wef_ancient_treeman	43DDF8
campaign_glade_lord	5	5	2	wh_dlc05_wef_glade_lord	43DDF8
campaign_glade_lord_fem	5	5	2	wh_dlc05_wef_glade_lord_fem	43DDF8
campaign_glade_lord_orion	5	5	2	wh_dlc05_wef_orion	43DDF8
character	3	0	0		FFB62F
character_ancient_treeman	2	0	0	wh_dlc05_wef_ancient_treeman	FFB62F
character_glade_lord	2	0	0	wh_dlc05_wef_glade_lord	FFB62F
character_glade_lord_fem	2	0	0	wh_dlc05_wef_glade_lord_fem	FFB62F
character_glade_lord_orion	2	0	0	wh_dlc05_wef_orion	FFB62F
character_hef_handmaiden	4	4	1	wh2_dlc10_hef_handmaiden	FFB62F
character_wef_glade_captain	4	0	0	wh2_twa02_wef_glade_captain	FFB62F
daemon_prince_khorne	2	2	1	wh3_main_dae_daemon_prince	F1413D
daemon_prince_nurgle	3	3	2	wh3_main_dae_daemon_prince	54A618
daemon_prince_slaanesh	4	4	3	wh3_main_dae_daemon_prince	871983
daemon_prince_tzeentch	5	5	4	wh3_main_dae_daemon_prince	4E49F2
daemon_prince_undivided	1	1	1	wh3_main_dae_daemon_prince	43DDF8
dlc16_spellweaver_battle_beasts	4	3	1	wh2_dlc16_wef_spellweaver_beasts	F1413D
dlc16_spellweaver_battle_dark	4	3	1	wh2_dlc16_wef_spellweaver_dark	F1413D
dlc16_spellweaver_battle_high	4	3	1	wh2_dlc16_wef_spellweaver_high	F1413D
dlc16_spellweaver_battle_life	4	3	1	wh2_dlc16_wef_spellweaver_life	F1413D
dlc16_spellweaver_battle_shadows	4	3	1	wh2_dlc16_wef_spellweaver_shadows	F1413D
dlc16_spellweaver_campaign_beasts	5	5	2	wh2_dlc16_wef_spellweaver_beasts	43DDF8
dlc16_spellweaver_campaign_dark	5	5	2	wh2_dlc16_wef_spellweaver_dark	43DDF8
dlc16_spellweaver_campaign_high	5	5	2	wh2_dlc16_wef_spellweaver_high	43DDF8
dlc16_spellweaver_campaign_life	5	5	2	wh2_dlc16_wef_spellweaver_life	43DDF8
dlc16_spellweaver_campaign_shadows	5	5	2	wh2_dlc16_wef_spellweaver_shadows	43DDF8
dlc16_spellweaver_character_beasts	2	0	0	wh2_dlc16_wef_spellweaver_beasts	FFB62F
dlc16_spellweaver_character_dark	2	0	0	wh2_dlc16_wef_spellweaver_dark	FFB62F
dlc16_spellweaver_character_high	2	0	0	wh2_dlc16_wef_spellweaver_high	FFB62F
dlc16_spellweaver_character_life	2	0	0	wh2_dlc16_wef_spellweaver_life	FFB62F
dlc16_spellweaver_character_shadows	2	0	0	wh2_dlc16_wef_spellweaver_shadows	FFB62F
pro12_champion_karanak_generic	4	3	4	wh3_pro12_kho_cha_karanak	FFB62F
