member	context	culture
#campaign_group_member_criteria_cultures_tables;1;db/campaign_group_member_criteria_cultures_tables/data__		
brt_chivalry_1	ACTOR	wh_main_brt_bretonnia
brt_chivalry_2	ACTOR	wh_main_brt_bretonnia
brt_chivalry_3	ACTOR	wh_main_brt_bretonnia
brt_chivalry_4	ACTOR	wh_main_brt_bretonnia
brt_chivalry_5	ACTOR	wh_main_brt_bretonnia
diplomacy_culture_brt_bretonnia	ACTOR	wh_main_brt_bretonnia
diplomacy_culture_chs_chaos	ACTOR	wh_main_chs_chaos
diplomacy_culture_dwf_dwarfs	ACTOR	wh_main_dwf_dwarfs
diplomacy_culture_emp_empire	ACTOR	wh_main_emp_empire
diplomacy_culture_grn_greenskins	ACTOR	wh_main_grn_greenskins
diplomacy_culture_vmp_vampire_counts	ACTOR	wh_main_vmp_vampire_counts
grn_faction_waaagh_reward_group_rogue	ACTOR	wh2_main_rogue
wh2_captive_option_enslave_vampire_coast	ORIGINATOR	wh2_dlc11_cst_vampire_coast
wh2_captive_option_kill_settlement_vampire_coast	ORIGINATOR	wh2_dlc11_cst_vampire_coast
wh2_captive_option_kill_vampire_coast	ORIGINATOR	wh2_dlc11_cst_vampire_coast
wh2_captive_option_release_vampire_coast	ORIGINATOR	wh2_dlc11_cst_vampire_coast
wh2_dlc09_captive_option_tomb_kings	ORIGINATOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_army_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_character_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_province_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_all_failure_hinder_army_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_all_failure_hinder_character_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_all_failure_hinder_province_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_all_hinder_character_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_champion_hinder_army_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_plague_priest_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_dignitary_hinder_army_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_dignitary_hinder_settlement_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_engineer_hinder_settlement_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_hinder_settlement_gain_influence_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_spy_hinder_army_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_spy_hinder_settlement_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_agent_action_wizard_hinder_army_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_cult_character_dies_battle_tomb_kings	ORIGINATOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_cult_diplomacy_faction_destroyed_tmb	ORIGINATOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_cult_diplomacy_faction_encountered_tmb	ORIGINATOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_cult_faction_joins_confederation_tmb	ORIGINATOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_cult_tomb_kings	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_cult_tomb_kings_attrition_desertion	ACTOR	wh2_dlc09_tmb_tomb_kings
wh2_dlc09_event_feed_cult_tomb_kings_battle_attack_outcome_defeat	ACTOR	wh2_dlc09_tmb_tomb_kings
