bonus_value_id	effect	stance
#effect_bonus_value_stance_junctions_tables;0;db/effect_bonus_value_stance_junctions_tables/data__		
available	wh3_26_effect_enable_stance_tunnelling_alith_anar	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
available	wh3_dlc20_chs_lord_trait_vilitch_teleport_stance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
cost_percentage_mod	wh3_dlc20_effect_wom_cost_teleport_stance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
disabled	wh3_dlc24_effect_disable_stance_march_tunnelling_ksl	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
disabled	wh3_dlc24_effect_disable_stance_march_tunnelling_ksl	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
available	wh3_dlc25_effect_enable_stance_teleport_attack_dwf	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
available	wh3_dlc26_effect_enable_stance_stalk_skarsnik	MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING
available	wh3_dlc26_effect_force_campaign_stance_tunnelling_movement	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
disabled	wh3_dlc26_effect_stance_availability_ambush_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
available	wh3_dlc26_effect_stance_availability_ambush_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
disabled	wh3_dlc26_effect_stance_availability_assemble_fleet_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
available	wh3_dlc26_effect_stance_availability_assemble_fleet_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
disabled	wh3_dlc26_effect_stance_availability_astromancy_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY
available	wh3_dlc26_effect_stance_availability_astromancy_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY
disabled	wh3_dlc26_effect_stance_availability_channeling_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
available	wh3_dlc26_effect_stance_availability_channeling_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
disabled	wh3_dlc26_effect_stance_availability_default_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
available	wh3_dlc26_effect_stance_availability_default_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
disabled	wh3_dlc26_effect_stance_availability_double_time_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
available	wh3_dlc26_effect_stance_availability_double_time_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
disabled	wh3_dlc26_effect_stance_availability_fixed_camp_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
available	wh3_dlc26_effect_stance_availability_fixed_camp_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
disabled	wh3_dlc26_effect_stance_availability_land_raid_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
available	wh3_dlc26_effect_stance_availability_land_raid_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
disabled	wh3_dlc26_effect_stance_availability_march_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
available	wh3_dlc26_effect_stance_availability_march_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
disabled	wh3_dlc26_effect_stance_availability_muster_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
available	wh3_dlc26_effect_stance_availability_muster_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
disabled	wh3_dlc26_effect_stance_availability_patrol_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL
available	wh3_dlc26_effect_stance_availability_patrol_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL
disabled	wh3_dlc26_effect_stance_availability_raise_dead_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_RAISE_DEAD
available	wh3_dlc26_effect_stance_availability_raise_dead_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_RAISE_DEAD
disabled	wh3_dlc26_effect_stance_availability_sea_raid_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
available	wh3_dlc26_effect_stance_availability_sea_raid_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
disabled	wh3_dlc26_effect_stance_availability_set_camp_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
available	wh3_dlc26_effect_stance_availability_set_camp_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
disabled	wh3_dlc26_effect_stance_availability_set_camp_raiding_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
available	wh3_dlc26_effect_stance_availability_set_camp_raiding_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
disabled	wh3_dlc26_effect_stance_availability_settle_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
available	wh3_dlc26_effect_stance_availability_settle_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
disabled	wh3_dlc26_effect_stance_availability_stalking_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING
available	wh3_dlc26_effect_stance_availability_stalking_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING
disabled	wh3_dlc26_effect_stance_availability_tunneling_disable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
available	wh3_dlc26_effect_stance_availability_tunneling_enable	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
available	wh3_dlc27_effect_enable_stance_stalk	MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING
available	wh3_dlc27_enable_disembark_stance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DISEMBARK
available	wh3_main_effect_disable_stance_tunnelling_tze	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
cost_percentage_mod	wh3_main_effect_stance_cost_multiplier_tunneling_tze_HIDDEN	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
cost_percentage_mod	wh3_main_effect_stance_cost_multiplier_tunneling_tze	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
