m_key	multiplayer_campaign_setting	value	order
#multiplayer_campaign_settings_options_tables;4;db/multiplayer_campaign_settings_options_tables/data__			
ai_extra_aggro_off	ai_extra_aggro	0	0
ai_extra_aggro_on	ai_extra_aggro	1	1
ai_minor_faction_potential_off	ai_minor_faction_potential	1	1
ai_minor_faction_potential_on	ai_minor_faction_potential	0	0
autoresolve_all_battles_0	autoresolve_all_battles	0	0
autoresolve_all_battles_1	autoresolve_all_battles	1	1
battle_difficulty_0	battle_difficulty	0	0
battle_difficulty_1	battle_difficulty	1	1
battle_difficulty_2	battle_difficulty	2	2
battle_difficulty_3	battle_difficulty	3	3
battle_time_limit_0	battle_time_limit	20	0
battle_time_limit_1	battle_time_limit	30	1
battle_time_limit_2	battle_time_limit	60	2
battle_time_limit_3	battle_time_limit	-1	3
campaign_difficulty_0	campaign_difficulty	0	0
campaign_difficulty_1	campaign_difficulty	1	1
campaign_difficulty_2	campaign_difficulty	2	2
campaign_difficulty_3	campaign_difficulty	3	3
campaign_difficulty_4	campaign_difficulty	4	4
character_loading_0	character_loading	0	0
character_loading_1	character_loading	1	1
default_battle_resolution_0	default_battle_resolution	0	0
default_battle_resolution_1	default_battle_resolution	1	1
enable_end_game_off	enable_end_game	0	0
enable_end_game_on	enable_end_game	1	1
enable_sea_lanes_off	enable_sea_lanes	0	0
enable_sea_lanes_on	enable_sea_lanes	1	1
ironman_mode_off	ironman_mode	0	2
ironman_mode_on	ironman_mode	1	0
realm_of_chaos_off	realm_of_chaos	0	0
realm_of_chaos_on	realm_of_chaos	1	1
simultaneous_turns_all	simultaneous_turns	1	1
simultaneous_turns_alliance_only	simultaneous_turns	2	-1
simultaneous_turns_off	simultaneous_turns	0	0
turn_time_0	turn_time	1	0
turn_time_1	turn_time	2	1
turn_time_2	turn_time	3	2
turn_time_3	turn_time	5	3
turn_time_4	turn_time	10	4
turn_time_5	turn_time	-1	5
unit_size_0	unit_size	0	0
unit_size_1	unit_size	1	1
unit_size_2	unit_size	2	2
unit_size_3	unit_size	3	3
