token	removed_token	remove_from_pool
#chaotic_plan_token_removed_token_junctions_tables;0;db/chaotic_plan_token_removed_token_junctions_tables/data__		
wh3_dlc29_action_any_remove_red_2	wh3_dlc29_action_any_remove_red_1	false
wh3_dlc29_action_any_remove_red_3	wh3_dlc29_action_any_remove_red_2	false
wh3_dlc29_economic_action_instant_warpstone_2	wh3_dlc29_economic_action_instant_warpstone_1	false
wh3_dlc29_economic_action_instant_warpstone_3	wh3_dlc29_economic_action_instant_warpstone_1	false
wh3_dlc29_economic_action_instant_warpstone_3	wh3_dlc29_economic_action_instant_warpstone_2	false
wh3_dlc29_economic_upgrade_basic_treasury_gdp_2	wh3_dlc29_economic_green_basic_treasury_gdp_large_1	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_2	wh3_dlc29_economic_green_basic_treasury_gdp_small_1	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_3	wh3_dlc29_economic_green_basic_treasury_gdp_large_1	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_3	wh3_dlc29_economic_green_basic_treasury_gdp_large_2	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_3	wh3_dlc29_economic_green_basic_treasury_gdp_small_1	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_3	wh3_dlc29_economic_green_basic_treasury_gdp_small_2	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_economic_green_basic_treasury_gdp_large_1	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_economic_green_basic_treasury_gdp_large_2	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_economic_green_basic_treasury_gdp_large_3	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_economic_green_basic_treasury_gdp_small_1	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_economic_green_basic_treasury_gdp_small_2	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_economic_green_basic_treasury_gdp_small_3	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_green_basic_treasury_gdp_large_1	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_green_basic_treasury_gdp_large_2	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_green_basic_treasury_gdp_large_3	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_green_basic_treasury_gdp_large_4	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_green_basic_treasury_gdp_small_1	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_green_basic_treasury_gdp_small_2	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_green_basic_treasury_gdp_small_3	true
wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_green_basic_treasury_gdp_small_4	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_2	wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_2	wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_3	wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_3	wh3_dlc29_economic_green_basic_warpstone_gdp_large_2	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_3	wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_3	wh3_dlc29_economic_green_basic_warpstone_gdp_small_2	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_economic_green_basic_warpstone_gdp_large_2	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_economic_green_basic_warpstone_gdp_large_3	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_economic_green_basic_warpstone_gdp_small_2	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_economic_green_basic_warpstone_gdp_small_3	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_green_basic_warpstone_gdp_large_1	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_green_basic_warpstone_gdp_large_2	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_green_basic_warpstone_gdp_large_3	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_green_basic_warpstone_gdp_large_4	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_green_basic_warpstone_gdp_small_1	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_green_basic_warpstone_gdp_small_2	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_green_basic_warpstone_gdp_small_3	true
wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_green_basic_warpstone_gdp_small_4	true
wh3_dlc29_economic_upgrade_eshin_all_2	wh3_dlc29_economic_green_eshin_all_1	true
wh3_dlc29_economic_upgrade_eshin_all_3	wh3_dlc29_economic_green_eshin_all_2	true
wh3_dlc29_economic_upgrade_grey_seer_treasury_large_2	wh3_dlc29_economic_green_grey_seer_treasury_large_1	true
wh3_dlc29_economic_upgrade_grey_seer_treasury_large_3	wh3_dlc29_economic_green_grey_seer_treasury_large_2	true
wh3_dlc29_economic_upgrade_rictus_warpstone_2	wh3_dlc29_economic_green_rictus_warpstone_1	true
wh3_dlc29_economic_upgrade_rictus_warpstone_3	wh3_dlc29_economic_green_rictus_warpstone_2	true
wh3_dlc29_economic_upgrade_skryre_treasury_2	wh3_dlc29_economic_green_skryre_treasury_1	true
wh3_dlc29_economic_upgrade_skryre_treasury_3	wh3_dlc29_economic_green_skryre_treasury_2	true
wh3_dlc29_economic_upgrade_skryre_warpstone_2	wh3_dlc29_economic_green_skryre_warpstone_1	true
wh3_dlc29_economic_upgrade_skryre_warpstone_3	wh3_dlc29_economic_green_skryre_warpstone_2	true
wh3_dlc29_economy_mod_pool_basic_treasury_mid_1	wh3_dlc29_economic_green_basic_treasury_small_1	true
