battle	ownership_content_pack
#battle_ownership_content_pack_junctions_tables;0;db/battle_ownership_content_pack_junctions_tables/data__	
qb_wh3_dlc20_chs_altar_of_battle	wh3_dlc20_champions
qb_wh_dlc03_shadow_forest	wh1_beastmen
qb_wh_dlc04_altdorf_outskirt	wh1_lords_and_units_1
qb_wh_dlc04_excavation_site	wh1_lords_and_units_1
qb_wh_dlc04_mordheim_ruin	wh1_lords_and_units_1
qb_wh_dlc04_ostermark	wh1_lords_and_units_1
qb_wh_dlc04_warpstone_mine	wh1_lords_and_units_1
qb_wh_dlc05_wef_battle_of_the_cairns	wh1_wood_elves
qb_wh_dlc05_wef_essence_of_chaos	wh1_wood_elves
qb_wh_dlc05_wef_night_glens	wh1_wood_elves
qb_wh_dlc05_wef_silver_spire	wh1_wood_elves
qb_wh_dlc05_wef_spear_of_kurnous	wh1_wood_elves
qb_wh_dlc05_wef_the_ashenhall	wh1_wood_elves
qb_wh_main_ancient_dragon_cave	wh1_base_game
qb_wh_main_barrier_idols_v2	wh1_base_game
qb_wh_main_barrier_idols	wh1_base_game
qb_wh_main_black_fire_pass	wh1_base_game
qb_wh_main_blackfire_pass_v2	wh1_base_game
qb_wh_main_bloodpine_woods_ambush	wh1_base_game
qb_wh_main_bloodpine_woods	wh1_base_game
qb_wh_main_broken_leg_gully_ambush	wh1_base_game
qb_wh_main_broken_leg_gully	wh1_base_game
qb_wh_main_burial_mound_of_grudsnik	wh1_base_game
qb_wh_main_central_chaos_wastes	wh1_base_game
qb_wh_main_cliff_of_beasts	wh1_base_game
qb_wh_main_death_pass	wh1_base_game
qb_wh_main_estalian_tomb	wh1_base_game
qb_wh_main_fall_of_man	wh1_base_game
qb_wh_main_glacial_lake	wh1_base_game
qb_wh_main_golden_monolith	wh1_base_game
qb_wh_main_grimminhagen_classic	wh1_base_game
qb_wh_main_grimminhagen	wh1_base_game
qb_wh_main_halls_of_karak_azul	wh1_base_game
qb_wh_main_hel_fenn_ambush	wh1_base_game
qb_wh_main_hel_fenn	wh1_base_game
qb_wh_main_high_pass	wh1_base_game
qb_wh_main_kelp_and_koldust	wh1_base_game
qb_wh_main_la_maisontaal_abbey	wh1_base_game
qb_wh_main_leitziger_ford	wh1_base_game
qb_wh_main_lost_vault_of_king_lunn	wh1_base_game
qb_wh_main_marbads_tomb_ambush	wh1_base_game
qb_wh_main_marbads_tomb	wh1_base_game
qb_wh_main_mushroom_cave	wh1_base_game
qb_wh_main_northern_chaos_wastes	wh1_base_game
qb_wh_main_pillar_of_bone	wh1_base_game
qb_wh_main_shrine_of_ill_omen	wh1_base_game
qb_wh_main_southern_chaos_wastes	wh1_base_game
qb_wh_main_stir_river	wh1_base_game
qb_wh_main_threat_from_the_north	wh1_base_game
qb_wh_main_todtheim	wh1_base_game
qb_wh_main_troll_country	wh1_base_game
wh2_main_chokepoint_badlands_chasm	wh2_base_game
wh2_main_chokepoint_badlands_mountain_pass	wh2_base_game
wh2_main_chokepoint_badlands_river_b	wh2_base_game
wh2_main_chokepoint_badlands_river	wh2_base_game
wh2_main_chokepoint_blood_river_valley_river	wh2_base_game
wh2_main_chokepoint_def_chasm_b	wh2_base_game
wh2_main_chokepoint_def_chasm	wh2_base_game
wh2_main_chokepoint_def_grassland_river	wh2_base_game
wh2_main_chokepoint_generic_mountain_pass	wh2_base_game
wh2_main_chokepoint_grassland_river_b	wh2_base_game
wh2_main_chokepoint_grassland_river	wh2_base_game
wh2_main_chokepoint_lzd_lustria_mountain_pass	wh2_base_game
wh2_main_chokepoint_lzd_lustria_river_b	wh2_base_game
wh2_main_chokepoint_lzd_river_a	wh2_base_game
wh2_main_chokepoint_norsca_chasm	wh2_base_game
wh2_main_chokepoint_norsca_river	wh2_base_game
wh2_main_chokepoint_northern_mountain_pass	wh2_base_game
wh2_main_chokepoint_northern_river_b	wh2_base_game
wh2_main_chokepoint_northern_river	wh2_base_game
wh2_main_chokepoint_southland_chasm	wh2_base_game
wh2_main_chokepoint_southland_mountain_pass	wh2_base_game
wh2_main_chokepoint_southland_river_b	wh2_base_game
wh2_main_chokepoint_southland_river	wh2_base_game
wh2_main_chokepoint_sylvania_river	wh2_base_game
wh2_main_chokepoint_ult_forest_river	wh2_base_game
wh2_main_chokepoint_ult_grassland_river	wh2_base_game
wh2_main_chokepoint_ult_plains_river	wh2_base_game
wh2_main_ffa_troll_country	wh2_base_game
wh2_main_minor_settlement_fortress_gates	wh2_base_game
wh2_main_subterranean_a_skv	wh2_base_game
wh2_main_subterranean_b_skv	wh2_base_game
wh2_main_subterranean_c_skv	wh2_base_game
wh2_main_unfortified_def_a	wh2_base_game
wh2_main_unfortified_def_b	wh2_base_game
wh2_main_unfortified_def_c	wh2_base_game
wh2_main_unfortified_def_d	wh2_base_game
wh2_main_unfortified_hef_a	wh2_base_game
wh2_main_unfortified_hef_b	wh2_base_game
wh2_main_unfortified_hef_c	wh2_base_game
wh2_main_unfortified_hef_d	wh2_base_game
wh2_main_unfortified_lzd_a	wh2_base_game
wh2_main_unfortified_lzd_b	wh2_base_game
wh2_main_unfortified_lzd_c	wh2_base_game
wh2_main_unfortified_lzd_d	wh2_base_game
wh2_main_unfortified_skv_a	wh2_base_game
wh2_main_unfortified_skv_b	wh2_base_game
wh2_main_unfortified_skv_c	wh2_base_game
wh2_pro05_mp_steps_of_isha_01	wh2_mwnl_18_free
wh2_pro05_mp_steps_of_isha_02	wh2_mwnl_18_free
wh2_pro05_mp_steps_of_isha_03	wh2_mwnl_18_free
wh2_pro05_mp_steps_of_isha_04	wh2_mwnl_18_free
wh_dlc03_bst_beast_ambush_01	wh1_beastmen
wh_dlc03_bst_beast_ambush_02	wh1_beastmen
wh_dlc03_bst_beast_ambush_03	wh1_beastmen
wh_dlc03_bst_beast_path_01	wh1_beastmen
wh_dlc03_bst_beast_path_02	wh1_beastmen
wh_dlc03_bst_beast_path_03	wh1_beastmen
wh_dlc05_wef_forest_path_a	wh1_wood_elves
wh_dlc05_wef_forest_path_b	wh1_wood_elves
wh_dlc05_wef_settlement_hill_a	wh1_wood_elves
wh_dlc05_wef_settlement_hill_b	wh1_wood_elves
wh_dlc05_wef_settlement_hill_d	wh1_wood_elves
wh_dlc05_wef_settlement_hill_f	wh1_wood_elves
wh_dlc05_wef_settlement_hill_g	wh1_wood_elves
wh_main_dwarfs_intro	wh1_base_game
wh_main_empire_intro	wh1_base_game
wh_main_greenskins_intro	wh1_base_game
wh_main_mp_bjornlings_gathering	wh1_base_game
wh_main_mp_castle_drakenhof	wh1_base_game
wh_main_mp_dok_karaz	wh1_base_game
wh_main_mp_eschen	wh1_base_game
wh_main_mp_galbaraz	wh1_base_game
wh_main_mp_gor_gazan	wh1_base_game
wh_main_mp_karag_dron	wh1_base_game
wh_main_mp_karak_azgal	wh1_base_game
wh_main_mp_karak_bhufdar	wh1_base_game
wh_main_mp_karak_ungor	wh1_base_game
wh_main_mp_languille	wh1_base_game
wh_main_mp_norden	wh1_base_game
wh_main_mp_oakenhammer	wh1_base_game
wh_main_mp_praag	wh1_base_game
wh_main_mp_schwartzhafen	wh1_base_game
wh_main_mp_volksgrad	wh1_base_game
wh_main_mp_waldenhof	wh1_base_game
wh_main_subterranean_a	wh1_base_game
wh_main_subterranean_b	wh1_base_game
wh_main_subterranean_c	wh1_base_game
wh_main_subterranean_d	wh1_base_game
wh_main_subterranean_e	wh1_base_game
wh_main_vampire_counts_intro	wh1_base_game
