faction	pooled_resource	acquisition_vo_event	resource_group	max_value_idle_awareness_dialogue_event	max_reached_dialogue_event
#audio_campaign_pooled_resource_sounds_tables;3;db/audio_campaign_pooled_resource_sounds_tables/data__					
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_1a	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_1a	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_1b	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_1b	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_2a	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_2a	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_2b	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_2b	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_3a	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_3a	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_3b	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_3b	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_4a	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_4a	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_4b	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_4b	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_5a	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_5a	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_5b	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_5b	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_6a	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_6a	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_6b	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_6b	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_7a	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_7a	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_7b	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_7b	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_8a	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_8a	wh2_dlc17_thorek_artefacts		
wh2_dlc17_dwf_thorek_ironbrow	dwf_thorek_artifact_part_8b	Play_wh2_dlc17_dwf_thorek_ironbrow_receive_artefact_part_8b	wh2_dlc17_thorek_artefacts		
wh3_dlc26_grn_gorbad_ironclaw	grn_waaagh				campaign_vo_cs_grn_waaagh_ready
