corruption	one_shot	type
#audio_battle_environment_corruption_one_shot_junctions_tables;0;db/audio_battle_environment_corruption_one_shot_junctions_tables/data__		
khorne	WH3_Faction_Khorne_Primary_Oneshot_Flame_Burst	main
khorne	WH3_Faction_Khorne_Primary_Oneshot_Volcano_Explosion	main
khorne	WH3_Faction_Khorne_Wildlife_Oneshot_Giant_Spider	main
khorne	WH3_Faction_Khorne_Wildlife_Oneshot_Pig	main
khorne	WH3_Faction_Khorne_Wildlife_Oneshot_Vulture_A	main
khorne	WH3_Faction_Khorne_Wildlife_Oneshot_Vulture_B	main
nurgle	WH3_Faction_Nurgle_Oneshot_Creature	main
nurgle	WH3_Faction_Nurgle_Oneshot_Creature_Creak	main
nurgle	WH3_Faction_Nurgle_Oneshot_Distant_Explosion	main
nurgle	WH3_Faction_Nurgle_Oneshot_Steam_Bubble	main
nurgle	WH3_Faction_Nurgle_Wildlife_Oneshot_Flies	main
nurgle	WH3_Faction_Nurgle_Wildlife_Oneshot_Insects	main
slaanesh	WH3_Faction_Slaanesh_Primary_Oneshot_Damned_Souls	main
slaanesh	WH3_Faction_Slaanesh_Primary_Oneshot_Screams	main
slaanesh	WH3_Faction_Slaanesh_Primary_Oneshot_Whispers	main
slaanesh	WH3_Faction_Slaanesh_Wildlife_Oneshot_Giant_Crab	main
slaanesh	WH3_Faction_Slaanesh_Wildlife_Oneshot_Lizard_Bird	main
tzeentch	WH3_Faction_Tzeentch_Forest_Oneshot_Crows_A	main
tzeentch	WH3_Faction_Tzeentch_Primary_Oneshot_Crystal_Glass	main
tzeentch	WH3_Faction_Tzeentch_Primary_Oneshot_Light_Tones	main
tzeentch	WH3_Faction_Tzeentch_Primary_Oneshot_Magic_Wind	main
tzeentch	WH3_Faction_Tzeentch_Wildlife_Oneshot_Alien_Bird	main
tzeentch	WH3_Faction_Tzeentch_Wildlife_Oneshot_Raven	main
