key	type	colour_hex
#campaign_map_event_areas_tables;0;db/campaign_map_event_areas_tables/data__		
_empty	devastation_chasm	000000
wh3_dlc20_combi_province_frigid_wasteland_crater	devastation_crater	B8FDA6
wh3_dlc20_combi_province_middle_mountains_chasm	devastation_chasm	5C595A
wh3_dlc29_combi_province_east_mountains_of_heaven_chasm	devastation_chasm	FBEEDA
wh3_dlc29_combi_province_kraken_coast_crater	devastation_crater	28B400
wh3_dlc29_combi_province_west_mountains_of_heaven_chasm	devastation_chasm	FD7CFF
wh3_main_combi_province_albion_crater	devastation_crater	2FFF2F
wh3_main_combi_province_ancient_giant_lands_fire	devastation_fire	F73A00
wh3_main_combi_province_ashen_coast_chasm	devastation_chasm	F3EBE5
wh3_main_combi_province_atalan_mountains_chasm	devastation_chasm	231C44
wh3_main_combi_province_avelorn_chasm	devastation_chasm	1B9602
wh3_main_combi_province_averland_fire	devastation_fire	9E4D12
wh3_main_combi_province_aymara_swamps_crater	devastation_crater	2A522A
wh3_main_combi_province_barrier_idols_chasm	devastation_chasm	FF60FF
wh3_main_combi_province_barrows_of_cuileux_crater	devastation_crater	4DA76E
wh3_main_combi_province_bastonne_chasm	devastation_chasm	F0E6F0
wh3_main_combi_province_black_blood_pass_chasm	devastation_chasm	141213
wh3_main_combi_province_black_mountains_fire	devastation_fire	EA2817
wh3_main_combi_province_black_water_chasm	devastation_chasm	FFAAFF
wh3_main_combi_province_blightwater_crater	devastation_crater	64EDFF
wh3_main_combi_province_blood_river_valley_crater	devastation_crater	3CAA2A
wh3_main_combi_province_bloodfire_falls_fire	devastation_fire	FF8856
wh3_main_combi_province_bone_road_fire	devastation_fire	F7FF17
wh3_main_combi_province_broken_lands_of_tian_li_chasm	devastation_chasm	000729
wh3_main_combi_province_broken_teeth_crater	devastation_crater	1033DA
wh3_main_combi_province_caledor_fire	devastation_fire	66960A
wh3_main_combi_province_carcassonne_crater	devastation_crater	1215A3
wh3_main_combi_province_cathayan_hinterlands_chasm	devastation_chasm	FBEAEA
wh3_main_combi_province_celestial_lake_fire	devastation_fire	D82400
wh3_main_combi_province_celestial_riverlands_crater	devastation_crater	00D200
wh3_main_combi_province_central_great_bastion_crater	devastation_crater	0E05FF
wh3_main_combi_province_central_jungles_fire	devastation_fire	AE2613
wh3_main_combi_province_chimera_plateau_crater	devastation_crater	54924D
wh3_main_combi_province_chrace_chasm	devastation_chasm	1D8CFD
wh3_main_combi_province_coast_of_araby_crater	devastation_crater	BAEC31
wh3_main_combi_province_coast_of_lyonesse_crater	devastation_crater	4DD86E
wh3_main_combi_province_copper_desert_fire	devastation_fire	FF4C17
wh3_main_combi_province_cothique_chasm	devastation_chasm	291FED
wh3_main_combi_province_crater_of_the_waking_dead_chasm	devastation_chasm	EEF7FF
wh3_main_combi_province_culchan_plains_crater	devastation_crater	62BC62
wh3_main_combi_province_dawns_landing_crater	devastation_crater	3C94DE
wh3_main_combi_province_deadrock_gap_chasm	devastation_chasm	E67BF7
wh3_main_combi_province_deadwood_crater	devastation_crater	67CC4C
wh3_main_combi_province_death_pass_fire	devastation_fire	D38B20
wh3_main_combi_province_devils_backbone_fire	devastation_fire	ECCE3D
wh3_main_combi_province_doom_glades_fire	devastation_fire	C53320
wh3_main_combi_province_eagle_gate_fire	devastation_fire	50290C
wh3_main_combi_province_eastern_badlands_crater	devastation_crater	38FF2C
wh3_main_combi_province_eastern_border_princes_fire	devastation_fire	EDC028
wh3_main_combi_province_eastern_colonies_crater	devastation_crater	36FF7A
wh3_main_combi_province_eastern_great_bastion_crater	devastation_crater	1AE9FF
wh3_main_combi_province_eastern_oblast_chasm	devastation_chasm	FBFFD6
wh3_main_combi_province_eastern_steppes_chasm	devastation_chasm	3E3E42
wh3_main_combi_province_eataine_fire	devastation_fire	96960B
wh3_main_combi_province_eight_peaks_crater	devastation_crater	19AAB3
wh3_main_combi_province_ellyrion_chasm	devastation_chasm	B474F7
wh3_main_combi_province_estalia_crater	devastation_crater	20B9FF
wh3_main_combi_province_forest_of_arden_fire	devastation_fire	B78E10
wh3_main_combi_province_forest_of_chalons_fire	devastation_fire	FDD14F
wh3_main_combi_province_forest_of_gloom_fire	devastation_fire	FEA81F
wh3_main_combi_province_forests_of_the_moon_fire	devastation_fire	FFC546
wh3_main_combi_province_gash_kadrak_crater	devastation_crater	52C800
wh3_main_combi_province_gianthome_mountains_chasm	devastation_chasm	6F6F70
wh3_main_combi_province_gnoblar_country_crater	devastation_crater	C2FF7D
wh3_main_combi_province_goromadny_mountains_crater	devastation_crater	00A562
wh3_main_combi_province_granite_hills_chasm	devastation_chasm	363B3E
wh3_main_combi_province_great_desert_of_araby_chasm	devastation_chasm	DC99FF
wh3_main_combi_province_great_mortis_delta_chasm	devastation_chasm	9800DA
wh3_main_combi_province_griffon_gate_fire	devastation_fire	FFF96E
wh3_main_combi_province_gryphon_wood_fire	devastation_fire	FFDF54
wh3_main_combi_province_gunpowder_road_crater	devastation_crater	119300
wh3_main_combi_province_headhunters_jungle_chasm	devastation_chasm	C3C3C3
wh3_main_combi_province_heart_of_the_jungle_fire	devastation_fire	FFF958
wh3_main_combi_province_helspire_mountains_crater	devastation_crater	0006DC
wh3_main_combi_province_hochland_crater	devastation_crater	2EBE5A
wh3_main_combi_province_ice_tooth_mountains_crater	devastation_crater	38E8FF
wh3_main_combi_province_imperial_road_crater	devastation_crater	006E49
wh3_main_combi_province_iron_coast_crater	devastation_crater	53E5D1
wh3_main_combi_province_iron_foothills_chasm	devastation_chasm	7D878F
wh3_main_combi_province_iron_mountains_fire	devastation_fire	FFF36E
wh3_main_combi_province_ironfrost_glacier_crater	devastation_crater	1C8346
wh3_main_combi_province_ironsand_desert_chasm	devastation_chasm	969A9D
wh3_main_combi_province_irrana_mountains_crater	devastation_crater	1C9D31
wh3_main_combi_province_isthmus_of_lustria_crater	devastation_crater	326B23
wh3_main_combi_province_ivory_road_chasm	devastation_chasm	ECEBF7
wh3_main_combi_province_jade_river_delta_crater	devastation_crater	1C31D2
wh3_main_combi_province_jungles_of_chian_fire	devastation_fire	E88F00
wh3_main_combi_province_jungles_of_green_mist_fire	devastation_fire	FF6C44
wh3_main_combi_province_jungles_of_pahualaxa_crater	devastation_crater	55EA55
wh3_main_combi_province_kdatha_fire	devastation_fire	FFED47
wh3_main_combi_province_kingdom_of_beasts_fire	devastation_fire	F4483D
wh3_main_combi_province_land_of_assassins_crater	devastation_crater	007707
wh3_main_combi_province_land_of_the_dead_chasm	devastation_chasm	443E44
wh3_main_combi_province_land_of_the_dervishes_chasm	devastation_chasm	A8A4A8
wh3_main_combi_province_lands_of_stone_and_steel_crater	devastation_crater	7AFF3F
wh3_main_combi_province_marches_of_couronne_chasm	devastation_chasm	B1A8A6
wh3_main_combi_province_marshes_of_madness_crater	devastation_crater	00AA21
wh3_main_combi_province_middenland_fire	devastation_fire	FEA820
wh3_main_combi_province_mootland_crater	devastation_crater	12E353
wh3_main_combi_province_mosquito_swamps_chasm	devastation_chasm	444444
wh3_main_combi_province_mount_li_crater	devastation_crater	70F500
wh3_main_combi_province_mountains_end_chasm	devastation_chasm	E66FDC
wh3_main_combi_province_mountains_of_hel_fire	devastation_fire	D07B28
wh3_main_combi_province_mountains_of_mourn_fire	devastation_fire	FFC46A
wh3_main_combi_province_mountains_of_naglfari_fire	devastation_fire	FECE0E
wh3_main_combi_province_mouth_of_ruin_fire	devastation_fire	8E3B17
wh3_main_combi_province_nagarythe_chasm	devastation_chasm	1DF9EF
wh3_main_combi_province_nongchang_basin_crater	devastation_crater	71EEFF
wh3_main_combi_province_nordland_crater	devastation_crater	4ABEC5
wh3_main_combi_province_northern_grey_mountains_chasm	devastation_chasm	F430F2
wh3_main_combi_province_northern_sylvania_crater	devastation_crater	2561B3
wh3_main_combi_province_northern_wastes_fire	devastation_fire	AA6800
wh3_main_combi_province_northern_worlds_edge_mountains_chasm	devastation_chasm	838479
wh3_main_combi_province_northern_yvresse_fire	devastation_fire	B4650A
wh3_main_combi_province_obsidian_peaks_crater	devastation_crater	80E5AD
wh3_main_combi_province_ostermark_fire	devastation_fire	95653A
wh3_main_combi_province_ostland_chasm	devastation_chasm	F6E8ED
wh3_main_combi_province_path_to_the_east_chasm	devastation_chasm	FBE1EA
wh3_main_combi_province_peak_pass_chasm	devastation_chasm	0C0D06
wh3_main_combi_province_phoenix_gate_fire	devastation_fire	9CD65D
wh3_main_combi_province_pirates_current_crater	devastation_crater	A4E512
wh3_main_combi_province_plain_of_illusions_crater	devastation_crater	46AFE8
wh3_main_combi_province_plains_of_xen_crater	devastation_crater	00FB79
wh3_main_combi_province_red_desert_fire	devastation_fire	A88B3C
wh3_main_combi_province_reikland_crater	devastation_crater	38A019
wh3_main_combi_province_rib_peaks_chasm	devastation_chasm	DCDBDC
wh3_main_combi_province_river_brienne_crater	devastation_crater	3BFAFF
wh3_main_combi_province_river_lynsk_fire	devastation_fire	FE800E
wh3_main_combi_province_river_qurveza_crater	devastation_crater	0EF00E
wh3_main_combi_province_river_urskoy_crater	devastation_crater	90A9FF
wh3_main_combi_province_saphery_chasm	devastation_chasm	9A9C99
wh3_main_combi_province_scorpion_coast_crater	devastation_crater	A0FFA0
wh3_main_combi_province_serpent_estuary_fire	devastation_fire	F70040
wh3_main_combi_province_shifting_sands_chasm	devastation_chasm	E2DFE2
wh3_main_combi_province_solland_crater	devastation_crater	2CAA61
wh3_main_combi_province_southern_badlands_fire	devastation_fire	FDFF3D
wh3_main_combi_province_southern_grey_mountains_crater	devastation_crater	8FFF12
wh3_main_combi_province_southern_jungles_fire	devastation_fire	FF3636
wh3_main_combi_province_southern_oblast_crater	devastation_crater	1C49B9
wh3_main_combi_province_southern_sylvania_crater	devastation_crater	90B719
wh3_main_combi_province_southern_worlds_edge_mountains_fire	devastation_fire	FA3B17
wh3_main_combi_province_southern_yvresse_fire	devastation_fire	C82918
wh3_main_combi_province_southlands_worlds_edge_mountains_chasm	devastation_chasm	B751F4
wh3_main_combi_province_spine_of_sotek_chasm	devastation_chasm	4C4C4C
wh3_main_combi_province_spiteful_peaks_chasm	devastation_chasm	F1F1D7
wh3_main_combi_province_stirland_fire	devastation_fire	E38D00
wh3_main_combi_province_stonesky_foothills_fire	devastation_fire	E6F645
wh3_main_combi_province_talabecland_fire	devastation_fire	FF3E37
wh3_main_combi_province_the_abyssal_glacier_fire	devastation_fire	FFFC04
wh3_main_combi_province_the_black_flood_fire	devastation_fire	E36538
wh3_main_combi_province_the_blasted_wastes_crater	devastation_crater	31FF59
wh3_main_combi_province_the_bleak_coast_crater	devastation_crater	32C823
wh3_main_combi_province_the_blighted_marshes_crater	devastation_crater	2FFF50
wh3_main_combi_province_the_blood_marshes_chasm	devastation_chasm	FF8BFA
wh3_main_combi_province_the_broken_lands_crater	devastation_crater	117108
wh3_main_combi_province_the_capes_chasm	devastation_chasm	FFFFFF
wh3_main_combi_province_the_clawed_coast_chasm	devastation_chasm	E9EEF2
wh3_main_combi_province_the_cold_mires_crater	devastation_crater	07FF46
wh3_main_combi_province_the_cracked_land_chasm	devastation_chasm	F3E8F3
wh3_main_combi_province_the_creeping_jungle_chasm	devastation_chasm	BBB3AD
wh3_main_combi_province_the_cursed_city_crater	devastation_crater	17D85A
wh3_main_combi_province_the_daemonium_hills_fire	devastation_fire	840C13
wh3_main_combi_province_the_desolation_of_azgorh_crater	devastation_crater	007800
wh3_main_combi_province_the_dragon_isles_crater	devastation_crater	00BED4
wh3_main_combi_province_the_eternal_lagoon_chasm	devastation_chasm	BCC2C6
wh3_main_combi_province_the_golden_pass_fire	devastation_fire	E38331
wh3_main_combi_province_the_great_canal_fire	devastation_fire	FFFA2C
wh3_main_combi_province_the_gwangee_valley_fire	devastation_fire	FFA545
wh3_main_combi_province_the_haunted_forest_crater	devastation_crater	007807
wh3_main_combi_province_the_howling_wastes_crater	devastation_crater	30FF76
wh3_main_combi_province_the_ice_fire_plains_chasm	devastation_chasm	0E0C10
