unit	unit_group
#unit_to_unit_group_junctions_tables;0;db/unit_to_unit_group_junctions_tables/data__	
wh3_dlc20_chs_cav_chaos_chariot_mkho	wh3_dlc20_chs_chariot_kho
wh3_dlc20_chs_cav_chaos_chariot_mnur	wh3_dlc20_chs_chariot_nur
wh3_dlc20_chs_cav_chaos_chariot_msla	wh3_dlc20_chs_chariot_sla
wh3_dlc20_chs_cav_chaos_chariot_mtze	wh3_dlc20_chs_chariot_tze
wh3_dlc20_chs_cav_chaos_knights_mkho_lances	wh3_dlc20_chs_knights_kho
wh3_dlc20_chs_cav_chaos_knights_mkho	wh3_dlc20_chs_knights_kho
wh3_dlc20_chs_cav_chaos_knights_mnur_lances	wh3_dlc20_chs_knights_nur
wh3_dlc20_chs_cav_chaos_knights_mnur	wh3_dlc20_chs_knights_nur
wh3_dlc20_chs_cav_chaos_knights_msla_lances	wh3_dlc20_chs_knights_sla
wh3_dlc20_chs_cav_chaos_knights_msla	wh3_dlc20_chs_knights_sla
wh3_dlc20_chs_cav_chaos_knights_mtze_lances	wh3_dlc20_chs_knights_tze
wh3_dlc20_chs_cav_marauder_horsemen_mkho_throwing_axes	wh3_dlc20_chs_marauder_horsemen_kho
wh3_dlc20_chs_cav_marauder_horsemen_mnur_throwing_axes	wh3_dlc20_chs_marauder_horsemen_nur
wh3_dlc20_chs_cav_marauder_horsemen_msla_javelins	wh3_dlc20_chs_marauder_horsemen_sla
wh3_dlc20_chs_cav_marauder_horsemen_mtze_javelins	wh3_dlc20_chs_marauder_horsemen_tze
wh3_dlc20_chs_inf_chaos_marauders_mkho_dualweapons	wh3_dlc20_chs_marauder_inf_kho
wh3_dlc20_chs_inf_chaos_marauders_mkho	wh3_dlc20_chs_marauder_inf_kho
wh3_dlc20_chs_inf_chaos_marauders_mnur_greatweapons	wh3_dlc20_chs_marauder_inf_nur
wh3_dlc20_chs_inf_chaos_marauders_mnur	wh3_dlc20_chs_marauder_inf_nur
wh3_dlc20_chs_inf_chaos_marauders_msla_hellscourges	wh3_dlc20_chs_marauder_inf_sla
wh3_dlc20_chs_inf_chaos_marauders_msla	wh3_dlc20_chs_marauder_inf_sla
wh3_dlc20_chs_inf_chaos_marauders_mtze_spears	wh3_dlc20_chs_marauder_inf_tze
wh3_dlc20_chs_inf_chaos_marauders_mtze	wh3_dlc20_chs_marauder_inf_tze
wh3_dlc20_chs_inf_chaos_warriors_mnur_greatweapons	wh3_dlc20_chs_warriors_nur
wh3_dlc20_chs_inf_chaos_warriors_mnur	wh3_dlc20_chs_warriors_nur
wh3_dlc20_chs_inf_chaos_warriors_msla_hellscourges	wh3_dlc20_chs_warriors_sla
wh3_dlc20_chs_inf_chaos_warriors_msla	wh3_dlc20_chs_warriors_sla
wh3_dlc20_chs_inf_chaos_warriors_mtze_halberds	wh3_dlc20_chs_warriors_tze
wh3_dlc20_chs_inf_chaos_warriors_mtze	wh3_dlc20_chs_warriors_tze
wh3_dlc20_chs_inf_chosen_mkho_dualweapons	wh3_dlc20_chs_chosen_kho
wh3_dlc20_chs_inf_chosen_mkho	wh3_dlc20_chs_chosen_kho
wh3_dlc20_chs_inf_chosen_mnur_greatweapons	wh3_dlc20_chs_chosen_nur
wh3_dlc20_chs_inf_chosen_mnur	wh3_dlc20_chs_chosen_nur
wh3_dlc20_chs_inf_chosen_msla_hellscourges	wh3_dlc20_chs_chosen_sla
wh3_dlc20_chs_inf_chosen_msla	wh3_dlc20_chs_chosen_sla
wh3_dlc20_chs_inf_chosen_mtze_halberds	wh3_dlc20_chs_chosen_tze
wh3_dlc20_chs_inf_chosen_mtze	wh3_dlc20_chs_chosen_tze
wh3_dlc20_chs_inf_forsaken_mkho	wh3_dlc20_chs_forsaken_kho
wh3_dlc20_chs_inf_forsaken_msla	wh3_dlc20_chs_forsaken_sla
wh3_dlc23_chd_veh_iron_daemon_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_1dreadquake
wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake	wh3_dlc23_chd_veh_iron_daemon_ror_1dreadquake
wh3_dlc23_chd_veh_iron_daemon_ror	wh3_dlc23_chd_veh_iron_daemon_ror
wh3_dlc23_chd_veh_iron_daemon	wh3_dlc23_chd_veh_iron_daemon
wh3_dlc23_chd_veh_skullcracker_1dreadquake	wh3_dlc23_chd_veh_skullcracker_1dreadquake
wh3_dlc23_chd_veh_skullcracker	wh3_dlc23_chd_veh_skullcracker
wh3_main_kho_cav_gorebeast_chariot	wh3_dlc20_chs_gorebeast_chariot_kho
wh3_main_kho_cav_skullcrushers_0	wh3_dlc20_chs_skullcrushers
wh3_main_kho_inf_bloodletters_0	wh3_main_chs_bloodletters
wh3_main_kho_inf_bloodletters_1	wh3_main_chs_bloodletters_exalted
wh3_main_kho_inf_chaos_warriors_0	wh3_dlc20_chs_warriors_kho
wh3_main_kho_inf_chaos_warriors_1	wh3_dlc20_chs_warriors_kho
wh3_main_kho_inf_chaos_warriors_2	wh3_dlc20_chs_warriors_kho
wh3_main_kho_mon_spawn_of_khorne_0	wh3_dlc20_chs_spawn_kho
wh3_main_nur_inf_forsaken_0_warriors	wh3_dlc20_chs_forsaken_nur
wh3_main_nur_inf_plaguebearers_0	wh3_main_chs_plaguebearers
wh3_main_nur_inf_plaguebearers_1	wh3_main_chs_plaguebearers_exalted
wh3_main_nur_mon_spawn_of_nurgle_0_warriors	wh3_dlc20_chs_spawn_nur
wh3_main_sla_cav_hellstriders_0	wh3_dlc20_chs_hellstriders
wh3_main_sla_cav_hellstriders_1	wh3_dlc20_chs_hellstriders
wh3_main_sla_inf_daemonette_0	wh3_main_chs_daemonette
wh3_main_sla_inf_daemonette_1	wh3_main_chs_daemonette_exalted
wh3_main_sla_mon_spawn_of_slaanesh_0	wh3_dlc20_chs_spawn_sla
wh3_main_tze_cav_chaos_knights_0	wh3_dlc20_chs_knights_tze
wh3_main_tze_cav_doom_knights_0	wh3_dlc20_chs_doom_knights
wh3_main_tze_inf_forsaken_0	wh3_dlc20_chs_forsaken_tze
wh3_main_tze_inf_pink_horrors_0	wh3_main_chs_pink_horrors
wh3_main_tze_inf_pink_horrors_1	wh3_main_chs_pink_horrors_exalted
wh3_main_tze_mon_spawn_of_tzeentch_0	wh3_dlc20_chs_spawn_tze
wh_dlc01_chs_cav_gorebeast_chariot	wh3_dlc20_chs_gorebeast_chariot_und
wh_dlc01_chs_inf_chaos_warriors_2	wh3_dlc20_chs_warriors_und
wh_dlc01_chs_inf_chosen_2	wh3_dlc20_chs_chosen_und
wh_dlc01_chs_inf_forsaken_0	wh3_dlc20_chs_forsaken_und
wh_dlc01_chs_mon_trolls_1	wh3_dlc20_chs_trolls_armoured
wh_dlc06_chs_cav_marauder_horsemasters_0	wh3_dlc20_chs_marauder_horsemasters
wh_dlc06_chs_inf_aspiring_champions_0	wh3_dlc20_chs_aspiring_champions
wh_main_chs_cav_chaos_chariot	wh3_dlc20_chs_chariot_und
wh_main_chs_cav_chaos_knights_0	wh3_dlc20_chs_knights_und
wh_main_chs_cav_chaos_knights_1	wh3_dlc20_chs_knights_und
wh_main_chs_cav_marauder_horsemen_0	wh3_dlc20_chs_marauder_horsemen_und
wh_main_chs_cav_marauder_horsemen_1	wh3_dlc20_chs_marauder_horsemen_und
wh_main_chs_inf_chaos_marauders_0	wh3_dlc20_chs_marauder_inf_und
wh_main_chs_inf_chaos_marauders_1	wh3_dlc20_chs_marauder_inf_und
wh_main_chs_inf_chaos_warriors_0	wh3_dlc20_chs_warriors_und
wh_main_chs_inf_chaos_warriors_1	wh3_dlc20_chs_warriors_und
wh_main_chs_inf_chosen_0	wh3_dlc20_chs_chosen_und
wh_main_chs_inf_chosen_1	wh3_dlc20_chs_chosen_und
wh_main_chs_mon_chaos_spawn	wh3_dlc20_chs_spawn_und
wh_main_chs_mon_trolls	wh3_dlc20_chs_trolls
