ability_group	icon_path	special_edition_mask	sort_order	is_naval	button_name	sound_event	is_composite_group	unique_id	sound_switch	show_lore_icon	colour_hex
#special_ability_groups_tables;11;db/special_ability_groups_tables/data__											
wh2_dlc09_lore_nehekhara	UI\Battle UI\ability_icons\wh2_dlc09_lore_passive_the_restless_dead.png	0	20	false	lore_nehekhara	Play_WH_UI_Ability_Click_Generic_Light	false	545373688	Nehekhara	true	ED9525
wh2_dlc09_lore_nehekhara_upgraded	UI\Battle UI\ability_icons\wh2_dlc09_lore_passive_the_restless_dead.png	0	0	false	lore_nehekhara	Play_WH_UI_Ability_Click_Generic_Light	true	1964836888	Nehekhara	false	ED9525
wh2_dlc10_lore_alarielle	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_life	Play_WH_UI_Ability_Click_Generic_Life	true	94910569	Life	true	615B57
wh2_dlc11_lore_deep	UI\Battle UI\ability_icons\wh2_dlc11_lore_passive_kiss_of_the_deep.png	0	21	false	lore_deeps	Play_WH_UI_Ability_Click_Generic_Death	false	2089777850	Deep	true	02D4D4
wh2_dlc11_lore_deep_upgraded	UI\Battle UI\ability_icons\wh2_dlc11_lore_passive_kiss_of_the_deep.png	0	0	false	lore_deeps	Play_WH_UI_Ability_Click_Generic_Death	true	934182	Deep	false	02D4D4
wh2_dlc11_lore_noctilus	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_vampire	Play_WH_UI_Ability_Click_Generic_Vampire	true	1573556425	Vampires	true	615B57
wh2_dlc11_lore_vampire_pirates	UI\Battle UI\ability_icons\wh_main_lore_passive_the_curse_of_undeath.png	0	0	false	lore_vampire	Play_WH_UI_Ability_Click_Generic_Vampire	true	178111884	Vampires	true	770101
wh2_dlc11_vmp_lore_lahmian	UI\Battle UI\ability_icons\wh_main_lore_passive_the_curse_of_undeath.png	0	0	false	lore_vampire	Play_WH_UI_Ability_Click_Generic_Vampire	true	1632995308	Vampires	true	770101
wh2_dlc11_vmp_lore_necrarch	UI\Battle UI\ability_icons\wh_main_lore_passive_the_curse_of_undeath.png	0	0	false	lore_vampire	Play_WH_UI_Ability_Click_Generic_Vampire	true	382347300	Vampires	true	770101
wh2_dlc11_vmp_lore_von_carstein	UI\Battle UI\ability_icons\wh_main_lore_passive_the_curse_of_undeath.png	0	0	false	lore_vampire	Play_WH_UI_Ability_Click_Generic_Vampire	true	1962693064	Vampires	true	770101
wh2_dlc12_lore_lord_kroak	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	23	false	lore_kroak	Play_WH_UI_Ability_Click_Generic_Light	false	164727388		true	18F5C1
wh2_dlc14_lore_stealth	UI\Battle UI\ability_icons\wh2_dlc14_lore_passive_toxic_rain.png	0	18	false	lore_stealth	Play_WH_UI_Ability_Click_Generic_Light	false	675758294	Stealth	true	194217
wh2_dlc14_lore_stealth_upgraded	UI\Battle UI\ability_icons\wh2_dlc14_lore_passive_toxic_rain.png	0	0	false	lore_stealth	Play_WH_UI_Ability_Click_Generic_Light	true	1374744182	Stealth	false	194217
wh2_dlc15_lore_beasts_eagle	UI\Battle UI\ability_icons\wh_dlc03_lore_passive_wild_heart.png	0	0	false	lore_beasts	Play_WH_UI_Ability_Click_Generic_Beasts	true	1528160343	Beasts	true	FFB700
wh2_dlc16_lore_ariel	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	1020528107	Death	true	615B57
wh2_dlc16_lore_coeddil	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	1918736253	Death	true	615B57
wh2_dlc16_lore_spellweaver_dark	UI\Battle UI\ability_icons\wh2_dlc16_lore_passive_wrath_of_the_wood.png	0	0	false	lore_dark_magic	Play_WH_UI_Ability_Click_Generic_Light	true	460392543	Dark	true	871983
wh2_dlc16_lore_spellweaver_high	UI\Battle UI\ability_icons\wh2_dlc16_lore_passive_ancients_protection.png	0	0	false	lore_high_magic	Play_WH_UI_Ability_Click_Generic_Light	true	1177799408	High	true	00CFF6
wh2_dlc17_lore_malagor	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	2106115487	Death	true	615B57
wh2_dlc17_lore_oracle	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	189027043	Death	true	615B57
wh2_dlc17_lore_rune	UI\Battle UI\ability_icons\wh_dlc06_lord_passive_locus_of_power.png	0	25	false	lore_rune	Play_WH_UI_Ability_Click_Generic_Light	false	548623685		true	59A7FF
wh2_main_lore_dark_magic	UI\Battle UI\ability_icons\wh2_main_lore_passive_spiteful_conjuration.png	0	15	false	lore_dark_magic	Play_WH_UI_Ability_Click_Generic_Light	false	396685951	Dark	true	821BD1
wh2_main_lore_dark_magic_upgraded	UI\Battle UI\ability_icons\wh2_main_lore_passive_spiteful_conjuration.png	0	0	false	lore_dark_magic	Play_WH_UI_Ability_Click_Generic_Light	true	336675696	Dark	false	821BD1
wh2_main_lore_grey_seer_plague	UI\Battle UI\ability_icons\wh2_main_lore_passive_plague_rash.png	0	0	false	lore_plague	Play_WH_UI_Ability_Click_Generic_Light	true	2061255783	Plague	true	787D32
wh2_main_lore_grey_seer_ruin	UI\Battle UI\ability_icons\wh2_main_lore_passive_musk_of_fear.png	0	0	false	lore_ruin	Play_WH_UI_Ability_Click_Generic_Light	true	1567499348	Ruin	true	FFFFFF
wh2_main_lore_high_magic	UI\Battle UI\ability_icons\wh2_main_lore_passive_shield_of_saphery.png	0	14	false	lore_high_magic	Play_WH_UI_Ability_Click_Generic_Light	false	2132876562	High	true	00CFF6
wh2_main_lore_high_magic_upgraded	UI\Battle UI\ability_icons\wh2_main_lore_passive_shield_of_saphery.png	0	0	false	lore_high_magic	Play_WH_UI_Ability_Click_Generic_Light	true	727342779	High	false	00CFF6
wh2_main_lore_loremaster	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	1752212587	Death	true	615B57
wh2_main_lore_morathi	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	1727230135	Death	true	615B57
wh2_main_lore_plague	UI\Battle UI\ability_icons\wh2_main_lore_passive_plague_rash.png	0	17	false	lore_plague	Play_WH_UI_Ability_Click_Generic_Light	false	1587412977	Plague	true	787D32
wh2_main_lore_plague_upgraded	UI\Battle UI\ability_icons\wh2_main_lore_passive_plague_rash.png	0	0	false	lore_plague	Play_WH_UI_Ability_Click_Generic_Light	true	1885113160	Plague	false	787D32
wh2_main_lore_ruin	UI\Battle UI\ability_icons\wh2_main_lore_passive_musk_of_fear.png	0	16	false	lore_ruin	Play_WH_UI_Ability_Click_Generic_Light	false	747557618	Ruin	true	C78F43
wh2_main_lore_ruin_upgraded	UI\Battle UI\ability_icons\wh2_main_lore_passive_musk_of_fear.png	0	0	false	lore_ruin	Play_WH_UI_Ability_Click_Generic_Light	true	1372424876	Ruin	false	C78F43
wh2_main_lore_skink_priest_avatar	UI\Battle UI\ability_icons\wh_main_lore_passive_roiling_skies.png	0	0	false	lore_heavens	Play_WH_UI_Ability_Click_Generic_Heavens	true	2125001149	Heavens	true	1D86B2
wh2_main_lore_slann	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	21056154	Death	true	615B57
wh2_main_lore_slann_generic	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	1797524386	Death	true	615B57
wh2_main_lore_teclis	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	120937195	Death	true	615B57
wh3_dlc20_lore_archaon	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_fire	Play_WH_UI_Ability_Click_Generic_Light	true	1658642678	Fire	true	D35F12
wh3_dlc20_lore_daemon_prince_mnur	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_nurgle	Play_WH_UI_Ability_Click_Generic_Light	true	956938312	Nurgle	true	787D32
wh3_dlc20_lore_daemon_prince_msla	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_slaanesh	Play_WH_UI_Ability_Click_Generic_Fire	true	813297892	Slaanesh	true	871983
wh3_dlc20_lore_daemon_prince_mtze	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_tzeentch	Play_WH_UI_Ability_Click_Generic_Death	true	695191351	Tzeentch	true	1D86B2
wh3_dlc23_lore_astragoth	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	570871973	Death	true	615B57
wh3_dlc23_lore_hashut	UI\Battle UI\ability_icons\wh3_dlc23_lore_passive_killing_fire.png	0	26	false	lore_hashut	Play_WH_UI_Ability_Click_Generic_Fire	false	2073581655	Hashut	true	E51A4C
wh3_dlc23_lore_hashut_upgraded	UI\Battle UI\ability_icons\wh3_dlc23_lore_passive_killing_fire.png	0	0	false	lore_hashut	Play_WH_UI_Ability_Click_Generic_Fire	true	1618969927	Hashut	false	E51A4C
wh3_dlc24_lore_blue_scribes	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_heavens	Play_WH_UI_Ability_Click_Generic_Heavens	true	15920275		true	FAFAFA
wh3_dlc24_lore_hag	UI\Battle UI\ability_icons\wh3_dlc24_lore_passive_fate_of_interlopers.png	0	33	false	lore_hag	Play_WH_UI_Ability_Click_Generic_Vampire	false	1671638554	Hags	true	145C9C
wh3_dlc24_lore_hag_upgraded	UI\Battle UI\ability_icons\wh3_dlc24_lore_passive_fate_of_interlopers.png	0	0	false	lore_hag	Play_WH_UI_Ability_Click_Generic_Vampire	true	1140201220	Hags	false	145C9C
wh3_dlc24_lore_mother_ostankya	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_beasts	Play_WH_UI_Ability_Click_Generic_Beasts	true	473543486	Beasts	true	FFB700
wh3_dlc24_lore_mother_ostankya_upgraded	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_beasts	Play_WH_UI_Ability_Click_Generic_Beasts	true	95610621	Beasts	true	FFB700
wh3_dlc24_lore_yuan_bo	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_yang	Play_WH_UI_Ability_Click_Generic_Heavens	true	570644555	Yang	true	FAFAFA
wh3_main_cataclysm_spells	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	36	false	lore_cataclysm	Play_WH_UI_Ability_Click_Generic_Light	false	2043645129		true	615B57
wh3_main_lore_daemon_prince	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	664805177	Death	true	615B57
wh3_main_lore_iron_dragon	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	778299807	Death	true	615B57
wh3_main_lore_kairos	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	192065228	Death	true	615B57
wh3_main_lore_kairos_custom	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	0	false	lore_death	Play_WH_UI_Ability_Click_Generic_Light	true	117262485	Death	true	615B57
wh3_main_lore_mannfred	UI\Battle UI\ability_icons\wh2_main_lore_passive_combined.png	0	6	false	lore_vampire	Play_WH_UI_Ability_Click_Generic_Vampire	true	1772150440	Vampires	true	770101
wh3_main_lore_nurgle	UI\Battle UI\ability_icons\wh3_main_lore_passive_children_of_nurgle.png	0	27	false	lore_nurgle	Play_WH_UI_Ability_Click_Generic_Light	false	191438057	Nurgle	true	54A618
