key	primary_melee_weapon	primary_missile_weapon
#battle_entity_stats_tables;2;db/battle_entity_stats_tables/data__		
test	wh_main_emp_hammer_hero	wh_main_chs_javelin
wh2_cst_vampire_fleet_admiral_female_promethean		wh2_dlc11_cst_vampire_fleet_admiral_female_pistol
wh2_cst_vampire_fleet_captain_promethean		
wh2_def_dreadlord_dragon		wh2_main_def_crossbow_bolt_dreadlord
wh2_dlc09_tmb_chariot_bow		wh2_dlc09_tmb_bow_chariot
wh2_dlc11_cst_cha_gunnery_wight_1		wh_main_dwf_master_engineer_rifle
wh2_dlc11_cst_cha_luthor_harkon_1		wh2_dlc11_cst_luthor_harkon_pistol
wh2_dlc11_cst_deck_droppers_0		wh2_dlc11_cst_pistol
wh2_dlc11_cst_deck_droppers_1		wh2_dlc11_cst_rifle
wh2_dlc11_cst_deck_droppers_2		wh2_dlc11_cst_bombs
wh2_dlc11_cst_mon_necrofex_colossus_rider		wh2_dlc11_cst_rifle_rider
wh2_dlc11_cst_mon_rotting_leviathan_rider		wh2_dlc11_cst_rifle
wh2_dlc11_cst_mon_rotting_promeathean_rider		wh2_dlc11_cst_handcannon_promethean
wh2_dlc11_cst_mon_zombie_pistol_rider_primary_ammo		wh_main_emp_pistol
wh2_dlc11_cst_mon_zombie_rifle_bomb_primary_ammo		wh2_dlc11_cst_bombs
wh2_dlc11_cst_mon_zombie_rifle_rider_primary_ammo		wh_main_emp_rifle
wh2_dlc12_skv_veh_doomwheel_warp_lightning_ror		wh2_dlc12_skv_doomwheel_warp_lightning_ror
wh2_dlc13_emp_steam_tank_turret_burnt		wh2_dlc13_emp_steam_tank_steam_gun_burnt
wh2_dlc13_emp_veh_war_wagon_rider		wh2_dlc13_emp_rifle_war_wagons
wh2_dlc14_def_scourgerunner_chariot_rider		wh2_dlc14_def_harpoon_scourgerunner_chariot
wh2_dlc14_def_scourgerunner_chariot_rider_ror		wh2_dlc14_def_harpoon_scourgerunner_chariot_ror
wh2_dlc14_def_veh_bloodwrack_shrine_medusa		wh2_dlc14_def_medusa_gaze
wh2_dlc14_def_witch_elf_rider	wh2_main_def_dual_swords_witch_elves	
wh2_dlc15_grn_mon_lava_arachnarok_spider_rider		wh2_dlc15_grn_lava_arachnarok_rider_arrow_fire
wh2_dlc15_grn_pump_wagon_rider_spore	wh2_dlc15_grn_snotling_pump_wagon_spore_thrown	
wh2_dlc16_wef_arahan_bow		wh2_dlc16_hef_sisters_of_twilight_bow
wh2_dlc16_wef_naestra_bow		wh2_dlc16_hef_sisters_of_twilight_bow
wh2_dlc17_dwf_kraggi	wh_main_dwf_master_engineer_hammer	
wh2_main_def_cold_one_chariot_archer		wh2_main_def_crossbow_bolt_chariot
wh2_main_hef_princess		wh2_main_hef_longbow_arrow_princess
wh2_main_hef_tiranoc_chariot_archer		wh2_main_hef_longbow_arrow_tiranoc_chariot
wh2_main_lzd_mon_ancient_stegadon_rider		wh2_main_lzd_mon_stegadon_blowpipe
wh2_main_lzd_mon_ancient_stegadon_rider_secondary		wh2_main_lzd_mon_stegadon_blowpipe_secondary_ammo
wh2_main_lzd_mon_skink_rider_primary_ammo		wh2_main_lzd_javelin_rider_primary_ammo
wh2_main_lzd_mon_skink_rider_secondary_ammo		wh2_main_lzd_javelin_rider
wh2_main_lzd_mon_terradon_rider_bola		wh2_main_lzd_fireleech_bola_terradon
wh2_main_lzd_mon_terradon_rider_javelin		wh2_main_lzd_javelin_terradon
wh2_main_skv_veh_doomwheel_warp_lightning		wh2_main_skv_doomwheel_warp_lightning
wh2_main_skv_veh_doomwheel_warp_lightning_ikit		wh2_dlc12_skv_doomwheel_warp_lightning_ikit
wh3_dlc23_chd_veh_dreadquake_mortar_turret		wh3_dlc23_chd_veh_dreadquake_mortar_shell_secondary
wh3_dlc23_chd_veh_dreadquake_mortar_turret_ror		wh3_dlc23_chd_veh_dreadquake_mortar_shell_secondary_ror
wh3_dlc23_chd_veh_dreadquake_mortar_turret_solo		wh3_dlc23_chd_veh_dreadquake_mortar_shell_primary
wh3_dlc23_chd_veh_iron_daemon_cannonade_primary		wh3_dlc23_chd_veh_iron_daemon_cannonade_primary
wh3_dlc23_chd_veh_iron_daemon_cannonade_secondary		wh3_dlc23_chd_veh_iron_daemon_cannonade_secondary
wh3_dlc23_chd_veh_iron_daemon_flame_cannon_primary		wh3_dlc23_chd_veh_iron_daemon_flame_cannon_primary
wh3_dlc23_chd_veh_iron_daemon_flame_cannon_secondary		wh3_dlc23_chd_veh_iron_daemon_flame_cannon_secondary
wh3_main_cth_sky_junk_gunner		wh3_cth_sky_junk_crane_gun_bullet
wh3_main_cth_sky_lantern_gunner		wh3_cth_sky_lantern_crane_gun_bullet
wh3_main_ksl_cav_horse_archers_0		wh3_main_ksl_bow_mounted
wh3_main_ksl_veh_war_sled_rider		wh3_main_ksl_sled_rifle
wh3_main_nur_cha_kugath_plaguefather_rider	wh3_main_ku_gath_plaguefather	wh3_main_nur_kugath_infested_nurgling
wh3_main_tze_veh_burning_chariot_blue_horror_1		wh3_main_tze_blue_horror_fire_bolt_rider_secondary
wh3_main_tze_veh_burning_chariot_blue_horror_2		wh3_main_tze_blue_horror_fire_bolt_rider_secondary
wh3_main_tze_veh_burning_chariot_exalted_flamer		wh3_main_tze_burning_chariot_exalted_flamer_warpflame
wh3_main_tze_veh_burning_chariot_herald		wh3_main_tze_herald_fire_bolt
wh3_main_tze_veh_burning_chariot_iridescent		wh3_main_tze_iridescent_horror_fire_bolt
wh_dlc08_nor_mon_mammoth_rider		wh_dlc08_nor_javelin_heavy
wh_dlc08_nor_wolf_chariot01_throwing_axe		wh_dlc08_nor_cav_marauder_warwolves_chariot_throwing_axe
wh_main_chs_cha_archaon_1	wh_main_emp_hammer_hero	wh_main_chs_javelin
