priority	profile	policy
#cai_personalities_decision_profile_context_overrides_tables;0;db/cai_personalities_decision_profile_context_overrides_tables/data__		
1	changing_of_the_ways_actions_profile	changing_of_the_ways_actions_easy
2	changing_of_the_ways_actions_profile	changing_of_the_ways_actions_hard
1	manipulate_diplomacy_profile	manipulate_diplomacy_easy
2	manipulate_diplomacy_profile	manipulate_diplomacy_hard
1	manipulate_diplomacy_profile_minor	manipulate_diplomacy_easy_minor
2	manipulate_diplomacy_profile_minor	manipulate_diplomacy_hard_minor
1	promise_of_perfection_profile	promise_of_perfection_default
2	promise_of_perfection_profile	promise_of_perfection_hard
1	wh3_faction_initiatives_chd_hellforge_profile	wh3_faction_initiatives_chd_hellforge_missile_infantry
2	wh3_faction_initiatives_chd_hellforge_profile	wh3_faction_initiatives_chd_hellforge_melee_infantry
3	wh3_faction_initiatives_chd_hellforge_profile	wh3_faction_initiatives_chd_hellforge_warmachines_artillery
4	wh3_faction_initiatives_chd_hellforge_profile	wh3_faction_initiatives_chd_hellforge_kdaai
5	wh3_faction_initiatives_chd_hellforge_profile	wh3_faction_initiatives_chd_hellforge_flying_beasts
6	wh3_faction_initiatives_chd_hellforge_profile	wh3_faction_initiatives_chd_hellforge_bull_centaurs
1	wh3_ritual_vmp_bloodlines_profile	wh3_ritual_vmp_bloodlines_voncarstein
2	wh3_ritual_vmp_bloodlines_profile	wh3_ritual_vmp_bloodlines_necrach
3	wh3_ritual_vmp_bloodlines_profile	wh3_ritual_vmp_bloodlines_lahmia
1	wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_dragon
2	wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_dreaming
3	wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_eagle
4	wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_twilight
